##NAMES=Ramdohrite
##RRUFFID=R110001
##IDEAL CHEMISTRY=Pb_5.9_Fe_0.1_Mn_0.1_In_0.1_Cd_0.2_Ag_2.8_Sb_10.8_S_24_
##LOCALITY=Chocaya, Potosi, Bolivia
##OWNER=RRUFF
##SOURCE=Mark N. Feinglos
##DESCRIPTION=Massive, silver metallic associated with quartz and wurtzite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110001
601.1152, 4.220328
601.5973, 5.157971
602.0794, 5.364512
602.5615, 4.495460
603.0436, 3.237113
603.5258, 2.286164
604.0079, 1.611935
604.4900, 1.493778
604.9721, 2.136757
605.4542, 3.016732
605.9363, 3.623195
606.4185, 3.898044
606.9006, 3.790304
607.3827, 2.896304
607.8648, 1.843525
608.3469, 1.681259
608.8290, 2.273762
609.3112, 2.867984
609.7933, 2.933525
610.2754, 2.890702
610.7575, 3.242217
611.2396, 4.165834
611.7217, 4.398158
612.2039, 2.463847
612.6860, 0.4100290
613.1681, 0.1444290
613.6502, 2.258044
614.1323, 3.666520
614.6144, 3.752108
615.0966, 3.076199
615.5787, 2.273546
616.0608, 1.246847
616.5429, 0.7973850
617.0250, 1.256293
617.5071, 2.232776
617.9893, 3.020576
618.4714, 3.587890
618.9535, 3.675534
619.4356, 2.549025
619.9177, 1.199862
620.3998, 1.114110
620.8820, 2.163182
621.3641, 3.055459
621.8462, 2.775599
622.3283, 2.345445
622.8104, 2.421192
623.2925, 3.118306
623.7747, 3.852990
624.2568, 4.802901
624.7389, 5.639483
625.2210, 6.141994
625.7031, 6.488780
626.1852, 5.991128
626.6674, 4.199252
627.1495, 2.030649
627.6316, 1.104689
628.1137, 1.469150
628.5958, 1.915648
629.0779, 2.143019
629.5601, 2.198868
630.0422, 2.109148
630.5243, 1.907537
631.0064, 1.749562
631.4885, 1.727986
631.9706, 1.786158
632.4528, 1.866439
632.9349, 1.970346
633.4170, 2.143107
633.8991, 2.665212
634.3812, 3.064736
634.8633, 2.915578
635.3455, 1.755083
635.8276, 1.473401
636.3097, 2.881999
636.7918, 4.470592
637.2739, 4.862733
637.7560, 3.664006
638.2382, 2.867018
638.7203, 2.716266
639.2024, 2.857326
639.6845, 2.790595
640.1666, 2.530679
640.6487, 2.163682
641.1309, 1.546746
641.6130, 1.070847
642.0951, 1.564537
642.5772, 2.686379
643.0594, 3.452962
643.5415, 3.090899
644.0236, 2.492576
644.5057, 1.970742
644.9879, 1.454406
645.4700, 1.435054
645.9521, 3.411777
646.4342, 4.938807
646.9163, 4.598578
647.3984, 1.908761
647.8806, 0.4715150
648.3627, 0.7119070
648.8448, 1.381544
649.3269, 1.480540
649.8090, 1.007970
650.2911, 0.5244390
650.7733, 4.4490001E-03
651.2554, 0.2272770
651.7375, 0.6276450
652.2196, 2.102454
652.7017, 3.035752
653.1838, 2.884116
653.6660, 2.536065
654.1481, 2.846771
654.6302, 3.410770
655.1123, 3.513534
655.5944, 2.188626
656.0765, 1.140388
656.5587, 1.191956
657.0408, 2.042679
657.5229, 2.195220
658.0050, 1.151242
658.4871, 0.2444990
658.9692, 9.1025002E-02
659.4514, 0.1205460
659.9335, 0.8678670
660.4156, 2.277515
660.8977, 3.174205
661.3798, 1.995633
661.8619, 0.2875500
662.3441, 0.8539590
662.8262, 0.4960810
663.3083, 2.046849
663.7904, 2.491616
664.2725, 2.370245
664.7546, 2.275824
665.2368, 2.383531
665.7189, 2.371816
666.2010, 2.008732
666.6831, 1.525743
667.1652, 1.174857
667.6473, 0.7609800
668.1295, 0.8538030
668.6116, 1.773888
669.0937, 3.016008
669.5758, 3.465237
670.0579, 3.016908
670.5400, 2.857604
671.0222, 3.501257
671.5043, 4.468719
671.9864, 4.657956
672.4685, 4.161424
672.9506, 3.435310
673.4327, 2.291194
673.9149, 1.373945
674.3970, 1.432333
674.8791, 2.348247
675.3612, 3.086208
675.8433, 3.026651
676.3254, 2.864808
676.8076, 3.097405
677.2897, 3.919279
677.7718, 3.981051
678.2539, 2.919828
678.7360, 1.541309
679.2181, 0.2175030
679.7003, 1.088073
680.1824, 1.434956
680.6645, 0.6601530
681.1466, 0.5156540
681.6287, 1.567995
682.1108, 2.394808
682.5930, 2.555169
683.0751, 1.766165
683.5572, 0.9954570
684.0393, 1.260085
684.5214, 2.001043
685.0035, 2.418567
685.4857, 1.710169
685.9678, 1.282472
686.4499, 1.753460
686.9320, 2.711793
687.4141, 3.258301
687.8962, 3.296569
688.3784, 3.072823
688.8605, 2.554581
689.3426, 1.812676
689.8247, 1.494392
690.3068, 1.620990
690.7889, 1.642235
691.2711, 1.069471
691.7532, 0.3114050
692.2353, 0.3277620
692.7174, 1.003639
693.1995, 1.617315
693.6816, 1.575395
694.1638, 1.416976
694.6459, 1.644374
695.1280, 2.319582
695.6101, 2.686620
696.0922, 2.231703
696.5743, 1.690747
697.0565, 1.474385
697.5386, 1.681123
698.0207, 1.758909
698.5028, 1.607163
698.9849, 1.539786
699.4670, 2.109088
699.9492, 3.190486
700.4313, 3.295457
700.9135, 2.104509
701.3956, 0.7703890
701.8777, 0.7101950
702.3598, 1.327971
702.8419, 1.567762
703.3240, 0.9016860
703.8062, 0.2962810
704.2883, 0.1703150
704.7704, 0.4402520
705.2525, 0.9863150
705.7346, 2.447283
706.2167, 3.315560
706.6989, 3.199219
707.1810, 2.515766
707.6631, 2.183477
708.1452, 2.249681
708.6273, 2.419967
709.1094, 2.625824
