##NAMES=Shandite
##RRUFFID=R070090
##IDEAL CHEMISTRY=Pb_2_Ni_3_S_2_
##LOCALITY=Nickel Reward mine, Tasmania, Australia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Bright silver metallic blebs in serpentinite, chonchoidal fracture
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070090
481.4512, 28.79111
481.9333, 26.63211
482.4154, 20.14017
482.8976, 15.27560
483.3797, 12.15985
483.8618, 9.657135
484.3439, 6.618286
484.8260, 3.925171
485.3081, 3.924377
485.7903, 7.212769
486.2724, 11.11707
486.7545, 15.90933
487.2366, 20.57742
487.7187, 26.03638
488.2008, 30.94040
488.6830, 30.22693
489.1651, 19.01718
489.6472, 0.6625980
490.1293, 8.091888
490.6114, 1.899811
491.0935, 4.750305
491.5757, 14.43127
492.0578, 20.55740
492.5399, 13.77682
493.0220, 4.731781
493.5041, 19.03577
493.9862, 13.98517
494.4684, 2.767761
494.9505, 12.52176
495.4326, 14.75925
495.9147, 12.67807
496.3968, 4.084503
496.8789, 5.328278
497.3611, 3.082764
497.8432, 15.33301
498.3253, 29.97311
498.8074, 35.27933
499.2895, 34.69885
499.7716, 29.55945
500.2538, 21.28729
500.7359, 13.22861
501.2180, 7.264923
501.7001, 4.275635
502.1822, 8.753479
502.6643, 27.80417
503.1465, 42.56900
503.6286, 51.73965
504.1107, 56.14221
504.5928, 54.99567
505.0749, 49.18735
505.5570, 42.00525
506.0392, 33.79819
506.5213, 26.62329
507.0034, 27.43265
507.4855, 37.36221
507.9676, 44.39752
508.4497, 42.83575
508.9319, 36.49399
509.4140, 30.91226
509.8961, 25.62534
510.3782, 23.32538
510.8603, 27.59549
511.3424, 33.01593
511.8246, 35.16403
512.3067, 33.90662
512.7888, 29.51193
513.2709, 21.50058
513.7531, 13.06070
514.2352, 14.50253
514.7173, 35.37347
515.1994, 47.33643
515.6815, 42.28824
516.1636, 34.88977
516.6458, 34.86206
517.1279, 40.24246
517.6100, 42.15176
518.0921, 33.37424
518.5742, 21.00616
519.0563, 17.79739
519.5385, 23.80460
520.0206, 29.93896
520.5027, 33.83105
520.9848, 36.39148
521.4669, 38.13367
521.9490, 39.00128
522.4312, 41.52435
522.9133, 49.53030
523.3954, 56.11606
523.8775, 57.08728
524.3596, 53.08200
524.8417, 45.19000
525.3239, 33.84103
525.8060, 21.47763
526.2881, 10.94537
526.7702, 0.5986020
527.2523, 0.1844790
527.7344, 30.65756
528.2166, 54.81198
528.6987, 54.34360
529.1808, 38.84555
529.6629, 25.27170
530.1450, 19.20853
530.6271, 18.16486
531.1093, 22.61987
531.5914, 31.21286
532.0735, 33.02820
532.5556, 25.03384
533.0377, 16.25510
533.5198, 13.86398
534.0020, 17.75989
534.4841, 23.10657
534.9662, 33.49823
535.4483, 41.02499
535.9304, 41.59323
536.4125, 38.75043
536.8947, 36.91074
537.3768, 36.86636
537.8589, 36.03641
538.3410, 31.06903
538.8231, 22.60861
539.3052, 19.46097
539.7874, 23.52292
540.2695, 29.28552
540.7516, 38.70786
541.2337, 46.74890
541.7158, 47.00363
542.1979, 38.42300
542.6801, 30.86136
543.1622, 32.55093
543.6443, 37.37930
544.1264, 35.09579
544.6085, 25.91986
545.0906, 17.87650
545.5728, 15.07767
546.0549, 16.69119
546.5370, 20.97604
547.0191, 33.56546
547.5012, 38.39014
547.9833, 30.41241
548.4655, 19.86105
548.9476, 8.431335
549.4297, 1.043488
549.9117, 2.008484
550.3939, 10.72864
550.8760, 26.96249
551.3581, 27.48892
551.8402, 12.88187
552.3223, 4.235931
552.8044, 5.490967
553.2866, 10.77267
553.7687, 17.21777
554.2508, 23.84802
554.7329, 26.52042
555.2150, 21.86752
555.6971, 17.71454
556.1793, 17.86102
556.6614, 20.43909
557.1435, 22.53717
557.6256, 23.43567
558.1077, 24.07574
558.5898, 25.61664
559.0720, 28.00269
559.5541, 28.24426
560.0362, 22.80746
560.5183, 21.04459
561.0004, 29.35489
561.4825, 39.30341
561.9647, 43.12259
562.4468, 39.68735
562.9289, 32.55212
563.4110, 20.00015
563.8931, 6.970856
564.3752, 3.025391
564.8574, 8.018921
565.3395, 14.56961
565.8216, 19.75409
566.3037, 23.41925
566.7858, 25.18906
567.2679, 24.38956
567.7501, 23.09778
568.2322, 20.78677
568.7143, 18.50485
569.1964, 16.48270
569.6785, 14.97894
570.1606, 14.49417
570.6428, 15.30164
571.1249, 16.62030
571.6070, 17.01785
572.0891, 16.53442
572.5712, 17.81207
573.0533, 22.38507
573.5355, 25.99246
574.0176, 24.21677
574.4997, 19.23904
574.9818, 18.52057
575.4639, 26.31262
575.9460, 32.60928
576.4282, 30.88834
576.9103, 27.04208
577.3924, 30.11902
577.8745, 39.50800
578.3566, 45.20798
578.8387, 39.16104
579.3209, 24.55530
579.8030, 13.78711
580.2851, 6.495270
580.7672, 3.829559
581.2493, 10.62500
581.7314, 18.49075
582.2136, 21.31763
582.6957, 19.67627
583.1778, 22.14639
583.6599, 37.72543
584.1420, 52.93451
584.6241, 52.92783
585.1063, 42.04913
585.5884, 31.67511
586.0705, 24.66452
586.5526, 20.63467
587.0347, 20.11627
587.5168, 23.46887
587.9990, 20.53738
588.4811, 0.5715940
588.9632, 12.95804
589.4453, 5.653717
589.9274, 7.961273
590.4095, 14.36551
590.8917, 11.92273
591.3738, 9.589447
591.8559, 16.60620
592.3380, 28.24167
592.8201, 32.31155
593.3022, 28.36115
593.7844, 22.35913
594.2665, 14.94632
594.7486, 9.274811
595.2307, 10.84787
595.7128, 21.98898
596.1949, 30.56964
596.6771, 37.18018
597.1592, 40.47009
597.6413, 37.56815
598.1234, 31.74457
598.6055, 27.90347
599.0876, 27.59390
599.5698, 28.36707
600.0519, 27.07321
600.5340, 24.09003
601.0161, 23.07230
601.4982, 24.65964
601.9803, 26.21216
602.4625, 27.08493
602.9446, 26.77405
603.4267, 23.43729
603.9088, 15.20224
604.3909, 12.04672
604.8730, 21.50748
605.3552, 32.46298
605.8373, 36.58273
606.3194, 35.01758
606.8015, 32.07141
607.2836, 28.84836
607.7657, 26.48499
608.2479, 26.88022
608.7300, 30.14386
609.2121, 32.57938
609.6942, 33.79388
610.1763, 34.79205
610.6584, 37.32623
611.1406, 39.31046
611.6227, 35.80875
612.1048, 23.30603
612.5869, 16.01938
613.0690, 26.05225
613.5511, 40.83496
614.0333, 45.73273
614.5154, 41.28198
614.9975, 35.81595
615.4796, 34.03763
615.9617, 33.45215
616.4438, 27.51245
616.9260, 12.82196
617.4081, 4.842163
617.8902, 7.457123
618.3723, 13.18857
618.8544, 21.59088
619.3365, 29.77603
619.8187, 31.93506
620.3008, 24.95178
620.7829, 17.77563
621.2650, 16.06433
621.7471, 17.69565
622.2292, 19.84866
