##NAMES=Bismuthinite
##RRUFFID=R070617
##IDEAL CHEMISTRY=Bi^3+^_2_S^2-^_3_
##LOCALITY=Hachita, Grants County, New Mexico, USA
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Steel-gray metallic massive lamellar, associated with quartz.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070617
362.1623, 319.6294
362.6444, 292.7896
363.1265, 267.8579
363.6086, 266.1177
364.0907, 294.2925
364.5728, 314.6865
365.0550, 283.1206
365.5371, 212.0308
366.0192, 173.9331
366.5013, 195.2939
366.9834, 239.1255
367.4655, 274.1201
367.9477, 300.4927
368.4298, 311.3198
368.9119, 292.5430
369.3940, 257.7275
369.8761, 230.9136
370.3582, 217.3027
370.8404, 212.7622
371.3225, 212.2910
371.8046, 216.1567
372.2867, 228.7974
372.7688, 264.7988
373.2509, 300.4600
373.7331, 314.6118
374.2152, 307.7207
374.6973, 293.9878
375.1794, 281.1665
375.6615, 268.2446
376.1436, 250.2705
376.6258, 211.5713
377.1079, 184.7422
377.5900, 191.4707
378.0721, 215.2998
378.5542, 226.8574
379.0363, 216.1304
379.5185, 195.2407
380.0006, 190.7456
380.4827, 216.1855
380.9648, 231.7471
381.4469, 226.0923
381.9290, 213.3179
382.4112, 207.7886
382.8933, 212.3228
383.3754, 220.6709
383.8575, 227.5874
384.3396, 236.9521
384.8217, 226.5405
385.3039, 176.2402
385.7860, 127.0459
386.2681, 96.80176
386.7502, 86.34717
387.2323, 90.66504
387.7144, 107.5122
388.1966, 135.0107
388.6787, 153.6738
389.1608, 156.0654
389.6429, 157.8408
390.1250, 153.9209
390.6071, 152.0557
391.0893, 167.5352
391.5714, 208.8467
392.0535, 257.7646
392.5356, 275.3506
393.0177, 246.6855
393.4998, 220.5649
393.9820, 203.1050
394.4641, 191.6616
394.9462, 186.9849
395.4283, 189.0054
395.9104, 191.6362
396.3925, 190.8867
396.8747, 186.6758
397.3568, 172.5361
397.8389, 131.6948
398.3210, 101.2749
398.8031, 107.2407
399.2852, 139.8633
399.7674, 171.3892
400.2495, 188.5767
400.7316, 195.3208
401.2137, 200.1558
401.6958, 206.9277
402.1779, 201.5967
402.6601, 159.2739
403.1422, 103.8354
403.6243, 73.94141
404.1064, 86.23926
404.5885, 108.7168
405.0706, 115.1924
405.5528, 108.4326
406.0349, 103.4727
406.5170, 106.1724
406.9991, 111.7642
407.4812, 110.5386
407.9633, 98.96533
408.4455, 96.72119
408.9276, 120.2012
409.4097, 153.3213
409.8918, 173.0645
410.3739, 175.1553
410.8560, 170.6465
411.3382, 170.8198
411.8203, 176.8213
412.3024, 176.5200
412.7845, 153.2417
413.2666, 138.6147
413.7487, 161.1929
414.2309, 209.4448
414.7130, 248.9131
415.1951, 258.5122
415.6772, 241.5005
416.1593, 212.9194
416.6414, 145.0078
417.1236, 99.42676
417.6057, 93.76123
418.0878, 108.4258
418.5699, 123.8169
419.0520, 133.4360
419.5341, 140.0601
420.0163, 147.6841
420.4984, 156.9624
420.9805, 165.4961
421.4626, 180.1567
421.9447, 188.3931
422.4268, 175.3164
422.9090, 148.4307
423.3911, 131.0630
423.8732, 150.3989
424.3553, 197.0640
424.8374, 205.5684
425.3195, 141.1265
425.8017, 97.92090
426.2838, 129.1699
426.7659, 193.2910
427.2480, 237.9575
427.7301, 243.3291
428.2122, 229.1089
428.6944, 214.9507
429.1765, 200.7134
429.6586, 194.5273
430.1407, 201.6982
430.6228, 215.7651
431.1049, 232.5034
431.5871, 252.5942
432.0692, 261.1953
432.5513, 242.7783
433.0334, 210.2739
433.5155, 188.9297
433.9977, 183.3833
434.4798, 177.2100
434.9619, 153.1504
435.4440, 113.5898
435.9261, 88.86670
436.4082, 82.70703
436.8904, 88.91064
437.3725, 115.9507
437.8546, 153.8311
438.3367, 172.3247
438.8188, 153.9312
439.3009, 113.9795
439.7831, 94.37109
440.2652, 117.2637
440.7473, 129.5479
441.2294, 122.7974
441.7115, 107.9282
442.1936, 91.21777
442.6758, 75.48682
443.1579, 65.51123
443.6400, 66.88477
444.1221, 80.33496
444.6042, 100.7661
445.0863, 151.4937
445.5685, 185.5786
446.0506, 180.4385
446.5327, 148.2593
447.0148, 110.5747
447.4969, 77.12207
447.9790, 49.77246
448.4612, 33.11035
448.9433, 28.38477
449.4254, 31.58252
449.9075, 55.27979
450.3896, 77.69385
450.8717, 76.18555
451.3539, 47.53027
451.8360, 23.50928
452.3181, 34.94189
452.8002, 74.29004
453.2823, 108.0986
453.7644, 135.4331
454.2466, 151.0488
454.7287, 143.9683
455.2108, 120.6030
455.6929, 98.29932
456.1750, 85.35498
456.6571, 71.72656
457.1393, 39.11377
457.6214, 6.591309
458.1035, 28.66650
458.5856, 3.780762
459.0677, 48.41602
459.5498, 73.69531
460.0319, 53.46289
460.5140, 46.10303
460.9962, 72.72070
461.4783, 111.0288
461.9604, 142.9473
462.4425, 163.0576
462.9246, 164.5830
463.4067, 135.5674
463.8889, 68.66846
464.3710, 36.49365
464.8531, 73.62793
465.3352, 106.5732
465.8173, 106.4575
466.2994, 87.29980
466.7816, 76.50977
467.2637, 88.83496
467.7458, 110.0293
468.2279, 103.8872
468.7100, 53.87256
469.1921, 23.68359
469.6743, 50.82275
470.1564, 82.01221
470.6385, 79.40479
471.1206, 42.45020
471.6027, 3.598633
472.0848, 12.25488
472.5670, 10.36328
473.0491, 8.410645
473.5312, 5.902344
474.0133, 7.203125
474.4954, 22.00928
474.9775, 41.99170
475.4597, 48.98145
475.9418, 34.28613
476.4239, 13.49707
476.9060, 3.961914
477.3881, 18.98145
477.8702, 37.25293
478.3524, 63.26416
478.8345, 83.53467
479.3166, 72.08789
479.7987, 10.43799
480.2808, 22.87793
480.7629, 1.194824
481.2451, 35.24951
481.7272, 44.50391
482.2093, 30.76807
482.6914, 14.92383
483.1735, 11.45361
483.6556, 19.27783
484.1378, 31.87451
484.6199, 62.10742
485.1020, 28.21582
485.5841, 90.54199
486.0662, 125.4463
486.5483, 134.2998
487.0305, 39.27637
487.5126, 78.39941
487.9947, 63.88818
488.4768, 47.15479
488.9589, 105.2495
489.4410, 25.35205
489.9232, 82.34570
490.4053, 84.60156
490.8874, 111.8408
491.3695, 84.99072
491.8516, 74.85205
492.3337, 118.9858
492.8159, 133.1841
493.2980, 100.1230
493.7801, 129.0000
494.2622, 47.38428
494.7443, 62.84570
495.2264, 120.0317
495.7086, 89.70801
496.1907, 119.7603
496.6728, 126.6997
497.1549, 29.49072
497.6370, 113.4126
498.1191, 119.0063
498.6013, 44.17139
499.0834, 122.1133
499.5655, 58.54443
500.0476, 45.30078
500.5297, 70.07227
501.0118, 55.22119
501.4940, 103.0166
501.9761, 90.68945
502.4582, 72.96191
502.9403, 78.63965
503.4224, 18.36963
503.9045, 80.79492
504.3867, 58.98828
504.8688, 79.68506
505.3509, 109.7676
505.8330, 67.66943
506.3151, 101.4243
506.7972, 15.95557
507.2794, 31.86230
507.7615, 35.55908
508.2436, 102.9883
508.7257, 18.22314
509.2078, 29.96240
509.6899, 84.89307
510.1721, 80.85059
510.6542, 101.0674
511.1363, 49.26221
511.6184, 66.05615
512.1005, 62.66602
512.5826, 124.4766
513.0648, 134.4551
513.5469, 104.3916
514.0290, 123.6860
514.5111, 78.30615
514.9932, 142.4155
515.4753, 177.3867
515.9575, 185.3525
516.4396, 90.00586
516.9217, 129.2427
517.4038, 115.9658
517.8859, 100.3760
518.3680, 158.1709
518.8502, 77.84961
519.3323, 134.2544
519.8144, 136.0801
520.2965, 162.9502
520.7786, 135.8184
521.2607, 125.4717
521.7429, 170.0063
522.2250, 186.6279
522.7071, 156.3247
523.1892, 184.8960
523.6713, 102.6719
524.1534, 117.5034
524.6356, 174.3501
525.1177, 143.7827
525.5998, 173.2183
526.0819, 179.6592
526.5640, 81.94531
527.0461, 165.3579
527.5283, 170.4375
528.0104, 95.08594
528.4925, 172.2871
528.9746, 108.0166
529.4567, 94.17432
529.9388, 118.0708
530.4210, 102.4160
530.9031, 149.2910
531.3852, 136.0576
531.8673, 117.4131
532.3494, 121.7827
532.8315, 58.86230
533.3137, 118.9551
533.7958, 95.43311
534.2779, 114.5044
534.7600, 143.3687
535.2421, 99.62793
535.7242, 133.0076
536.2064, 47.00171
536.6885, 60.68726
537.1706, 63.61572
537.6527, 130.3381
538.1348, 44.09155
538.6169, 54.92822
539.0991, 106.9299
539.5812, 101.5959
540.0633, 120.3650
540.5454, 67.96997
541.0275, 82.22534
541.5096, 78.00000
541.9918, 137.4434
542.4739, 146.6204
542.9560, 95.17822
543.4381, 43.98657
543.9202, 107.9924
544.4023, 62.80469
544.8845, 76.52197
545.3666, 29.39941
545.8487, 34.79858
546.3308, 39.35864
546.8129, 70.84058
547.2950, 20.66650
547.7772, 76.39893
548.2593, 70.91479
548.7414, 83.47192
549.2235, 94.00073
549.7056, 22.37695
550.1877, 18.08691
550.6699, 110.1460
551.1520, 55.28906
551.6341, 30.07666
552.1162, 25.91162
552.5983, 121.2466
553.0804, 124.0847
553.5626, 16.36157
554.0447, 107.3311
554.5268, 76.05029
555.0089, 81.08008
555.4910, 72.85742
555.9731, 68.61353
556.4553, 14.52002
556.9374, 26.20996
557.4195, 91.32812
557.9016, 65.16577
558.3837, 100.9290
558.8658, 23.81787
559.3480, 13.69312
559.8301, 21.34595
560.3122, 35.54004
560.7943, 1.628906
561.2764, 64.88550
561.7585, 61.93188
562.2407, 0.9609380
562.7228, 1.089111
563.2049, 7.240723
563.6870, 96.61548
564.1691, 45.80566
564.6512, 16.00537
565.1334, 44.37939
565.6155, 65.58643
566.0976, 33.82788
566.5797, 30.19409
567.0618, 26.82959
567.5439, 2.008789
568.0261, 5.363525
568.5082, 37.66040
568.9903, 19.21509
569.4724, 38.87964
569.9545, 15.35132
570.4366, 47.36768
570.9188, 9.270752
571.4009, 40.39893
571.8830, 36.77563
572.3651, 22.20996
572.8472, 0.6513670
573.3293, 9.565918
573.8115, 17.97754
574.2936, 5.429443
574.7757, 15.33960
575.2578, 13.55444
575.7399, 32.08716
576.2220, 89.84399
576.7042, 108.7725
577.1863, 88.63867
577.6684, 64.88037
578.1505, 43.86621
578.6326, 24.57764
579.1147, 2.567139
579.5969, 35.11621
580.0790, 37.58472
580.5611, 36.45532
581.0432, 106.8276
581.5253, 101.5435
582.0074, 48.21777
582.4896, 24.68311
582.9717, 64.29980
583.4538, 129.6072
583.9359, 153.5637
584.4180, 116.1030
584.9001, 95.26050
585.3823, 103.4731
585.8644, 112.3821
586.3465, 109.9167
586.8286, 99.43896
587.3107, 88.40161
587.7928, 79.38281
588.2750, 73.10986
588.7571, 70.39673
589.2392, 71.26855
589.7213, 76.59521
590.2034, 88.04077
590.6855, 101.1702
591.1677, 116.7737
591.6498, 133.0610
592.1319, 131.0024
592.6140, 78.64429
593.0961, 36.24097
593.5782, 49.69995
594.0604, 97.05933
594.5425, 137.6611
595.0246, 156.6736
595.5067, 155.7051
595.9888, 132.4148
596.4709, 78.35791
596.9531, 42.40576
597.4352, 24.65405
597.9173, 26.83301
598.3994, 68.54126
598.8815, 126.7068
599.3636, 162.7495
599.8458, 158.0818
600.3279, 140.6433
600.8100, 138.3638
601.2921, 147.5444
601.7742, 147.1111
602.2563, 130.4041
602.7385, 118.7502
603.2206, 138.7625
603.7027, 184.9885
604.1848, 199.3965
604.6669, 152.6841
605.1490, 108.8103
605.6312, 89.38818
606.1133, 86.09009
606.5954, 92.36108
607.0775, 104.5952
607.5596, 113.3291
608.0417, 105.2815
608.5239, 81.45142
609.0060, 83.32007
609.4881, 137.5393
609.9702, 172.6753
610.4523, 149.1328
610.9344, 104.8926
611.4166, 81.27954
611.8987, 87.28174
612.3808, 98.67651
612.8629, 92.53052
613.3450, 77.97510
613.8271, 65.53198
614.3093, 56.34521
614.7914, 61.86816
615.2735, 94.39185
615.7556, 142.8853
616.2377, 168.2749
616.7198, 166.3960
617.2020, 146.4026
617.6841, 77.29565
618.1662, 14.31348
618.6483, 12.25537
619.1304, 60.21118
619.6125, 96.30884
620.0947, 71.04663
620.5768, 14.83569
621.0589, 11.83496
621.5410, 74.79761
622.0231, 125.2048
622.5052, 138.9734
622.9874, 136.6323
623.4695, 134.3545
623.9516, 131.7717
624.4337, 125.7148
624.9158, 106.2458
625.3979, 90.52979
625.8801, 89.44189
626.3622, 100.0347
626.8443, 110.5801
627.3264, 121.3062
627.8085, 124.7061
628.2906, 114.4033
628.7728, 79.52319
629.2549, 63.41284
629.7370, 79.02173
630.2191, 96.29028
630.7012, 109.5610
631.1833, 115.8726
631.6655, 110.2595
632.1476, 88.86694
632.6297, 66.44556
633.1118, 58.55566
633.5939, 64.65332
634.0760, 78.75513
634.5582, 100.6494
635.0403, 126.2117
635.5224, 156.3674
636.0045, 187.7927
636.4866, 198.7185
636.9688, 186.0117
637.4509, 157.4395
637.9330, 97.74438
638.4151, 39.97656
638.8972, 7.911377
639.3793, 3.898193
639.8615, 19.57861
640.3436, 56.31787
640.8257, 101.3005
641.3078, 99.23071
641.7899, 34.50635
642.2720, 8.922607
642.7542, 7.369629
643.2363, 41.62183
643.7184, 43.73657
644.2005, 14.89111
644.6826, 3.426270
645.1647, 45.54150
645.6469, 90.91699
646.1290, 89.88330
646.6111, 59.86768
647.0932, 50.06738
647.5753, 79.75317
648.0574, 124.6887
648.5396, 149.6667
649.0217, 152.5898
649.5038, 144.6477
649.9859, 107.6558
650.4680, 81.68066
650.9501, 95.13159
651.4323, 121.5063
651.9144, 117.4890
652.3965, 66.78833
652.8786, 20.60205
653.3607, 28.84863
653.8428, 67.99365
654.3250, 88.76440
654.8071, 85.71216
655.2892, 65.78125
655.7713, 26.43530
656.2534, 20.32178
656.7355, 29.21582
657.2177, 55.79639
657.6998, 101.8064
658.1819, 81.84473
658.6640, 44.76147
659.1461, 11.13623
659.6282, 10.23657
660.1104, 4.019287
660.5925, 47.67310
661.0746, 111.9021
661.5567, 129.7549
662.0388, 101.6648
662.5209, 73.39331
663.0031, 53.02979
663.4852, 41.73438
663.9673, 40.15479
664.4494, 48.67773
664.9315, 64.81787
665.4136, 102.9763
665.8958, 131.9299
666.3779, 130.7505
666.8600, 118.4939
667.3421, 128.2178
667.8242, 160.7212
668.3063, 174.4783
668.7885, 118.6716
669.2706, 11.02539
669.7527, 35.62231
670.2348, 3.678467
670.7169, 30.90161
671.1990, 44.56885
671.6812, 48.64014
672.1633, 57.28394
672.6454, 70.90283
673.1275, 79.91235
673.6096, 73.14893
674.0917, 67.81836
674.5739, 89.14990
675.0560, 121.8508
675.5381, 120.9192
676.0202, 69.17310
676.5023, 9.841309
676.9844, 11.56958
677.4666, 84.39331
677.9487, 135.2969
678.4308, 162.4792
678.9129, 168.6721
679.3950, 142.3804
679.8771, 103.5115
680.3593, 78.66895
680.8414, 69.05029
681.3235, 66.30640
681.8056, 71.45850
682.2877, 76.70410
682.7698, 63.85083
683.2520, 37.33691
683.7341, 29.87964
684.2162, 61.50146
684.6983, 113.1462
685.1804, 139.7537
685.6625, 130.5017
686.1447, 121.8035
686.6268, 120.6936
687.1089, 112.9832
687.5910, 81.91309
688.0731, 42.12793
688.5552, 23.43872
689.0374, 39.50415
689.5195, 61.63843
690.0016, 61.53613
690.4837, 50.50562
690.9658, 57.79883
691.4479, 86.38330
691.9301, 111.3491
692.4122, 115.1091
692.8943, 101.6584
693.3764, 85.77100
693.8585, 60.37598
694.3406, 44.48877
694.8228, 34.53442
695.3049, 37.36987
695.7870, 69.99927
696.2691, 118.2454
696.7512, 146.4104
697.2333, 135.4353
697.7155, 105.0571
698.1976, 65.67090
698.6797, 24.42456
699.1618, 14.53076
699.6439, 44.84009
700.1260, 72.53003
700.6082, 59.00732
701.0903, 12.56348
701.5724, 3.400635
702.0545, 84.75806
702.5366, 132.4397
