##NAMES=Plancheite
##RRUFFID=R070233
##IDEAL CHEMISTRY=Cu^2+^_8_(Si_4_O_11_)_2_(OH)_4_&#183;H_2_O
##LOCALITY=Tsumeb mine, Tsumeb, Otavi District, Oshikoto, Namibia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Light blue radial fibrous, chatoyant crystals with drusy malachite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070233
412.6932, 1.341064
413.1754, 1.913574
413.6575, 1.386902
414.1396, 0.8675540
414.6217, 1.726196
415.1038, 4.055969
415.5859, 6.356201
416.0681, 7.044250
416.5502, 5.906250
417.0323, 5.397949
417.5144, 6.004944
417.9965, 6.578918
418.4786, 6.420593
418.9608, 5.892822
419.4429, 5.888123
419.9250, 6.926392
420.4071, 8.510376
420.8892, 9.057800
421.3713, 7.239197
421.8535, 6.390076
422.3356, 7.721436
422.8177, 9.159424
423.2998, 8.717712
423.7819, 6.396851
424.2640, 4.127930
424.7462, 4.116516
425.2283, 6.584290
425.7104, 8.076599
426.1925, 7.615540
426.6746, 7.163269
427.1567, 7.263794
427.6389, 7.743103
428.1210, 8.300537
428.6031, 8.798706
429.0852, 9.270935
429.5673, 9.816833
430.0494, 10.50543
430.5316, 11.02887
431.0137, 11.71472
431.4958, 11.91217
431.9779, 10.61725
432.4600, 7.983582
432.9421, 5.979797
433.4243, 6.592773
433.9064, 9.186951
434.3885, 11.07953
434.8706, 12.21429
435.3527, 12.47339
435.8348, 10.89941
436.3170, 8.560974
436.7991, 7.348633
437.2812, 8.250671
437.7633, 9.672974
438.2454, 9.863037
438.7275, 9.072937
439.2097, 9.213318
439.6918, 11.44617
440.1739, 14.15894
440.6560, 14.59045
441.1381, 12.55121
441.6202, 10.82300
442.1024, 10.12482
442.5845, 10.18427
443.0666, 11.14233
443.5487, 12.88129
444.0308, 14.03094
444.5129, 13.37128
444.9951, 11.15143
445.4772, 9.790283
445.9593, 9.943115
446.4414, 10.06702
446.9235, 9.538269
447.4056, 8.736572
447.8878, 8.368774
448.3699, 8.660889
448.8520, 9.017212
449.3341, 8.448853
449.8162, 6.371094
450.2983, 5.034241
450.7805, 4.921875
451.2626, 4.988037
451.7447, 4.546692
452.2268, 3.805725
452.7089, 3.477783
453.1910, 4.103516
453.6732, 5.383911
454.1553, 6.019104
454.6374, 5.471497
455.1195, 5.181824
455.6016, 6.067627
456.0837, 6.841003
456.5659, 6.047363
457.0480, 3.569458
457.5301, 1.073486
458.0122, 0.3179930
458.4943, 1.270264
458.9764, 2.573303
459.4586, 4.829041
459.9407, 6.427002
460.4228, 6.117615
460.9049, 4.728760
461.3870, 3.709290
461.8691, 3.566895
462.3513, 3.992249
462.8334, 4.888245
463.3155, 6.220886
463.7976, 7.045776
464.2797, 6.947632
464.7618, 6.350220
465.2440, 5.755859
465.7261, 5.163635
466.2082, 4.591736
466.6903, 4.047668
467.1724, 3.524414
467.6545, 2.894836
468.1367, 2.184082
468.6188, 1.861816
469.1009, 2.409119
469.5830, 3.561340
470.0651, 3.971802
470.5472, 2.869812
471.0294, 2.191772
471.5115, 2.411926
471.9936, 3.129578
472.4757, 4.148682
472.9578, 5.356323
473.4399, 6.185913
473.9221, 5.824524
474.4042, 3.897766
474.8863, 2.963196
475.3684, 3.465881
475.8505, 4.344604
476.3326, 5.795410
476.8148, 7.237488
477.2969, 7.643311
477.7790, 6.487183
478.2611, 4.534363
478.7432, 3.418091
479.2253, 3.472229
479.7075, 3.668945
480.1896, 3.998352
480.6717, 4.311890
481.1538, 4.449890
481.6359, 4.494019
482.1180, 4.616150
482.6002, 4.955322
483.0823, 5.362244
483.5644, 5.203491
484.0465, 4.268433
484.5286, 3.576294
485.0107, 3.905151
485.4929, 4.552368
485.9750, 4.596313
486.4571, 3.812744
486.9392, 3.128296
487.4213, 3.269226
487.9034, 3.936279
488.3856, 4.363037
488.8677, 4.523987
489.3498, 4.699768
489.8319, 5.271423
490.3140, 6.136414
490.7961, 6.276428
491.2783, 5.140381
491.7604, 3.873413
492.2425, 2.712585
492.7246, 1.835693
493.2067, 1.608948
493.6888, 2.162109
494.1710, 3.182495
494.6531, 4.258728
495.1352, 5.615540
495.6173, 6.262512
496.0994, 5.857239
496.5815, 5.187317
497.0637, 4.475342
497.5458, 3.811707
498.0279, 3.284058
498.5100, 2.941345
498.9921, 2.752319
499.4742, 2.636963
499.9564, 2.612244
500.4385, 2.617371
500.9206, 2.487915
501.4027, 2.489258
501.8848, 2.881836
502.3669, 3.610535
502.8491, 4.333801
503.3312, 4.816650
503.8133, 5.126892
504.2954, 5.640930
504.7775, 6.582581
505.2596, 6.601135
