##NAMES=Allabogdanite
##RRUFFID=R070012
##IDEAL CHEMISTRY=(Fe,Ni)_2_P
##LOCALITY=Onello meteorite, Bol'shoy Dolguchan River, Onello River Basin, Aldan, Yakutia, Russia
##OWNER=Michael Scott
##SOURCE=Michael Scott
##DESCRIPTION=Black lath embedded in epoxy, co-type sample
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070012
447.0023, 39.59216
447.4844, 35.18066
447.9666, 34.13159
448.4487, 38.66650
448.9308, 46.43481
449.4129, 51.08313
449.8950, 51.67810
450.3771, 49.98486
450.8593, 47.23633
451.3413, 44.47009
451.8235, 41.19727
452.3056, 38.07581
452.7877, 33.28857
453.2698, 20.54651
453.7519, 1.746704
454.2340, 11.62671
454.7162, 3.240845
455.1983, 34.07727
455.6804, 48.86426
456.1625, 46.93884
456.6446, 40.92822
457.1267, 42.95911
457.6089, 49.43884
458.0910, 49.26794
458.5731, 36.63879
459.0552, 22.97632
459.5373, 24.93738
460.0194, 38.14600
460.5016, 48.11328
460.9837, 43.27917
461.4658, 33.36877
461.9479, 27.64465
462.4300, 28.20740
462.9121, 27.11963
463.3943, 17.35229
463.8764, 4.413696
464.3585, 4.432373
464.8406, 6.714355
465.3227, 4.915039
465.8048, 2.922119
466.2870, 16.67859
466.7691, 25.00977
467.2512, 19.78821
467.7333, 13.57495
468.2154, 14.22925
468.6975, 27.84985
469.1797, 38.51660
469.6618, 46.18604
470.1439, 50.36572
470.6260, 48.49963
471.1081, 37.73083
471.5902, 27.81738
472.0724, 24.14941
472.5545, 27.35352
473.0366, 23.02600
473.5187, 7.803833
474.0008, 5.442139
474.4829, 4.124146
474.9651, 34.22192
475.4472, 56.98853
475.9293, 61.43750
476.4114, 55.08972
476.8935, 52.33105
477.3756, 52.99158
477.8578, 54.41235
478.3399, 56.61902
478.8220, 57.81213
479.3041, 54.27527
479.7862, 42.93555
480.2683, 32.79590
480.7505, 32.85229
481.2326, 39.08887
481.7147, 43.00842
482.1968, 42.70618
482.6789, 37.86316
483.1610, 25.21216
483.6432, 2.900879
484.1253, 12.14514
484.6074, 12.71899
485.0895, 5.160278
485.5716, 3.937988
486.0537, 22.93994
486.5359, 33.57166
487.0180, 28.49719
487.5001, 12.66284
487.9822, 10.46375
488.4643, 30.31409
488.9464, 51.21460
489.4286, 62.93298
489.9107, 63.76990
490.3928, 61.67041
490.8749, 57.27673
491.3570, 51.43542
491.8391, 43.53174
492.3213, 33.67334
492.8034, 29.03467
493.2855, 36.21118
493.7676, 48.85730
494.2497, 48.27466
494.7318, 34.82654
495.2140, 22.76660
495.6961, 26.20715
496.1782, 38.56519
496.6603, 48.63965
497.1424, 54.46313
497.6245, 57.01489
498.1067, 57.73328
498.5888, 55.79077
499.0709, 49.39441
499.5530, 27.93359
500.0351, 9.586060
500.5172, 6.684448
500.9994, 22.69727
501.4815, 34.91138
501.9636, 36.75061
502.4457, 33.26111
502.9278, 29.47607
503.4099, 19.75952
503.8921, 16.02356
504.3742, 25.32544
504.8563, 43.14258
505.3384, 49.46484
505.8205, 38.71191
506.3026, 27.26599
506.7848, 24.44580
507.2669, 32.35986
507.7490, 32.43994
508.2311, 22.51746
508.7132, 9.812378
509.1953, 3.155273
509.6775, 2.295410
510.1596, 4.321655
510.6417, 7.488770
511.1238, 13.46448
511.6059, 19.64124
512.0880, 31.48596
512.5701, 38.61597
513.0522, 40.85107
513.5344, 23.52466
514.0165, 31.45618
514.4986, 29.26562
514.9807, 26.65845
515.4628, 38.14429
515.9449, 23.66162
516.4271, 34.92285
516.9092, 35.90771
517.3913, 41.60693
517.8734, 37.12781
518.3555, 35.77588
518.8376, 44.61133
519.3198, 47.80554
519.8019, 42.13440
520.2840, 48.11890
520.7661, 33.27710
521.2482, 36.75330
521.7303, 48.09314
522.2125, 42.79126
522.6946, 48.71582
523.1767, 50.40625
523.6588, 35.89575
524.1409, 40.08972
524.6230, 50.91235
525.1052, 51.00146
525.5873, 39.16113
526.0694, 26.07043
526.5515, 21.88208
527.0336, 24.83752
527.5157, 30.95874
527.9979, 41.79651
528.4800, 50.79358
528.9621, 47.20032
529.4442, 35.30725
529.9263, 27.68481
530.4084, 35.34668
530.8906, 46.44604
531.3727, 52.90271
531.8548, 53.45874
532.3369, 52.85913
532.8190, 53.56604
533.3011, 52.94922
533.7833, 48.61572
534.2654, 30.68262
534.7475, 20.75781
535.2296, 26.40942
535.7117, 41.74036
536.1938, 45.09375
536.6760, 29.48218
537.1581, 15.19080
537.6402, 11.92896
538.1223, 20.91357
538.6044, 24.77551
539.0865, 22.07166
539.5687, 18.63513
540.0508, 24.90576
540.5329, 38.60156
541.0150, 41.41479
541.4971, 23.19849
541.9792, 1.660522
542.4614, 7.468140
542.9435, 3.055908
543.4256, 15.00928
543.9077, 23.59583
544.3898, 26.70361
544.8719, 19.38257
545.3541, 0.7011720
545.8362, 16.85144
546.3183, 21.68591
546.8004, 18.26111
547.2825, 9.939941
547.7646, 12.76868
548.2468, 28.70923
548.7289, 28.14502
549.2110, 16.05701
549.6931, 14.70325
550.1752, 35.58997
550.6573, 51.39685
551.1395, 47.29175
551.6216, 16.95801
552.1037, 7.044067
552.5858, 23.66614
553.0679, 47.19116
553.5500, 53.19263
554.0322, 42.68323
554.5143, 36.80396
554.9964, 41.25720
555.4785, 49.48877
555.9606, 48.53455
556.4427, 39.68298
556.9249, 29.84485
557.4070, 20.24866
557.8891, 13.41919
558.3712, 15.00208
558.8533, 26.80176
559.3354, 33.55054
559.8176, 17.84436
560.2997, 3.256592
560.7818, 11.84399
561.2639, 10.60852
561.7460, 28.86279
562.2281, 32.66309
562.7103, 26.33740
563.1924, 25.43970
563.6745, 34.85278
564.1566, 43.45081
564.6387, 47.73071
565.1208, 47.71155
565.6030, 42.35327
566.0851, 29.11572
566.5672, 16.60107
567.0493, 14.66492
567.5314, 22.87415
568.0135, 30.96948
568.4957, 37.21509
568.9778, 41.98279
569.4599, 46.33630
569.9420, 49.88904
570.4241, 50.78748
570.9063, 44.68665
571.3884, 37.51477
571.8705, 36.87964
572.3526, 43.02356
572.8347, 46.09106
573.3168, 37.56763
573.7990, 25.49207
574.2811, 16.59814
574.7632, 11.23926
575.2453, 10.40601
575.7274, 18.13257
576.2095, 29.88586
576.6917, 36.72009
577.1738, 37.86328
577.6559, 34.88892
578.1380, 24.66772
578.6201, 8.444458
579.1022, 9.792480
579.5844, 33.20532
580.0665, 57.48853
580.5486, 66.24280
581.0307, 61.10083
581.5128, 51.53149
581.9949, 37.06824
582.4771, 23.87183
582.9592, 20.45142
583.4413, 24.30786
583.9234, 29.26318
584.4055, 31.87073
584.8876, 35.25012
585.3698, 44.54944
585.8519, 57.93567
586.3340, 65.57397
586.8161, 57.37012
587.2982, 46.63928
587.7803, 41.27747
588.2625, 45.26160
588.7446, 46.27563
589.2267, 41.30371
589.7088, 34.80676
590.1909, 31.83960
590.6730, 34.12244
591.1552, 35.39160
591.6373, 34.88452
592.1194, 32.53735
592.6015, 26.57141
593.0836, 16.55029
593.5657, 9.709351
594.0479, 11.10315
594.5300, 18.92175
595.0121, 28.96387
595.4942, 40.85657
595.9763, 47.48523
596.4584, 36.25916
596.9406, 18.20801
597.4227, 7.954834
597.9048, 12.52417
598.3869, 20.33044
598.8690, 26.40308
599.3511, 30.39722
599.8333, 32.15491
600.3154, 31.34082
600.7975, 29.71313
601.2796, 23.06787
601.7617, 11.77966
602.2438, 18.46631
602.7260, 55.26526
603.2081, 88.80444
603.6902, 94.90918
604.1723, 72.21289
604.6544, 50.48120
605.1365, 30.09937
605.6187, 15.79028
606.1008, 15.96960
606.5829, 27.54346
607.0650, 37.85852
607.5471, 44.60217
608.0292, 46.69580
608.5114, 37.41223
608.9935, 20.62891
609.4756, 8.384155
609.9577, 13.61560
610.4398, 20.46069
610.9219, 16.73608
611.4041, 1.085205
611.8862, 11.03003
612.3683, 0.8039550
612.8504, 13.75476
613.3325, 20.26880
613.8146, 13.05615
614.2968, 9.036255
614.7789, 9.567749
615.2610, 13.18372
615.7431, 18.86096
616.2252, 27.38000
616.7073, 29.70239
617.1895, 19.08838
617.6716, 1.390991
618.1537, 8.015747
618.6358, 9.640137
619.1179, 5.808350
619.6000, 0.5964360
620.0822, 9.342896
620.5643, 22.33008
621.0464, 41.66809
621.5285, 54.59485
622.0106, 48.50427
622.4927, 34.72131
622.9749, 25.35608
623.4570, 27.16467
623.9391, 28.60583
624.4212, 27.80786
624.9033, 25.57373
625.3854, 23.06287
625.8676, 17.30396
626.3497, 18.25977
626.8318, 33.20935
627.3139, 59.60156
627.7960, 72.16077
628.2781, 70.12976
628.7603, 60.47253
629.2424, 44.29321
629.7245, 25.12646
630.2066, 11.74390
630.6887, 5.462036
631.1708, 4.178955
631.6530, 9.842041
632.1351, 18.38037
632.6172, 23.63367
633.0993, 19.53394
633.5814, 15.78296
634.0635, 17.43469
634.5457, 22.58752
635.0278, 23.79407
635.5099, 15.28174
635.9920, 8.434326
636.4741, 7.211426
636.9562, 12.07336
637.4384, 15.60510
637.9205, 17.33972
638.4026, 19.05347
638.8847, 24.00793
639.3668, 31.32178
639.8489, 30.47095
640.3311, 18.09021
640.8132, 5.823975
641.2953, 9.979004
641.7774, 24.52441
642.2595, 36.41382
642.7416, 40.78015
643.2238, 40.64880
643.7059, 34.49963
644.1880, 24.75867
644.6701, 19.43372
645.1522, 27.88196
645.6343, 35.08142
646.1165, 33.41003
646.5986, 21.55188
647.0807, 14.61804
647.5628, 14.51721
648.0449, 16.48682
648.5270, 16.38635
649.0092, 13.77234
649.4913, 16.72644
649.9734, 28.20300
650.4555, 38.43359
650.9376, 29.46252
651.4197, 7.001221
651.9019, 8.484009
652.3840, 9.279297
652.8661, 1.209717
653.3482, 18.99695
653.8303, 44.83997
654.3124, 56.51196
654.7946, 29.85767
655.2767, 0.9393310
655.7588, 13.01648
656.2409, 9.921997
656.7230, 2.984741
657.2051, 11.83875
657.6872, 25.06641
658.1693, 29.59863
658.6514, 21.94653
659.1335, 22.36218
659.6157, 33.61792
660.0978, 47.82410
660.5799, 54.98962
661.0620, 55.88513
661.5441, 53.95239
662.0262, 48.63330
662.5084, 43.33557
662.9905, 46.07214
663.4726, 52.55725
663.9547, 51.12183
664.4368, 23.29578
664.9189, 2.534790
665.4011, 9.291504
665.8832, 2.920410
666.3653, 14.29651
666.8474, 25.13574
667.3295, 31.09290
667.8116, 27.89758
668.2938, 10.79590
668.7759, 6.352905
669.2580, 17.32922
669.7401, 33.56970
670.2222, 49.45984
670.7043, 63.78198
671.1865, 66.74878
671.6686, 54.11316
672.1507, 35.97827
672.6328, 21.65491
673.1149, 11.59717
673.5970, 7.019165
674.0792, 12.02991
674.5613, 19.28430
675.0434, 24.95728
675.5255, 29.24170
676.0076, 33.42688
676.4897, 42.40833
676.9719, 48.12170
677.4540, 46.15967
677.9361, 34.68787
678.4182, 29.39551
678.9003, 31.67578
679.3824, 36.91602
679.8646, 44.09058
680.3467, 52.38000
680.8288, 49.78918
681.3109, 32.76135
681.7930, 15.31226
682.2751, 16.15918
682.7573, 28.07581
683.2394, 36.37732
683.7215, 33.07068
684.2036, 28.94910
684.6857, 31.69519
685.1678, 38.17212
685.6500, 41.16821
686.1321, 32.02100
686.6142, 26.83667
687.0963, 33.10522
687.5784, 48.77661
688.0605, 52.64124
688.5427, 39.11621
689.0248, 28.16614
689.5069, 35.00391
689.9890, 57.08960
690.4711, 63.59631
690.9532, 53.19897
691.4354, 38.94556
691.9175, 30.17615
692.3996, 26.33777
692.8817, 27.41382
693.3638, 35.05701
693.8459, 42.47205
694.3281, 47.04614
694.8102, 48.69727
695.2923, 47.28906
695.7744, 37.26477
696.2565, 31.28491
696.7386, 32.52551
697.2208, 38.50635
697.7029, 44.00818
698.1850, 49.73401
698.6671, 51.30957
699.1492, 44.42041
699.6313, 33.31799
700.1135, 33.54871
700.5956, 44.55286
701.0777, 56.69373
701.5598, 62.93457
702.0419, 66.81311
702.5240, 74.82654
703.0062, 87.81458
703.4883, 93.97461
703.9704, 80.49536
704.4525, 62.25879
704.9346, 51.08215
705.4167, 57.01648
705.8989, 54.68237
706.3810, 36.69897
706.8631, 16.73242
707.3452, 12.80872
707.8273, 27.56580
708.3094, 41.47375
708.7916, 52.24231
709.2737, 58.74170
709.7558, 56.02344
710.2379, 46.48828
710.7200, 38.55359
711.2021, 36.96729
