##NAMES=Pyrrhotite
##RRUFFID=R061127
##IDEAL CHEMISTRY=Fe^2+^_5_Fe^3+^_2_S^2-^_8_
##LOCALITY=Morro Velho Gold mine, Nova Umha, Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Brass colored, prismatic crystals associated with quartz and dolomite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R061127
654.6816, 2.188124
655.1637, 7.4721999E-02
655.6458, 1.639157
656.1279, 0.6819020
656.6100, 6.2933996E-02
657.0922, 1.548240
657.5743, 4.766550
658.0564, 7.001675
658.5385, 6.725098
659.0206, 5.483683
659.5027, 4.346539
659.9849, 3.436044
660.4670, 3.184669
660.9491, 3.723598
661.4312, 4.524698
661.9133, 5.198641
662.3954, 5.722214
662.8776, 5.762851
663.3597, 4.807011
663.8418, 4.015346
664.3239, 3.462660
664.8060, 3.137427
665.2881, 3.195617
665.7703, 3.502049
666.2524, 3.591585
666.7345, 2.917089
667.2166, 2.051805
667.6987, 2.193530
668.1808, 3.303018
668.6630, 3.795094
669.1451, 3.033942
669.6272, 2.203211
670.1093, 2.698992
670.5914, 4.389979
671.0735, 5.024418
671.5557, 3.181252
672.0378, 2.023633
672.5199, 3.343509
673.0020, 5.399332
673.4841, 6.122864
673.9662, 5.419930
674.4484, 4.844352
674.9305, 5.716870
675.4126, 7.428320
675.8947, 7.817001
676.3768, 6.523581
676.8589, 5.496771
677.3411, 5.195102
677.8232, 5.197020
678.3053, 5.366286
678.7874, 5.576962
679.2695, 5.326260
679.7516, 3.922091
680.2338, 2.761569
680.7159, 3.073177
681.1980, 4.005036
681.6801, 4.225574
682.1622, 3.516150
682.6443, 2.270377
683.1265, 0.6222540
683.6086, 1.060146
684.0907, 0.7743370
684.5728, 2.964983
685.0549, 5.417505
685.5370, 4.724875
686.0192, 3.648423
686.5013, 3.703712
686.9834, 4.681839
687.4655, 5.755039
687.9476, 6.749237
688.4297, 7.512413
688.9119, 7.887846
689.3940, 7.875496
689.8761, 7.307058
690.3582, 6.180290
690.8403, 5.103335
691.3224, 4.598465
691.8046, 4.478708
692.2867, 3.811567
692.7688, 1.781808
693.2509, 0.5298240
693.7330, 0.8979630
694.2151, 1.320366
