##NAMES=Bornite
##RRUFFID=R070636
##IDEAL CHEMISTRY=Cu^1+^_5_Fe^3+^S^2-^_4_
##LOCALITY=mine 65, 180 m. level, Dzheskazgan mining district, central Kazakhstan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Iridescent blue metallic crystal associated with calcite, malachite and hematite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070636
511.4843, 71.62585
511.9664, 73.97530
512.4485, 62.50056
512.9306, 52.40828
513.4127, 47.89009
513.8948, 46.31311
514.3770, 46.35727
514.8591, 47.31178
515.3412, 46.56050
515.8233, 41.88718
516.3054, 34.24092
516.7875, 29.33084
517.2697, 27.20471
517.7518, 27.90097
518.2339, 37.08452
518.7160, 45.89697
519.1981, 43.18910
519.6802, 28.10443
520.1624, 12.27142
520.6445, 9.510010
521.1266, 20.21358
521.6087, 28.18497
522.0908, 33.46524
522.5729, 35.61786
523.0551, 33.60123
523.5372, 28.61531
524.0193, 23.01225
524.5014, 18.09856
524.9835, 13.44753
525.4656, 7.879593
525.9478, 2.215790
526.4299, 1.689484
526.9120, 9.314377
527.3941, 18.19678
527.8762, 19.76253
528.3583, 13.74292
528.8405, 8.209106
529.3226, 2.572433
529.8047, 1.195831
530.2868, 1.533386
530.7689, 1.076889
531.2510, 5.217010
531.7332, 10.18033
532.2153, 16.13425
532.6974, 23.67801
533.1795, 41.21291
533.6616, 46.96172
534.1437, 28.91138
534.6259, 9.318573
535.1080, 3.352066
535.5901, 9.596573
536.0722, 15.81644
536.5543, 12.48067
537.0364, 3.113358
537.5186, 1.383087
538.0007, 0.4294890
538.4828, 3.231247
538.9649, 10.82849
539.4470, 19.31865
539.9291, 25.68210
540.4113, 29.83827
540.8934, 30.80418
541.3755, 24.02431
541.8576, 15.24890
542.3397, 16.13412
542.8218, 27.54486
543.3040, 35.66168
543.7861, 28.91783
544.2682, 9.630066
544.7503, 2.077530
545.2324, 1.788239
545.7145, 0.4192810
546.1967, 0.2552490
546.6788, 4.6539001E-02
547.1609, 1.794479
547.6430, 5.361557
548.1251, 10.87946
548.6072, 20.22864
549.0894, 33.84651
549.5715, 37.19907
550.0536, 21.06970
550.5357, 7.805786
551.0178, 8.441879
551.4999, 15.48413
551.9821, 18.78653
552.4642, 14.91211
552.9463, 8.388412
553.4284, 3.583771
553.9105, 0.4439540
554.3926, 1.803665
554.8748, 3.826538
555.3569, 3.863098
555.8390, 0.4339290
556.3211, 6.604950
556.8032, 12.56593
557.2853, 15.47182
557.7675, 19.28490
558.2496, 29.77017
558.7317, 41.43182
559.2138, 42.82042
559.6959, 30.14299
560.1780, 13.20609
560.6602, 7.623520
561.1423, 17.32927
561.6244, 22.64629
562.1065, 17.84628
562.5886, 14.14423
563.0707, 16.47435
563.5529, 22.13258
564.0350, 25.64879
564.5171, 24.09120
564.9992, 21.25595
565.4813, 24.38466
565.9634, 32.54416
566.4456, 32.95645
566.9277, 19.25322
567.4098, 3.116287
567.8919, 2.126755
568.3740, 2.306702
568.8561, 6.213501
569.3383, 8.403107
569.8204, 9.370483
570.3025, 7.971771
570.7846, 5.679047
571.2667, 6.753830
571.7488, 13.07310
572.2310, 20.60643
572.7131, 21.38254
573.1952, 10.60364
573.6773, 6.105728
574.1594, 13.85057
574.6415, 21.59465
575.1237, 24.09137
575.6058, 22.52582
