##NAMES=Yarrowite
##RRUFFID=R060536
##IDEAL CHEMISTRY=Cu_9_S_8_
##LOCALITY=Yarrow Creek, southwestern Alberta, Canada
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black metallic massive, amorphous
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060536
621.959, 86.092
622.441, 72.263
622.923, 64.452
623.406, 68.356
623.888, 73.128
624.370, 69.655
624.852, 60.786
625.334, 81.323
625.816, 149.819
626.298, 213.282
626.780, 242.948
627.263, 237.726
627.745, 218.732
628.227, 184.669
628.709, 143.712
629.191, 93.579
629.673, 43.022
630.155, 20.242
630.637, 37.374
631.119, 69.127
631.602, 108.964
632.084, 144.816
632.566, 153.765
633.048, 89.208
633.530, 33.187
634.012, 31.001
634.494, 72.920
634.976, 91.762
635.458, 53.651
635.941, 21.057
636.423, 18.961
636.905, 51.182
637.387, 71.077
637.869, 74.728
638.351, 76.325
638.833, 97.823
639.315, 133.570
639.797, 127.034
640.280, 63.051
640.762, 7.380
641.244, 16.122
641.726, 13.236
642.208, 29.861
642.690, 1.671
643.172, 30.220
643.654, 6.944
644.137, 45.232
644.619, 66.473
645.101, 1.740
645.583, 63.222
646.065, 82.022
646.547, 59.405
647.029, 32.989
647.511, 2.612
647.994, 31.887
648.476, 78.132
648.958, 138.919
649.440, 155.728
649.922, 119.983
650.404, 74.503
650.886, 61.157
651.368, 74.495
651.851, 105.367
652.333, 62.622
652.815, 122.902
653.297, 158.190
653.779, 169.835
654.261, 86.944
654.743, 126.138
655.225, 116.403
655.707, 104.674
656.190, 161.057
656.672, 91.943
657.154, 147.242
657.636, 152.886
658.118, 147.022
658.600, 145.514
659.082, 149.667
659.564, 161.584
660.046, 169.574
660.529, 164.767
661.011, 148.473
661.493, 120.329
661.975, 77.411
662.457, 47.105
662.939, 70.252
663.421, 117.014
663.903, 144.537
664.385, 133.553
664.868, 116.780
665.350, 99.891
665.832, 88.503
666.314, 92.116
666.796, 136.714
667.278, 165.462
667.760, 159.784
668.242, 131.627
668.724, 136.553
669.207, 186.584
669.689, 217.978
670.171, 182.063
670.653, 102.701
671.135, 97.490
671.617, 164.093
672.099, 226.224
672.581, 216.017
673.064, 172.004
673.546, 147.403
674.028, 151.655
674.510, 150.838
674.992, 116.022
675.474, 75.809
675.956, 55.696
676.438, 87.885
676.920, 100.694
677.403, 76.663
677.885, 42.455
678.367, 43.236
678.849, 95.568
679.331, 112.373
679.813, 62.635
680.295, 18.131
680.778, 49.854
681.260, 36.759
681.742, 12.384
682.224, 8.232
682.706, 28.834
683.188, 64.254
683.670, 108.458
684.152, 128.862
684.634, 63.315
