##NAMES=Waylandite
##RRUFFID=R130361
##IDEAL CHEMISTRY=Bi^3+^Al_3_(PO_4_)_2_(OH)_6_
##LOCALITY=Ngussa, Kivu, Zaire
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Colorless to pale brown crystals, associated with prismatic dark brown or bluish fluor-dravite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130361
655.3666, 3.595703
655.8488, 2.495728
656.3309, 2.312744
656.8130, 2.357178
657.2951, 2.187744
657.7772, 1.607910
658.2593, 1.358276
658.7415, 1.481445
659.2236, 1.879028
659.7057, 2.604980
660.1878, 3.641602
660.6699, 4.245728
661.1520, 4.212891
661.6342, 3.835327
662.1163, 3.311157
662.5984, 2.761353
663.0805, 2.514893
663.5626, 3.032837
664.0447, 3.547485
664.5269, 3.537231
665.0090, 3.085083
665.4911, 2.449341
665.9732, 0.8872070
666.4553, 2.8564001E-02
666.9374, 0.8775630
667.4196, 3.413208
667.9017, 4.406372
668.3838, 3.184937
668.8659, 1.739990
669.3480, 1.112793
669.8301, 1.296387
670.3123, 1.274170
670.7944, 1.052490
671.2765, 0.6073000
671.7586, 0.5552980
672.2407, 1.893433
672.7228, 2.006592
673.2050, 0.5592040
673.6871, 1.060059
674.1692, 1.920288
674.6513, 2.321289
675.1334, 2.588745
675.6155, 2.666382
676.0977, 2.806885
676.5798, 3.132935
677.0619, 3.519409
677.5440, 3.776367
678.0261, 3.865967
678.5082, 3.930298
678.9904, 4.052856
679.4725, 4.151001
679.9546, 4.016724
680.4367, 3.660034
680.9188, 3.085083
681.4009, 2.020996
681.8831, 0.9434810
682.3652, 0.8985600
682.8473, 1.729248
683.3294, 2.616211
683.8115, 3.246216
684.2936, 3.632568
684.7758, 3.771362
685.2579, 3.661743
685.7400, 3.443115
686.2221, 2.732666
686.7042, 2.310669
687.1863, 2.557861
687.6685, 3.565796
688.1506, 4.820923
688.6327, 6.463867
689.1148, 8.096313
689.5969, 9.496704
690.0790, 10.63892
690.5612, 10.93762
691.0433, 10.19397
691.5254, 9.238281
692.0075, 9.329102
692.4896, 9.832764
692.9717, 9.490356
693.4539, 7.476196
693.9360, 5.473633
694.4181, 4.333252
694.9002, 3.940430
695.3823, 4.048096
695.8644, 5.395264
696.3466, 6.261719
696.8287, 6.256714
697.3108, 5.697266
697.7929, 5.359741
698.2750, 5.418823
698.7571, 5.198120
699.2393, 4.189575
699.7214, 2.785278
700.2035, 2.514160
700.6856, 3.256592
701.1677, 3.949341
701.6498, 3.712280
702.1320, 3.233521
702.6141, 3.397827
703.0962, 4.136230
703.5783, 4.697754
704.0604, 4.667969
704.5425, 4.469482
705.0247, 4.149658
705.5068, 3.555908
705.9889, 3.681396
706.4710, 5.199341
706.9531, 6.562012
707.4352, 6.608521
707.9174, 5.185547
708.3995, 4.094604
708.8816, 3.385254
709.3637, 2.944702
709.8458, 2.657593
710.3279, 2.565796
710.8101, 2.940918
711.2922, 4.046021
711.7743, 4.729980
712.2564, 3.594849
712.7385, 1.754517
713.2206, 0.5389400
713.7028, 0.6925050
714.1849, 0.9754640
714.6670, 1.055298
715.1491, 1.205688
715.6312, 1.952271
716.1133, 3.815430
716.5955, 4.715942
717.0776, 4.021240
717.5597, 2.476929
718.0418, 1.502441
718.5239, 1.075806
719.0060, 1.179932
719.4882, 2.094360
719.9703, 3.178101
720.4524, 3.538208
720.9345, 3.386963
721.4166, 3.414795
721.8987, 4.257324
722.3809, 5.028687
722.8630, 5.186646
723.3451, 4.803833
723.8272, 4.608276
724.3093, 4.762817
724.7914, 4.979614
725.2736, 5.296021
725.7557, 5.644287
726.2378, 4.926880
726.7199, 2.989014
727.2020, 1.768921
727.6841, 3.283203
728.1663, 5.950684
728.6484, 6.346191
729.1305, 4.473389
729.6126, 2.506226
730.0947, 1.692017
730.5768, 1.597534
731.0590, 2.070923
731.5411, 3.202881
732.0232, 3.811890
732.5053, 2.711426
732.9874, 1.774414
733.4695, 2.369385
733.9517, 5.349854
734.4338, 6.611328
734.9159, 5.784180
735.3980, 4.288818
735.8801, 3.152710
736.3622, 2.566162
736.8444, 3.836548
737.3265, 7.625610
737.8086, 10.96228
738.2907, 10.67224
738.7728, 8.390503
739.2549, 6.189209
739.7371, 4.557861
740.2192, 3.200928
740.7013, 1.553589
741.1834, 0.3917240
741.6655, 0.8972170
742.1476, 4.440796
742.6298, 6.200806
743.1119, 5.100098
743.5940, 2.642212
744.0761, 1.286743
744.5582, 0.9779050
745.0403, 1.416992
745.5225, 2.708862
