##NAMES=Kyanite
##RRUFFID=R100139
##IDEAL CHEMISTRY=Al_2_OSiO_4_
##LOCALITY=Madagascar
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Blue prismatic crystal fragment, slightly water-worn
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100139
641.6644, 7745.234
642.1465, 7741.600
642.6287, 7735.638
643.1108, 7723.882
643.5929, 7712.853
644.0750, 7708.087
644.5571, 7707.947
645.0392, 7706.728
645.5214, 7701.088
646.0035, 7693.529
646.4856, 7688.036
646.9677, 7684.612
647.4498, 7682.110
647.9319, 7680.213
648.4141, 7679.518
648.8962, 7682.858
649.3783, 7688.037
649.8604, 7686.545
650.3425, 7672.412
650.8246, 7658.634
651.3068, 7650.050
651.7889, 7644.706
652.2710, 7641.026
652.7531, 7638.327
653.2352, 7635.531
653.7173, 7631.868
654.1995, 7627.313
654.6816, 7621.259
655.1637, 7611.634
655.6458, 7605.521
656.1279, 7608.278
656.6100, 7611.369
657.0922, 7608.869
657.5743, 7602.366
658.0564, 7598.245
658.5385, 7601.773
659.0206, 7604.688
659.5027, 7597.030
659.9849, 7582.462
660.4670, 7571.341
660.9491, 7566.103
661.4312, 7563.438
661.9133, 7560.752
662.3954, 7557.960
662.8776, 7553.798
663.3597, 7547.521
663.8418, 7540.890
664.3239, 7533.614
664.8060, 7526.405
665.2881, 7518.420
665.7703, 7510.786
666.2524, 7507.804
666.7345, 7514.752
667.2166, 7524.011
667.6987, 7519.299
668.1808, 7501.087
668.6630, 7487.155
669.1451, 7482.731
669.6272, 7481.128
670.1093, 7475.750
670.5914, 7467.049
671.0735, 7461.318
671.5557, 7461.597
672.0378, 7461.140
672.5199, 7457.325
673.0020, 7451.908
673.4841, 7446.234
673.9662, 7440.877
674.4484, 7436.789
674.9305, 7435.066
675.4126, 7434.573
675.8947, 7430.925
676.3768, 7422.966
676.8589, 7417.098
677.3411, 7414.977
677.8232, 7415.033
678.3053, 7417.780
678.7874, 7421.881
679.2695, 7422.183
679.7516, 7416.467
680.2338, 7408.060
680.7159, 7396.938
681.1980, 7385.159
681.6801, 7374.979
682.1622, 7367.232
682.6443, 7364.359
683.1265, 7369.648
683.6086, 7379.831
684.0907, 7378.103
684.5728, 7356.574
685.0549, 7340.275
685.5370, 7334.357
686.0192, 7332.969
686.5013, 7336.003
686.9834, 7340.943
