##NAMES=Uchucchacuaite
##RRUFFID=R100213
##IDEAL CHEMISTRY=Ag^1+^Mn^2+^Pb^2+^_3_Sb^3+^_5_S^2-^_12_
##LOCALITY=Uchuc-Chacua, Lima, Peru
##OWNER=RRUFF
##SOURCE=Mark N. Feinglos
##DESCRIPTION=Bright silver metallic massive, associated with quartz
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R100213
##MEASURED CHEMISTRY=Ag_0.99_(Mn_0.92_Pb_0.03_Sb_0.02_Bi_0.01_)_Σ=0.98_Pb_3.00_Sb_5.00_S_12.00_ ; (Note: bright phase is galena, PbS)
470.9435, 12.48476
471.4256, 13.36643
471.9077, 12.64034
472.3899, 11.08440
472.8720, 9.007973
473.3541, 6.192726
473.8362, 4.790001
474.3183, 5.451561
474.8004, 6.845497
475.2826, 5.829742
475.7647, 2.463821
476.2468, 8.4793001E-02
476.7289, 0.2649380
477.2110, 2.246536
477.6931, 5.286224
478.1753, 9.367775
478.6574, 11.55615
479.1395, 6.332428
479.6216, 1.466667
480.1037, 4.070045
480.5858, 3.456802
481.0680, 11.06782
481.5501, 9.999313
482.0322, 4.020958
482.5143, 0.9993060
482.9964, 7.689705
483.4786, 14.71592
483.9607, 18.01536
484.4428, 17.01070
484.9249, 14.71278
485.4070, 9.229843
485.8892, 4.206238
486.3713, 2.341156
486.8534, 6.576973
487.3355, 9.689804
487.8176, 11.64237
488.2997, 12.32673
488.7819, 11.25483
489.2640, 7.222450
489.7461, 4.055664
490.2282, 3.366936
490.7103, 5.001511
491.1924, 5.831444
491.6746, 5.821602
492.1567, 5.181763
492.6388, 3.749481
493.1209, 1.654053
493.6030, 0.1786880
494.0851, 0.5227580
494.5673, 0.5776060
495.0494, 3.5896000E-02
495.5315, 1.034286
496.0136, 2.363098
496.4957, 3.835045
496.9778, 5.499672
497.4600, 8.023643
497.9421, 11.19656
498.4242, 13.14066
498.9063, 11.58788
499.3884, 8.982567
499.8705, 7.486839
500.3527, 7.954430
500.8348, 8.495377
501.3169, 8.761566
501.7990, 8.617966
502.2811, 7.864624
502.7632, 4.589516
503.2454, 2.727539
503.7275, 3.879066
504.2096, 7.683090
504.6917, 10.25458
505.1738, 11.02651
505.6559, 11.30939
506.1381, 12.00093
506.6202, 13.67639
507.1023, 12.90861
507.5844, 8.485786
508.0665, 3.800987
508.5486, 4.449303
509.0308, 10.60270
509.5129, 14.98515
509.9950, 15.43839
510.4771, 13.28424
510.9592, 10.55982
511.4413, 7.431137
511.9235, 5.351936
512.4056, 6.181892
512.8877, 8.290047
513.3698, 9.518776
513.8519, 9.733330
514.3340, 8.618645
514.8162, 4.122269
515.2983, 1.168869
515.7804, 4.103706
516.2625, 2.404602
516.7446, 0.1040340
517.2267, 2.607796
517.7089, 4.807899
518.1910, 5.929199
518.6731, 5.110031
519.1552, 3.841690
519.6373, 2.335037
520.1194, 0.4593660
520.6016, 0.2887800
521.0837, 0.6724550
521.5658, 2.117348
522.0479, 3.180328
522.5300, 3.729263
523.0121, 4.370689
523.4943, 5.233109
523.9764, 6.085396
524.4585, 6.292755
524.9406, 5.824974
