##NAMES=Tourmaline
##RRUFFID=R080010
##LOCALITY=east Africa
##OWNER=RRUFF
##SOURCE=www.multicolour.com
##DESCRIPTION=Green gemmy fragments, consistent with dravite
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R080010
599.5640, 98.18750
600.0461, 178.3281
600.5283, 199.1523
601.0104, 125.6680
601.4925, 75.59375
601.9746, 94.89844
602.4567, 130.5508
602.9388, 142.9688
603.4210, 134.3086
603.9031, 133.1523
604.3852, 170.0039
604.8673, 201.8906
605.3494, 164.0469
605.8315, 93.18359
606.3137, 102.0039
606.7958, 223.7070
607.2779, 351.0352
607.7600, 341.4219
608.2421, 182.3984
608.7242, 79.68750
609.2064, 67.21094
609.6885, 68.09766
610.1706, 54.49219
610.6527, 43.09766
611.1348, 58.47656
611.6169, 104.8672
612.0991, 144.9805
612.5812, 155.1914
613.0633, 146.4492
613.5454, 128.5664
614.0275, 104.3086
614.5096, 83.41406
614.9918, 69.49609
615.4739, 64.90625
615.9560, 78.27734
616.4381, 129.1719
616.9202, 140.9180
617.4023, 60.25000
617.8845, 3.503906
618.3666, 2.339844
618.8487, 39.94531
619.3308, 86.07422
619.8129, 124.3672
620.2950, 153.6719
620.7772, 170.4805
621.2593, 182.6094
621.7414, 202.8867
622.2235, 231.7656
622.7056, 263.9688
623.1877, 298.1523
623.6699, 330.3320
624.1520, 348.1484
624.6341, 357.4414
625.1162, 341.3594
625.5983, 260.0703
626.0804, 193.4102
626.5626, 197.3203
627.0446, 251.0781
627.5267, 304.5820
628.0089, 345.4336
628.4910, 357.5938
628.9731, 302.0234
629.4552, 204.4922
629.9373, 144.2891
630.4194, 135.1875
630.9016, 145.2344
631.3837, 149.7188
631.8658, 151.3672
632.3479, 167.5391
632.8300, 239.2539
633.3121, 267.8750
633.7943, 217.3359
634.2764, 148.0273
634.7585, 78.83203
635.2406, 26.66016
635.7227, 34.32031
636.2048, 165.2852
636.6870, 310.6484
637.1691, 322.0586
637.6512, 233.5195
638.1333, 166.8438
638.6154, 149.6602
639.0975, 163.9609
639.5797, 200.5078
640.0618, 256.0859
640.5439, 274.7656
641.0260, 227.1875
641.5081, 180.2383
641.9902, 121.9727
642.4724, 81.82031
642.9545, 92.83594
643.4366, 148.4570
643.9187, 204.0547
644.4008, 241.8516
644.8829, 260.2969
645.3651, 243.5273
645.8472, 204.1133
646.3293, 192.8555
646.8114, 225.0078
647.2935, 267.8594
647.7756, 286.5195
648.2578, 280.9102
648.7399, 284.1602
649.2220, 320.6562
649.7041, 330.0117
650.1862, 277.4805
650.6683, 215.8828
651.1505, 198.1172
651.6326, 221.9648
652.1147, 232.1250
652.5968, 176.7383
653.0789, 109.9141
653.5610, 91.75781
654.0432, 114.7227
654.5253, 162.8477
655.0074, 231.9453
655.4895, 291.7539
655.9716, 304.9766
656.4537, 270.9375
