##NAMES=Rheniite
##RRUFFID=R050362
##IDEAL CHEMISTRY=ReS_2_
##LOCALITY=Kudryaviy Volcano, Iturup Island, Kurilian Chain, Russia
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Bright, shiney metallic crystals associated with anhydrite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R050362
586.328, 14.219
586.811, 14.275
587.293, 21.168
587.775, 34.411
588.257, 46.369
588.739, 64.732
589.221, 69.407
589.703, 43.780
590.185, 13.591
590.667, 1.088
591.150, 7.334
591.632, 17.305
592.114, 25.870
592.596, 30.613
593.078, 23.032
593.560, 5.792
594.042, 0.001
594.524, 15.904
595.007, 38.340
595.489, 41.428
595.971, 20.237
596.453, 9.910
596.935, 18.154
597.417, 28.109
597.899, 37.493
598.381, 43.712
598.864, 42.555
599.346, 32.920
599.828, 22.719
600.310, 21.359
600.792, 26.369
601.274, 26.098
601.756, 18.681
602.238, 14.446
602.721, 19.978
603.203, 31.934
603.685, 42.834
604.167, 55.261
604.649, 60.913
605.131, 53.822
605.613, 44.742
606.095, 35.548
606.577, 29.886
607.060, 38.434
607.542, 67.668
608.024, 99.948
608.506, 104.651
608.988, 82.157
609.470, 63.995
609.952, 53.820
610.434, 47.599
610.916, 42.883
611.399, 40.076
611.881, 40.417
612.363, 45.791
612.845, 51.541
613.327, 60.792
613.809, 66.778
614.291, 57.927
614.773, 37.840
615.255, 24.471
615.738, 30.777
616.220, 48.497
616.702, 56.904
617.184, 55.259
617.666, 48.038
618.148, 28.643
618.630, 13.636
619.112, 22.984
619.594, 48.714
620.077, 63.096
620.559, 55.538
621.041, 42.872
621.523, 27.250
622.005, 13.745
622.487, 11.948
622.969, 21.657
623.451, 31.206
623.934, 29.782
624.416, 21.339
624.898, 27.277
625.380, 55.533
625.862, 71.196
626.344, 54.208
626.826, 34.141
627.308, 37.827
627.791, 61.403
628.273, 80.891
628.755, 88.410
629.237, 91.544
629.719, 95.834
630.201, 98.682
630.683, 93.667
631.165, 80.245
631.648, 66.653
632.130, 61.490
632.612, 63.370
633.094, 60.190
633.576, 48.523
634.058, 40.161
634.540, 41.034
635.022, 44.079
635.504, 44.880
635.987, 43.005
636.469, 36.371
636.951, 17.051
637.433, 0.726
637.915, 5.039
638.397, 0.364
638.879, 8.943
639.361, 18.631
639.843, 28.514
640.326, 37.989
640.808, 46.896
641.290, 52.598
641.772, 55.347
642.254, 54.205
642.736, 43.145
643.218, 32.222
643.700, 31.150
644.182, 39.665
644.665, 48.174
645.147, 53.807
645.629, 58.118
646.111, 62.875
646.593, 67.071
647.075, 68.107
647.557, 65.486
648.039, 62.012
648.521, 60.572
649.004, 61.132
649.486, 64.108
649.968, 74.018
650.450, 75.469
650.932, 53.349
651.414, 28.862
651.896, 24.110
652.378, 38.678
652.861, 50.122
653.343, 54.624
653.825, 51.320
654.307, 30.505
654.789, 3.945
655.271, 3.610
655.753, 12.707
656.235, 31.761
656.718, 30.828
657.200, 12.795
657.682, 0.149
658.164, 6.628
658.646, 9.178
659.128, 5.724
659.610, 0.148
660.092, 4.492
660.575, 8.093
661.057, 8.495
661.539, 3.113
662.021, 3.248
662.503, 11.659
662.985, 17.881
663.467, 13.673
663.949, 1.445
664.431, 17.787
664.914, 26.952
665.396, 29.847
665.878, 29.621
666.360, 26.048
666.842, 20.242
667.324, 10.289
667.806, 1.064
668.288, 3.462
668.770, 3.269
669.253, 4.870
669.735, 27.651
670.217, 50.734
670.699, 73.249
671.181, 90.595
671.663, 95.372
672.145, 88.431
672.627, 79.403
673.109, 76.638
673.592, 75.313
674.074, 60.203
674.556, 31.246
675.038, 14.871
675.520, 20.537
676.002, 30.806
676.484, 29.247
676.966, 16.739
677.448, 8.206
677.931, 2.363
678.413, 1.752
678.895, 8.361
679.377, 19.213
679.859, 36.078
680.341, 55.419
680.823, 66.351
681.305, 60.950
681.788, 48.576
682.270, 39.880
682.752, 35.102
683.234, 36.946
683.716, 46.399
684.198, 55.330
684.680, 56.717
685.162, 52.929
685.644, 54.960
686.127, 68.969
686.609, 78.791
687.091, 78.904
687.573, 80.454
688.055, 95.706
688.537, 114.472
689.019, 117.371
689.502, 94.149
689.984, 72.317
690.466, 75.684
690.948, 89.423
691.430, 96.183
691.912, 94.323
692.394, 83.827
692.876, 63.339
693.358, 40.482
693.841, 33.793
694.323, 49.076
694.805, 58.721
695.287, 59.377
695.769, 58.302
696.251, 60.069
696.733, 61.977
697.215, 59.337
697.697, 50.269
698.180, 43.739
698.662, 48.237
699.144, 52.422
699.626, 39.193
700.108, 18.321
700.590, 17.565
701.072, 46.546
701.554, 80.087
702.036, 85.553
702.519, 65.621
703.001, 46.031
703.483, 24.624
703.965, 15.335
704.447, 30.139
704.929, 51.894
705.411, 55.463
705.893, 38.242
706.375, 28.464
706.858, 32.588
707.340, 38.017
707.822, 41.548
708.304, 42.967
708.786, 41.832
709.268, 38.719
709.750, 36.642
710.232, 37.961
710.715, 41.309
711.197, 46.067
711.679, 51.292
712.161, 50.854
712.643, 42.875
713.125, 33.568
713.607, 28.067
714.089, 26.503
714.571, 31.225
715.054, 49.622
715.536, 61.129
716.018, 58.408
716.500, 53.032
716.982, 48.891
717.464, 47.970
717.946, 55.720
718.429, 80.639
718.911, 98.477
719.393, 87.126
719.875, 64.324
720.357, 53.596
720.839, 54.677
721.321, 52.989
721.803, 40.073
722.285, 26.920
722.768, 37.936
723.250, 74.499
723.732, 100.736
724.214, 116.572
724.696, 117.160
725.178, 90.805
725.660, 53.912
726.142, 38.319
726.625, 47.926
727.107, 57.777
727.589, 67.325
728.071, 74.576
728.553, 77.871
729.035, 78.665
729.517, 79.310
729.999, 80.098
730.481, 78.717
730.964, 71.205
731.446, 61.672
731.928, 57.571
732.410, 57.987
732.892, 58.509
733.374, 57.936
733.856, 57.302
734.338, 58.116
734.820, 59.717
735.303, 55.834
735.785, 42.013
736.267, 31.953
736.749, 27.097
737.231, 27.209
737.713, 35.809
738.195, 49.207
738.677, 56.478
739.159, 52.468
739.642, 47.955
740.124, 47.856
740.606, 49.432
741.088, 50.471
741.570, 50.609
742.052, 49.657
742.534, 47.498
743.016, 45.025
743.498, 47.311
743.981, 51.585
744.463, 34.025
744.945, 9.589
745.427, 35.179
745.909, 16.456
746.391, 17.770
746.873, 18.950
747.356, 23.391
747.838, 40.749
748.320, 7.482
748.802, 18.449
749.284, 17.772
749.766, 8.087
750.248, 5.351
750.730, 10.908
751.212, 19.002
751.695, 30.172
752.177, 39.551
752.659, 44.178
753.141, 44.118
753.623, 37.369
754.105, 25.171
754.587, 14.360
755.069, 9.907
755.552, 9.754
756.034, 8.631
756.516, 6.360
756.998, 9.623
757.480, 20.802
757.962, 32.158
758.444, 39.569
758.926, 43.714
759.408, 45.938
759.891, 44.430
760.373, 45.484
760.855, 55.817
761.337, 61.259
761.819, 49.605
762.301, 32.831
762.783, 29.286
763.265, 41.411
763.747, 48.004
764.230, 27.173
764.712, 2.305
765.194, 0.603
765.676, 11.924
766.158, 26.500
766.640, 38.922
767.122, 44.644
767.604, 37.990
768.086, 24.554
768.569, 25.241
769.051, 42.352
769.533, 51.290
770.015, 44.859
770.497, 38.709
770.979, 46.613
771.461, 62.394
771.943, 64.582
772.425, 40.301
772.908, 28.715
773.390, 43.011
773.872, 57.957
774.354, 62.204
774.836, 58.721
775.318, 52.012
775.800, 43.180
776.282, 34.348
776.765, 25.567
777.247, 18.440
777.729, 12.315
778.211, 9.651
778.693, 19.371
779.175, 42.135
779.657, 63.773
780.139, 71.934
780.622, 68.586
781.104, 57.379
781.586, 37.281
782.068, 25.927
782.550, 28.544
783.032, 33.620
783.514, 32.254
783.996, 27.303
784.479, 28.631
784.961, 42.397
785.443, 51.200
785.925, 53.198
786.407, 52.260
