##NAMES=Allanite-(Ce)
##RRUFFID=R080044
##IDEAL CHEMISTRY=CaCeAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH)
##LOCALITY=Aquarius Range, Mohave County, Arizona, USA
##OWNER=RRUFF
##SOURCE=John Weber
##DESCRIPTION=Dark brown fragment from metamict sample R060418, after heating at T = 850 C for 18 hours
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R080044
520.6874, 2323.574
521.1695, 2321.475
521.6516, 2314.918
522.1337, 2308.272
522.6158, 2304.631
523.0980, 2303.248
523.5801, 2302.010
524.0622, 2300.202
524.5443, 2298.217
525.0264, 2296.375
525.5085, 2294.695
525.9907, 2293.652
526.4728, 2293.895
526.9549, 2293.767
527.4370, 2290.298
527.9191, 2282.765
528.4012, 2276.638
528.8834, 2271.938
529.3655, 2269.260
529.8476, 2270.608
530.3297, 2274.442
530.8118, 2276.428
531.2939, 2274.120
531.7761, 2269.242
532.2582, 2266.299
532.7403, 2267.237
533.2224, 2266.448
533.7045, 2262.320
534.1866, 2257.961
534.6688, 2255.331
535.1509, 2254.127
535.6330, 2252.894
536.1151, 2250.658
536.5972, 2247.780
537.0793, 2245.206
537.5615, 2243.048
538.0436, 2240.833
538.5257, 2238.548
539.0078, 2236.099
539.4899, 2233.609
539.9720, 2231.044
540.4542, 2227.758
540.9363, 2221.832
541.4184, 2215.825
541.9005, 2214.279
542.3826, 2217.085
542.8647, 2219.342
543.3469, 2218.488
543.8290, 2215.458
544.3111, 2212.492
544.7932, 2209.437
545.2753, 2206.771
545.7574, 2205.278
546.2396, 2203.651
546.7217, 2200.213
547.2038, 2195.353
547.6859, 2191.189
548.1680, 2189.249
548.6501, 2189.063
549.1323, 2188.623
549.6144, 2188.204
550.0965, 2187.005
550.5786, 2184.232
551.0607, 2181.305
551.5428, 2179.306
552.0250, 2178.242
552.5071, 2177.423
552.9892, 2176.648
553.4713, 2175.648
553.9534, 2173.379
554.4355, 2169.541
554.9177, 2165.921
555.3998, 2163.040
555.8819, 2160.905
556.3640, 2159.638
556.8461, 2159.397
557.3282, 2158.745
557.8104, 2156.765
558.2925, 2154.282
558.7746, 2152.579
559.2567, 2151.533
559.7388, 2149.475
560.2209, 2145.023
560.7031, 2139.413
561.1852, 2136.586
561.6673, 2139.800
562.1494, 2141.236
562.6315, 2140.176
563.1136, 2137.801
563.5958, 2134.485
564.0779, 2130.585
564.5600, 2126.744
565.0421, 2123.310
565.5242, 2120.418
566.0063, 2118.770
566.4885, 2119.055
566.9706, 2118.578
567.4527, 2116.052
567.9348, 2113.017
568.4169, 2110.457
568.8990, 2108.397
569.3812, 2106.360
569.8633, 2103.634
570.3454, 2101.060
570.8275, 2100.446
571.3096, 2101.608
571.7917, 2101.741
572.2739, 2099.518
572.7560, 2095.863
573.2381, 2092.099
573.7202, 2087.746
574.2023, 2085.102
574.6844, 2086.471
575.1666, 2087.802
575.6487, 2085.804
576.1308, 2081.418
576.6129, 2077.460
577.0950, 2075.375
577.5771, 2074.607
578.0593, 2073.992
578.5414, 2073.635
579.0235, 2073.125
579.5056, 2073.034
579.9877, 2072.191
580.4698, 2069.543
580.9520, 2065.730
581.4341, 2062.184
581.9162, 2059.520
582.3983, 2057.438
582.8804, 2055.695
583.3625, 2054.249
583.8447, 2052.799
584.3268, 2051.374
584.8089, 2049.714
585.2910, 2047.318
585.7731, 2044.312
586.2552, 2041.994
586.7374, 2040.895
587.2195, 2040.091
587.7016, 2039.561
588.1837, 2038.899
588.6658, 2037.138
589.1479, 2034.065
589.6301, 2030.958
590.1122, 2029.516
590.5943, 2030.010
591.0764, 2029.547
591.5585, 2027.308
592.0406, 2025.004
592.5228, 2023.002
593.0049, 2021.156
593.4870, 2019.271
593.9691, 2017.290
594.4512, 2015.357
594.9333, 2013.841
595.4155, 2012.518
595.8976, 2010.182
596.3797, 2006.447
596.8618, 2003.237
597.3439, 2002.346
597.8260, 2002.501
598.3082, 2000.468
598.7903, 1995.087
599.2724, 1990.486
599.7545, 1988.986
600.2366, 1988.317
600.7188, 1985.533
601.2009, 1980.855
601.6830, 1977.237
602.1651, 1976.853
602.6472, 1978.556
603.1293, 1977.961
603.6115, 1973.115
604.0936, 1969.544
604.5757, 1968.871
605.0578, 1968.344
605.5399, 1965.881
606.0220, 1962.016
606.5042, 1958.929
606.9863, 1958.328
607.4684, 1958.419
607.9505, 1955.813
608.4326, 1950.596
608.9147, 1946.443
609.3969, 1944.503
609.8790, 1943.579
610.3611, 1942.777
610.8432, 1942.041
611.3253, 1940.450
611.8074, 1937.117
612.2896, 1933.737
612.7717, 1931.533
613.2538, 1929.789
613.7359, 1926.847
614.2180, 1922.343
614.7001, 1918.197
615.1823, 1916.999
615.6644, 1918.991
616.1465, 1918.684
616.6286, 1914.170
617.1107, 1909.922
