##NAMES=Vlodavetsite
##RRUFFID=R070736
##IDEAL CHEMISTRY=Ca_2_Al(S^6+^O_4_)_2_F_2_Cl&#183;4H_2_O
##LOCALITY=Tolbachik volcano, Kamchatka Oblast', Far-Eastern Region, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Colorless vitreous massive, rarely in irregular plates associated with calcite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070736
562.2281, 234.4258
562.7103, 275.9805
563.1924, 292.8789
563.6745, 272.8203
564.1566, 243.7188
564.6387, 214.8633
565.1208, 186.7500
565.6030, 155.7305
566.0851, 120.5430
566.5672, 88.21484
567.0493, 62.38281
567.5314, 44.35156
568.0135, 48.86328
568.4957, 86.33594
568.9778, 135.0664
569.4599, 165.9258
569.9420, 178.6328
570.4241, 169.9023
570.9063, 104.4648
571.3884, 37.14453
571.8705, 31.01562
572.3526, 88.20703
572.8347, 146.2148
573.3168, 176.7422
573.7990, 190.5664
574.2811, 197.5039
574.7632, 206.5000
575.2453, 198.5391
575.7274, 147.9805
576.2095, 81.71484
576.6917, 47.57422
577.1738, 50.51953
577.6559, 78.47266
578.1380, 139.1172
578.6201, 228.4844
579.1022, 280.3047
579.5844, 287.2812
580.0665, 282.7031
580.5486, 297.3984
581.0307, 322.5391
581.5128, 314.8047
581.9949, 270.0156
582.4771, 222.9531
582.9592, 211.9180
583.4413, 222.5703
583.9234, 218.0000
584.4055, 158.1914
584.8876, 101.5977
585.3698, 101.8672
585.8519, 147.8672
586.3340, 178.2891
586.8161, 140.5547
587.2982, 100.6641
587.7803, 100.0859
588.2625, 166.9297
588.7446, 211.0820
589.2267, 219.6914
589.7088, 210.2305
590.1909, 201.1992
590.6730, 195.0820
591.1552, 179.6719
591.6373, 143.7578
592.1194, 102.7617
592.6015, 106.0469
593.0836, 155.3477
593.5657, 218.1445
594.0479, 297.6875
594.5300, 375.6562
595.0121, 392.5625
595.4942, 345.5547
595.9763, 286.6797
596.4584, 248.6836
596.9406, 228.4766
597.4227, 223.6094
597.9048, 244.1836
598.3869, 260.5000
598.8690, 249.8516
599.3511, 226.3359
599.8333, 217.4062
600.3154, 270.4922
600.7975, 295.2773
601.2796, 247.0469
601.7617, 129.5391
602.2438, 88.56641
602.7260, 172.4531
603.2081, 251.9219
603.6902, 231.2695
604.1723, 100.3984
604.6544, 12.77734
605.1365, 18.61328
605.6187, 20.72266
606.1008, 21.58203
606.5829, 21.80859
607.0650, 24.89062
607.5471, 35.57031
608.0292, 46.30078
608.5114, 56.18750
608.9935, 60.83984
609.4756, 44.06641
609.9577, 33.37109
610.4398, 109.9727
610.9219, 141.3398
611.4041, 116.7188
611.8862, 98.07031
612.3683, 100.3906
612.8504, 110.8125
613.3325, 118.2695
613.8146, 112.7500
614.2968, 127.0586
614.7789, 178.2344
615.2610, 236.5781
615.7431, 234.1250
616.2252, 164.1172
616.7073, 101.3242
617.1895, 68.92578
617.6716, 63.96094
618.1537, 89.67969
618.6358, 143.4961
619.1179, 187.1484
619.6000, 168.7539
620.0822, 136.6602
620.5643, 163.9102
621.0464, 274.2227
621.5285, 359.5000
622.0106, 343.2500
622.4927, 278.5312
622.9749, 221.9219
623.4570, 188.2031
623.9391, 160.3477
624.4212, 130.0469
624.9033, 104.3203
625.3854, 107.0156
625.8676, 160.2188
626.3497, 190.9570
626.8318, 158.7266
627.3139, 74.42969
627.7960, 57.67578
628.2781, 115.9805
628.7603, 177.1523
629.2424, 178.3945
629.7245, 136.8438
630.2066, 95.62109
630.6887, 59.17969
631.1708, 27.69922
631.6530, 10.69531
632.1351, 40.69922
632.6172, 38.42188
633.0993, 47.99609
633.5814, 117.6719
634.0635, 121.4727
634.5457, 76.93750
635.0278, 50.96875
635.5099, 73.18359
635.9920, 89.84766
636.4741, 79.46875
636.9562, 39.24219
637.4384, 21.42969
637.9205, 27.98438
638.4026, 49.98828
638.8847, 90.69531
639.3668, 145.8164
639.8489, 171.0977
640.3311, 156.8008
640.8132, 128.2773
641.2953, 102.9727
641.7774, 86.42188
642.2595, 91.43359
642.7416, 148.7422
643.2238, 202.3828
643.7059, 212.1719
644.1880, 188.0547
644.6701, 164.1484
645.1522, 158.6641
645.6343, 149.1328
646.1165, 122.8477
646.5986, 76.98828
647.0807, 42.21875
647.5628, 10.20312
648.0449, 1.871094
648.5270, 48.52734
649.0092, 158.4258
649.4913, 214.6211
649.9734, 200.1406
650.4555, 158.7344
650.9376, 146.1016
651.4197, 156.5195
651.9019, 170.0781
652.3840, 178.5820
652.8661, 188.3555
653.3482, 211.7422
653.8303, 241.7305
654.3124, 257.8516
654.7946, 228.4102
655.2767, 202.1602
655.7588, 210.2969
656.2409, 259.0078
656.7230, 278.6836
657.2051, 240.8828
657.6872, 200.8867
658.1693, 197.3047
658.6514, 245.6094
659.1335, 258.2500
659.6157, 223.5156
660.0978, 178.7930
660.5799, 186.1641
661.0620, 234.2852
661.5441, 250.6680
662.0262, 201.6797
662.5084, 138.0508
662.9905, 123.2969
663.4726, 144.4062
663.9547, 162.0391
664.4368, 156.4883
664.9189, 141.6719
665.4011, 104.9609
665.8832, 48.57422
666.3653, 45.84375
666.8474, 185.5430
667.3295, 312.3086
667.8116, 352.7070
668.2938, 277.4375
668.7759, 218.5938
669.2580, 176.7188
669.7401, 149.2383
670.2222, 138.0273
670.7043, 142.2031
671.1865, 150.1523
671.6686, 166.6992
672.1507, 172.6094
672.6328, 129.3555
673.1149, 57.29688
673.5970, 4.066406
674.0792, 13.23438
674.5613, 1.945313
675.0434, 49.13672
675.5255, 131.0508
676.0076, 197.7812
676.4897, 243.9453
676.9719, 266.3555
677.4540, 258.3750
677.9361, 213.2305
678.4182, 190.1641
678.9003, 192.0742
679.3824, 202.0820
679.8646, 205.2188
680.3467, 201.6250
680.8288, 204.4297
681.3109, 215.1484
681.7930, 233.5859
682.2751, 277.2227
682.7573, 327.8359
683.2394, 344.1602
683.7215, 274.2891
684.2036, 217.4648
684.6857, 264.0547
685.1678, 365.1172
