##NAMES=Spinel
##RRUFFID=X080014
##IDEAL CHEMISTRY=MgAl_2_O_4_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted blue gemstone, 7.90 ct
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X080014
628.0858, 0.7144780
628.5679, 1.092651
629.0500, 1.446411
629.5321, 0.4454350
630.0142, 1.451294
630.4963, 2.721802
630.9785, 2.107544
631.4606, 1.236572
631.9427, 1.697388
632.4248, 3.211182
632.9069, 4.832520
633.3890, 6.888306
633.8712, 8.322144
634.3533, 8.301147
634.8354, 6.643311
635.3175, 5.849365
635.7996, 6.518311
636.2817, 7.481079
636.7639, 8.184204
637.2460, 8.621460
637.7281, 8.464233
638.2102, 7.471924
638.6923, 6.427002
639.1744, 6.508789
639.6566, 7.440796
640.1387, 7.474854
640.6208, 6.050049
641.1029, 4.353516
641.5850, 3.629761
642.0671, 3.680176
642.5493, 4.087402
643.0314, 5.949707
643.5135, 6.933472
643.9956, 4.895996
644.4777, 0.9299320
644.9598, 1.601196
645.4420, 0.7741700
645.9241, 0.4782710
646.4062, 1.335938
646.8883, 1.831299
647.3704, 2.525879
647.8525, 3.631470
648.3347, 4.492432
648.8168, 4.456543
649.2989, 3.561401
649.7810, 3.442871
650.2631, 4.133301
650.7452, 5.201294
651.2274, 6.131836
651.7095, 7.151733
652.1916, 9.118042
652.6737, 12.62732
653.1558, 15.08313
653.6379, 13.32849
654.1201, 9.774414
654.6022, 7.600708
655.0843, 7.890503
655.5664, 9.474854
656.0485, 13.73279
656.5306, 18.91858
657.0128, 20.95667
657.4949, 17.49121
657.9770, 15.42004
658.4591, 17.09021
658.9412, 21.34155
659.4233, 22.62097
659.9055, 20.63135
660.3876, 19.19189
660.8697, 21.69604
661.3518, 26.04529
661.8339, 26.47986
662.3160, 23.24121
662.7982, 20.07214
663.2803, 19.34644
663.7624, 20.12659
664.2445, 21.94214
664.7266, 25.04590
665.2087, 27.23401
665.6909, 27.36938
666.1730, 26.52368
666.6551, 25.46985
667.1372, 22.81348
667.6193, 22.63220
668.1014, 26.33765
668.5836, 31.07202
669.0657, 32.52722
669.5478, 30.33679
670.0299, 28.93921
670.5120, 29.48706
670.9941, 30.85498
671.4763, 30.72278
671.9584, 29.57166
672.4405, 29.23865
672.9226, 31.27295
673.4047, 33.87024
673.8868, 35.42932
674.3690, 36.22595
674.8511, 37.29309
675.3332, 39.84229
675.8153, 41.99072
676.2974, 42.70337
676.7795, 41.87988
677.2617, 41.46460
677.7438, 41.02209
678.2259, 41.51782
678.7080, 44.05835
679.1901, 49.03564
679.6722, 51.86780
680.1544, 52.38708
680.6365, 52.30408
681.1186, 53.00208
681.6007, 54.25696
682.0828, 56.01294
682.5649, 58.48694
683.0471, 60.41846
683.5292, 60.71985
684.0113, 59.67175
684.4934, 57.50769
684.9755, 52.05444
685.4576, 49.18262
685.9398, 52.70569
686.4219, 58.92664
686.9040, 61.66052
687.3861, 58.67590
687.8682, 57.15918
688.3503, 58.68884
688.8325, 61.86377
689.3146, 63.22681
689.7967, 62.85144
690.2788, 62.48474
690.7609, 63.18823
691.2430, 64.24487
691.7252, 64.21606
692.2073, 63.31079
692.6894, 62.33350
693.1715, 61.73486
693.6536, 61.06018
694.1357, 59.95691
694.6179, 58.50806
695.1000, 56.90308
695.5821, 54.82214
696.0642, 52.86145
696.5463, 51.17712
697.0284, 49.68140
697.5106, 49.29761
697.9927, 50.59485
698.4748, 51.70020
698.9569, 50.78027
699.4390, 48.14233
699.9211, 46.26160
700.4033, 45.43347
700.8854, 44.71643
701.3675, 42.76050
701.8496, 40.41235
702.3317, 39.16333
702.8138, 39.82019
703.2960, 40.26770
703.7781, 38.73682
704.2602, 36.52307
704.7423, 35.25745
705.2244, 36.24780
705.7065, 36.75403
706.1887, 36.18384
706.6708, 35.18188
707.1529, 35.20837
707.6350, 36.57141
708.1171, 36.87708
708.5992, 35.21240
709.0814, 32.46240
709.5635, 30.06628
710.0456, 28.11133
710.5277, 27.02161
711.0098, 28.24634
711.4919, 29.47119
711.9741, 28.16699
712.4562, 24.99365
712.9383, 22.56201
713.4204, 22.13904
713.9025, 22.37512
714.3846, 23.07227
714.8668, 24.17261
715.3489, 24.41272
715.8310, 23.56482
716.3131, 22.31580
716.7952, 20.83667
717.2773, 19.17761
717.7595, 18.13196
718.2416, 17.74951
718.7237, 17.12524
719.2058, 15.00342
719.6879, 12.35474
720.1700, 10.88245
720.6522, 10.79431
