##NAMES=Stilpnomelane
##RRUFFID=R110195
##IDEAL CHEMISTRY=(K,Ca,Na)(Fe^2+^,Mg,Al,Fe^3+^)_8_(Si,Al)_12_(O,OH)_36_&#183;nH_2_O
##LOCALITY=Broughton talc mine, Saint-Pierre-de-Broughton, Quebec, Canada
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Aggregates of dark green plates, 180 deg twin around (-2 0 3) = [0 1 2].
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110195
386.0297, 8.862717
386.5118, 8.768333
386.9939, 8.199867
387.4760, 7.537205
387.9582, 7.345390
388.4403, 7.635201
388.9224, 8.149670
389.4045, 8.969391
389.8866, 9.801903
390.3687, 10.21942
390.8509, 9.790596
391.3330, 9.212662
391.8151, 8.996613
392.2972, 9.093163
392.7793, 9.169361
393.2614, 9.091305
393.7436, 8.906254
394.2257, 8.580151
394.7078, 7.914917
395.1899, 7.458874
395.6720, 7.644638
396.1541, 8.231457
396.6363, 8.679779
397.1184, 8.852173
397.6005, 8.869526
398.0826, 8.682915
398.5647, 8.242443
399.0468, 8.024605
399.5290, 8.349636
400.0111, 8.760479
400.4932, 8.894150
400.9753, 8.633289
401.4574, 8.244446
401.9395, 7.659286
402.4217, 6.945694
402.9038, 6.421734
403.3859, 6.048286
403.8680, 5.922173
404.3501, 6.210556
404.8322, 7.201046
405.3144, 7.498280
405.7965, 6.812252
406.2786, 5.834057
406.7607, 5.761013
407.2428, 6.766388
407.7249, 7.632160
408.2071, 7.928963
408.6892, 7.751019
409.1713, 7.720734
409.6534, 7.875072
410.1355, 7.964603
410.6176, 7.663208
411.0998, 7.051903
411.5819, 6.628513
412.0640, 6.533436
412.5461, 6.593338
413.0282, 6.635464
413.5103, 6.674473
413.9925, 6.502514
414.4746, 5.458843
414.9567, 4.212765
415.4388, 4.012272
415.9209, 5.062569
416.4030, 6.138462
416.8852, 6.168446
417.3673, 5.591652
417.8494, 5.044949
418.3315, 4.913349
418.8136, 4.702679
419.2957, 3.821159
419.7779, 2.448090
420.2600, 1.553036
420.7421, 2.150677
421.2242, 3.080544
421.7063, 3.468513
422.1884, 2.881210
422.6706, 2.280186
423.1527, 1.692059
423.6348, 1.317009
424.1169, 1.385117
424.5990, 2.780857
425.0811, 3.813343
425.5633, 3.715878
426.0454, 2.218666
426.5275, 1.505070
427.0096, 2.051495
427.4917, 2.997440
427.9738, 3.674587
428.4560, 3.972694
428.9381, 4.166752
429.4202, 4.307079
429.9023, 4.410294
430.3844, 4.505352
430.8665, 4.621143
431.3487, 4.682579
431.8308, 4.553078
432.3129, 4.204967
432.7950, 4.386360
433.2771, 5.324253
433.7592, 6.199215
434.2414, 5.680164
434.7235, 3.901836
435.2056, 2.505436
435.6877, 2.158131
436.1698, 2.415005
436.6519, 2.267857
437.1341, 1.747448
437.6162, 1.390327
438.0983, 1.920708
438.5804, 2.803547
439.0625, 3.041744
439.5446, 2.339565
440.0268, 1.427460
440.5089, 0.7273830
440.9910, 0.3027650
441.4731, 0.2892650
441.9552, 1.364567
442.4373, 2.379982
442.9195, 2.424671
443.4016, 1.501865
443.8837, 0.7647320
444.3658, 0.8787920
444.8479, 1.262287
445.3300, 1.453598
445.8122, 1.094284
446.2943, 0.8880080
446.7764, 1.113705
