##NAMES=Pinakiolite
##RRUFFID=R050636
##IDEAL CHEMISTRY=(Mg,Mn^2+^)_2_(Mn^3+^,Sb^5+^)O_2_(BO_3_)
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Dark-grey crystals embedded into matrix of calcite, dolomite and tephroite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050636
578.9629, 3.260742
579.4450, 3.481865
579.9271, 4.027988
580.4092, 4.972824
580.8914, 5.751106
581.3735, 6.294041
581.8556, 6.472366
582.3377, 5.896912
582.8198, 4.714088
583.3019, 3.672596
583.7841, 3.140308
584.2662, 3.204697
584.7483, 4.154633
585.2304, 7.244854
585.7125, 9.137550
586.1946, 9.127033
586.6768, 8.631653
587.1589, 8.278664
587.6410, 8.199379
588.1231, 8.461010
588.6052, 9.148766
589.0873, 10.05409
589.5695, 10.73808
590.0516, 11.17798
590.5337, 11.55651
591.0158, 11.83084
591.4979, 12.14973
591.9800, 12.78604
592.4622, 13.60633
592.9443, 14.04190
593.4264, 13.58510
593.9085, 12.98143
594.3906, 12.71431
594.8727, 12.78819
595.3549, 13.34128
595.8370, 14.45106
596.3191, 15.61866
596.8012, 16.23491
597.2833, 16.23427
597.7654, 16.12861
598.2476, 15.64969
598.7297, 15.39044
599.2118, 15.44958
599.6939, 15.87019
600.1760, 16.99786
600.6581, 18.82227
601.1403, 20.31712
601.6224, 19.82603
602.1045, 17.49089
602.5866, 16.89621
603.0687, 18.88695
603.5508, 20.75821
604.0330, 20.78142
604.5151, 20.08977
604.9972, 20.14626
605.4793, 21.27100
605.9614, 22.32918
606.4435, 22.60118
606.9257, 22.54750
607.4078, 22.93442
607.8899, 23.75167
608.3720, 24.26809
608.8541, 23.97034
609.3362, 23.12534
609.8184, 22.57327
610.3005, 22.38428
610.7826, 22.41682
611.2647, 22.57572
611.7468, 23.02885
612.2289, 24.23117
612.7111, 25.82391
613.1932, 26.88168
613.6753, 26.81874
614.1574, 26.13828
614.6395, 25.68914
615.1216, 25.46391
615.6038, 25.61140
616.0859, 26.47964
616.5680, 27.25751
617.0501, 27.01222
617.5322, 26.08792
618.0143, 25.62530
618.4965, 26.03059
618.9786, 26.72626
619.4607, 27.52914
619.9428, 28.35207
620.4249, 29.07401
620.9070, 29.65554
621.3892, 29.95705
621.8713, 29.75189
622.3534, 29.05959
622.8355, 28.87458
623.3176, 29.42516
623.7997, 30.21809
624.2819, 31.47897
624.7640, 32.74342
625.2461, 33.67564
625.7282, 34.19607
626.2103, 34.27863
626.6924, 33.55491
627.1745, 32.49326
627.6566, 32.40417
628.1387, 33.36302
628.6208, 34.16702
629.1030, 34.27673
629.5851, 34.14286
630.0672, 34.51376
630.5493, 35.42006
631.0314, 36.00931
631.5135, 35.93486
631.9957, 35.72148
632.4778, 35.48323
632.9599, 35.39625
633.4420, 35.91705
633.9241, 37.18665
634.4063, 38.55510
634.8884, 39.04287
635.3705, 38.52061
635.8526, 38.21387
636.3347, 38.31457
636.8168, 38.36562
637.2990, 38.09208
637.7811, 37.74298
638.2632, 37.63408
638.7453, 37.83826
639.2274, 38.12026
639.7095, 38.53552
640.1917, 38.84200
640.6738, 38.39045
641.1559, 37.19191
641.6380, 36.28485
642.1201, 36.27547
642.6022, 36.81898
643.0844, 37.11810
643.5665, 36.84948
644.0486, 37.03070
644.5307, 38.44586
645.0128, 39.55221
645.4949, 39.28291
645.9771, 38.09434
646.4592, 36.84871
646.9413, 35.91259
647.4234, 35.46873
647.9055, 36.20724
648.3876, 38.08116
648.8698, 38.54630
649.3519, 36.82005
649.8340, 35.01046
650.3161, 34.55459
650.7982, 34.87050
651.2803, 34.80123
651.7625, 34.11756
652.2446, 33.44282
652.7267, 32.92692
653.2088, 32.60226
653.6909, 32.54790
654.1730, 32.73692
654.6552, 33.12887
655.1373, 33.74977
655.6194, 34.31439
656.1015, 33.94953
656.5836, 32.00792
657.0657, 30.82618
657.5479, 31.16791
658.0300, 31.66348
658.5121, 31.85885
658.9942, 31.81059
659.4763, 31.50967
659.9584, 30.72425
660.4406, 30.04153
660.9227, 30.22883
661.4048, 30.97193
661.8869, 31.41444
662.3690, 31.37118
662.8511, 31.00275
663.3333, 30.36338
663.8154, 29.55655
664.2975, 29.02536
664.7796, 29.06601
665.2617, 29.09043
665.7438, 28.96455
666.2260, 28.80750
666.7081, 28.63612
667.1902, 28.49081
667.6723, 28.59565
668.1544, 29.09818
668.6365, 29.60587
669.1187, 29.33488
669.6008, 28.33575
670.0829, 27.80386
670.5650, 28.07043
671.0471, 28.62824
671.5292, 29.09991
672.0114, 29.45615
672.4935, 29.71016
672.9756, 29.71114
673.4577, 29.94234
673.9398, 30.80421
674.4219, 31.72073
674.9041, 32.10226
675.3862, 32.08363
675.8683, 32.18515
676.3504, 32.70168
676.8325, 33.40863
677.3146, 33.79649
677.7968, 33.81291
678.2789, 33.86315
678.7610, 34.03372
679.2431, 34.28666
679.7252, 34.63795
680.2073, 34.97343
680.6895, 35.11382
681.1716, 35.05876
681.6537, 34.77583
682.1358, 33.87611
682.6179, 32.92399
683.1000, 32.82861
683.5822, 33.58912
684.0643, 34.57943
684.5464, 35.47640
685.0285, 36.06561
685.5106, 35.62953
685.9927, 33.46581
686.4749, 31.91959
686.9570, 31.51121
687.4391, 31.31123
687.9212, 31.23379
688.4033, 31.01604
688.8854, 30.12991
689.3676, 28.28345
689.8497, 26.34070
690.3318, 24.95072
690.8139, 24.06453
691.2960, 23.70886
691.7781, 23.86047
692.2603, 23.93737
692.7424, 23.55817
693.2245, 22.84760
693.7066, 22.12779
694.1887, 21.16669
694.6708, 20.62878
695.1530, 18.82750
695.6351, 17.05919
696.1172, 15.56754
696.5993, 14.44101
697.0814, 13.95251
697.5635, 14.23962
698.0457, 14.45471
698.5278, 13.59557
699.0099, 11.93132
699.4920, 10.22716
699.9741, 8.533962
700.4562, 7.548492
700.9384, 7.866661
701.4205, 8.819126
701.9026, 8.972214
702.3847, 7.922852
