##NAMES=Aravaipaite
##RRUFFID=R100032
##IDEAL CHEMISTRY=Pb^2+^_3_AlF_9_&#183;H_2_O
##LOCALITY=Grand Reef mine, Klondyke, Aravaipa District, Graham County, Arizona, USA
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Transparent sheets, associated with laurelite R100011 and scotlandite R100043
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100032
570.7572, 2.118164
571.2393, 3.142822
571.7214, 3.725708
572.2036, 4.015503
572.6857, 4.215576
573.1678, 3.941040
573.6499, 2.213135
574.1320, 0.9201660
574.6141, 2.647095
575.0963, 1.083008
575.5784, 1.312866
576.0605, 2.406616
576.5426, 2.458496
577.0247, 2.783569
577.5068, 4.035645
577.9890, 5.483276
578.4711, 5.701416
578.9532, 4.062012
579.4353, 2.777588
579.9174, 1.812378
580.3995, 1.194092
580.8817, 0.8651120
581.3638, 0.9101560
581.8459, 1.680176
582.3280, 3.432373
582.8101, 5.259521
583.2922, 5.652832
583.7744, 4.458862
584.2565, 2.659546
584.7386, 0.1868900
585.2207, 2.446533
585.7029, 2.687012
586.1850, 1.426758
586.6671, 0.1468510
587.1492, 2.221558
587.6313, 3.891357
588.1135, 4.380005
588.5956, 3.974976
589.0777, 3.042969
589.5598, 1.643921
590.0419, 0.8859860
590.5240, 2.348022
591.0062, 6.235352
591.4883, 7.424805
591.9704, 3.310303
592.4525, 8.2275003E-02
592.9346, 0.4553220
593.4167, 0.5417480
593.8989, 2.018921
594.3810, 3.673096
594.8631, 4.855835
595.3452, 4.507935
595.8273, 2.879395
596.3094, 1.826904
596.7916, 1.498291
597.2737, 1.405884
597.7558, 1.619019
598.2379, 1.931396
598.7200, 1.695435
599.2021, 0.8876950
599.6843, 0.3800050
600.1664, 0.9903560
600.6485, 1.960571
601.1306, 1.798706
601.6127, 0.6119380
602.0948, 0.4935300
602.5770, 2.941650
603.0591, 6.746704
603.5412, 8.557739
604.0233, 6.734619
604.5054, 5.496460
604.9875, 5.046265
605.4697, 4.982056
605.9518, 5.173584
606.4339, 5.544189
606.9160, 5.998779
607.3981, 6.491211
607.8802, 7.036865
608.3624, 7.678955
608.8445, 8.399292
609.3266, 8.937622
609.8087, 9.103760
610.2908, 9.373047
610.7729, 10.41895
611.2551, 11.87134
611.7372, 12.57068
612.2193, 11.78491
612.7014, 10.70996
613.1835, 10.07349
613.6656, 9.802612
614.1478, 9.673828
614.6299, 9.641724
615.1120, 9.952393
615.5941, 10.97180
616.0762, 12.70227
616.5583, 13.65857
617.0405, 13.47583
617.5226, 12.95984
618.0047, 12.33020
618.4868, 11.37036
618.9689, 9.538696
619.4510, 6.976196
619.9332, 4.775757
620.4153, 3.893799
620.8974, 4.096069
621.3795, 4.919922
621.8616, 6.681030
622.3438, 7.315552
622.8259, 5.189697
623.3080, 2.358032
623.7901, 2.070801
624.2722, 4.494629
624.7543, 6.631592
625.2365, 8.279297
625.7186, 8.838745
626.2007, 6.648071
626.6828, 2.916382
627.1649, 1.174316
627.6470, 2.929077
628.1292, 6.157593
628.6113, 7.487061
629.0934, 6.172119
629.5755, 6.031128
630.0576, 9.237793
630.5397, 11.26746
631.0219, 9.703857
631.5040, 6.568115
631.9861, 4.668823
632.4682, 4.785645
632.9503, 5.625977
633.4324, 5.876465
633.9146, 5.678711
634.3967, 5.715820
634.8788, 6.093750
635.3609, 6.274170
635.8430, 5.724976
636.3251, 4.693726
636.8073, 4.757446
637.2894, 6.530273
637.7715, 7.873901
638.2536, 8.346313
638.7357, 8.373474
639.2178, 8.062500
639.7000, 7.588135
640.1821, 7.302612
640.6642, 7.396667
641.1463, 7.715698
641.6284, 8.067749
642.1105, 8.584229
642.5927, 8.322388
643.0748, 6.260925
643.5569, 4.453064
644.0390, 4.487000
644.5211, 5.536255
645.0032, 5.753235
645.4854, 4.344543
645.9675, 2.981750
646.4496, 2.995850
646.9317, 3.762817
647.4138, 4.272400
647.8959, 4.346924
648.3781, 3.721008
648.8602, 1.913940
649.3423, 0.4833980
649.8244, 0.5136720
650.3065, 5.754028
650.7886, 8.401184
651.2708, 3.657776
651.7529, 1.598816
652.2350, 2.694580
652.7171, 0.3101810
653.1992, 2.658630
653.6813, 5.061035
654.1635, 6.347168
654.6456, 4.696106
655.1277, 0.4807130
