##NAMES=Westerveldite
##RRUFFID=R060507
##IDEAL CHEMISTRY=FeAs
##LOCALITY=Kvanefjeld, Ilimaussaq, Greenland
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Metallic silver massive, associated with elongated dark-green diopside.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060507
381.8710, 17.26154
382.3530, 24.34833
382.8350, 7.041260
383.3170, 13.00928
383.7990, 27.68481
384.2820, 1.602844
384.7640, 20.22064
385.2460, 28.67487
385.7280, 3.381165
386.2100, 16.90143
386.6920, 16.30420
387.1740, 14.85510
387.6560, 42.47821
388.1380, 16.52747
388.6210, 43.69080
389.1030, 45.78210
389.5850, 53.12817
390.0670, 47.03979
390.5490, 32.21521
391.0310, 19.79669
391.5130, 14.19843
391.9960, 14.82605
392.4780, 23.05560
392.9600, 40.25525
393.4420, 53.85602
393.9240, 60.31757
394.4060, 60.58875
394.8880, 55.40833
395.3700, 44.27496
395.8520, 32.31195
396.3350, 17.75024
396.8170, 5.181152
397.2990, 6.114319
397.7810, 23.23364
398.2630, 39.55139
398.7450, 38.10358
399.2270, 19.64661
399.7090, 15.85028
400.1910, 45.55151
400.6740, 70.26410
401.1560, 66.27808
401.6380, 44.97308
402.1200, 29.86945
402.6020, 31.53412
403.0840, 42.47443
403.5660, 46.85559
404.0480, 42.71814
404.5300, 34.60425
405.0130, 11.08606
405.4950, 7.316284
405.9770, 2.238708
406.4590, 22.93787
406.9410, 48.11737
407.4230, 56.31085
407.9050, 49.76013
408.3870, 46.33936
408.8700, 48.82336
409.3520, 49.43427
409.8340, 42.27417
410.3160, 32.92096
410.7980, 28.47491
411.2800, 31.39264
411.7620, 37.26709
412.2440, 42.94324
412.7270, 48.22339
413.2090, 51.52008
413.6910, 51.38239
414.1730, 51.01556
414.6550, 53.67450
415.1370, 59.05798
415.6190, 65.55951
416.1010, 77.12134
416.5830, 86.48163
417.0650, 84.29779
417.5480, 72.97498
418.0300, 65.18744
418.5120, 69.23938
418.9940, 81.14410
419.4760, 85.37372
419.9580, 72.98889
420.4400, 64.16608
420.9220, 61.57410
421.4050, 62.12305
421.8870, 62.64807
422.3690, 62.78998
422.8510, 65.01111
423.3330, 73.67432
423.8150, 89.54852
424.2970, 96.21680
424.7790, 87.05817
425.2620, 76.67120
425.7440, 68.15289
426.2260, 62.50269
426.7080, 61.35663
427.1900, 65.89709
427.6720, 73.69897
428.1540, 84.77936
428.6360, 98.63641
429.1180, 103.0471
429.6010, 90.79230
430.0830, 73.05719
430.5650, 61.19977
431.0470, 54.77502
431.5290, 55.65588
432.0110, 70.92633
432.4930, 89.40051
432.9750, 101.9713
433.4570, 107.7465
433.9400, 105.7795
434.4220, 94.34479
434.9040, 76.33295
435.3860, 64.24878
435.8680, 58.28503
436.3500, 57.72980
436.8320, 65.96216
437.3140, 77.67877
437.7970, 89.98871
438.2790, 101.3209
438.7610, 108.0748
439.2430, 104.3325
439.7250, 89.44763
440.2070, 82.90308
440.6890, 89.57294
441.1710, 98.07983
441.6540, 104.0278
442.1360, 110.1155
442.6180, 118.6935
443.1000, 133.1061
443.5820, 143.7497
444.0640, 136.1526
444.5460, 112.8229
445.0280, 95.13843
445.5100, 88.24939
445.9920, 88.63214
446.4750, 93.96100
446.9570, 103.9380
447.4390, 114.6090
447.9210, 132.0650
448.4030, 144.5222
448.8850, 137.3673
449.3670, 116.2375
449.8490, 100.8619
450.3320, 102.4665
450.8140, 116.1176
451.2960, 127.6048
451.7780, 137.1193
452.2600, 144.2773
452.7420, 150.6765
453.2240, 152.9328
453.7060, 144.7922
454.1890, 128.6800
454.6710, 115.2758
455.1530, 115.3325
455.6350, 125.8408
456.1170, 129.3100
456.5990, 121.3842
457.0810, 117.0915
457.5630, 126.9761
458.0450, 142.5715
458.5280, 155.8486
459.0100, 166.1196
459.4920, 171.6439
459.9740, 167.6943
460.4560, 158.5864
460.9380, 154.8870
461.4200, 158.7285
461.9020, 163.7755
462.3840, 164.1340
462.8670, 159.8517
463.3490, 158.6406
463.8310, 160.8178
464.3130, 165.7512
464.7950, 177.8527
465.2770, 191.2909
465.7590, 196.3215
466.2410, 189.3607
466.7240, 177.2117
467.2060, 172.0547
467.6880, 176.7455
468.1700, 179.0359
468.6520, 180.4710
469.1340, 177.6057
469.6160, 166.2880
470.0980, 150.5976
470.5810, 137.4499
471.0630, 130.1754
471.5450, 127.7488
472.0270, 130.1615
472.5090, 137.1565
472.9910, 143.2215
473.4730, 146.6766
473.9550, 148.9381
474.4370, 152.5020
474.9190, 157.6426
475.4020, 159.6260
