##NAMES=Zharchikhite
##RRUFFID=R061136
##IDEAL CHEMISTRY=Al(OH)_2_F
##LOCALITY=Zharchikha deposit, Buryatia, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=White granular massive, co-type material
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R061136
623.1375, 173.5312
623.6196, 211.5469
624.1017, 473.9062
624.5839, 594.6406
625.0660, 758.7500
625.5481, 866.9375
626.0302, 919.1406
626.5123, 902.3125
626.9944, 793.5625
627.4766, 663.8906
627.9587, 616.3594
628.4408, 641.3438
628.9229, 698.5625
629.4050, 810.1250
629.8871, 896.0938
630.3693, 804.2656
630.8514, 594.1875
631.3335, 465.2344
631.8156, 598.4375
632.2977, 781.5469
632.7798, 870.6250
633.2620, 854.2188
633.7441, 877.0625
634.2262, 1059.016
634.7083, 1215.719
635.1904, 1229.047
635.6725, 1008.875
636.1547, 888.8750
636.6368, 905.0469
637.1189, 965.1719
637.6010, 939.4375
638.0831, 826.7188
638.5652, 789.5938
639.0474, 891.2969
639.5295, 1031.469
640.0116, 1012.969
640.4937, 878.3438
640.9758, 779.6406
641.4579, 827.4062
641.9401, 917.5625
642.4222, 967.1250
642.9043, 979.5625
643.3864, 983.3125
643.8685, 1000.375
644.3506, 1003.531
644.8328, 962.4062
645.3149, 844.6562
645.7970, 809.9375
646.2791, 898.1562
646.7612, 1026.891
647.2433, 1141.797
647.7255, 1253.203
648.2076, 1288.188
648.6897, 1218.188
649.1718, 1119.078
649.6539, 1117.859
650.1360, 1196.328
650.6182, 1257.891
651.1003, 1270.172
651.5824, 1250.344
652.0645, 1195.312
652.5466, 1120.953
653.0287, 1074.609
653.5109, 1078.750
653.9930, 1117.031
654.4751, 1210.844
654.9572, 1359.781
655.4393, 1432.859
655.9214, 1358.062
656.4036, 1250.141
656.8857, 1152.109
657.3678, 1054.578
657.8499, 1014.531
658.3320, 1046.875
658.8141, 1104.906
659.2963, 1149.547
659.7784, 1179.375
660.2605, 1170.188
660.7426, 1103.984
661.2247, 1039.484
661.7068, 1070.984
662.1890, 1158.984
662.6711, 1217.500
663.1532, 1203.359
663.6353, 1156.953
664.1174, 1063.016
664.5995, 948.5312
665.0817, 901.3594
665.5638, 1010.578
666.0459, 1122.000
666.5280, 1187.172
667.0101, 1206.172
667.4922, 1222.391
667.9744, 1248.484
668.4565, 1242.844
668.9386, 1166.953
669.4207, 1025.078
669.9028, 886.1719
670.3849, 746.6719
670.8671, 650.6406
671.3492, 666.2188
671.8313, 753.8750
672.3134, 847.7344
672.7955, 946.3594
673.2776, 1012.516
673.7598, 1011.594
674.2419, 966.8281
674.7240, 912.4062
675.2061, 833.4219
675.6882, 773.0469
676.1703, 754.3594
676.6525, 759.4531
677.1346, 735.0469
677.6167, 658.0469
678.0988, 606.7188
678.5809, 606.5000
679.0630, 651.6562
679.5452, 747.9219
680.0273, 896.1406
680.5094, 975.7500
680.9915, 836.7656
681.4736, 588.4844
681.9557, 448.3438
682.4379, 421.4844
682.9200, 436.6406
683.4021, 471.8906
683.8842, 512.9062
