##NAMES=Aluminium
##RRUFFID=R070230
##IDEAL CHEMISTRY=Al
##LOCALITY=Mud Volcano, Bulla Apsheren penninsula, Caspian Sea, Qobustan (Gobustan; Kobustan) Rayonu, Azerbaijan
##OWNER=Michael Scott
##SOURCE=Michael Scott
##DESCRIPTION=Metallic gray blebs in matrix embedded in epoxy, no Raman activity because of crystal symmetry
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070230
609.4036, 28.22803
609.8857, 45.34448
610.3678, 55.48096
610.8499, 55.72900
611.3320, 53.40088
611.8141, 43.91968
612.2963, 36.93701
612.7784, 47.11377
613.2605, 71.85278
613.7426, 88.09619
614.2247, 73.88818
614.7068, 42.46167
615.1890, 26.56226
615.6711, 26.75122
616.1532, 30.72681
616.6353, 37.19580
617.1174, 42.21313
617.5995, 40.28955
618.0817, 31.24561
618.5638, 24.32642
619.0459, 16.47314
619.5280, 14.72778
620.0101, 27.02466
620.4922, 44.39648
620.9744, 55.78760
621.4565, 59.17725
621.9386, 60.02222
622.4207, 64.68750
622.9028, 70.11987
623.3849, 60.87036
623.8671, 17.54883
624.3492, 35.99341
624.8313, 46.06348
625.3134, 48.21021
625.7955, 18.70264
626.2776, 30.07153
626.7598, 25.06226
627.2419, 19.38184
627.7240, 36.50610
628.2061, 11.60669
628.6882, 28.37012
629.1703, 28.50244
629.6525, 36.24609
630.1346, 27.50757
630.6167, 23.85962
631.0988, 36.72021
631.5809, 41.16016
632.0630, 31.58472
632.5452, 39.81152
633.0273, 14.33521
633.5094, 18.43311
633.9915, 35.29126
634.4736, 31.54028
634.9557, 36.69385
635.4379, 25.53296
635.9200, 15.93994
636.4021, 21.93481
636.8842, 34.60352
637.3663, 38.59277
637.8484, 30.98926
638.3306, 21.92676
638.8127, 22.10303
639.2948, 29.44336
639.7769, 29.95215
640.2590, 21.14233
640.7411, 14.42090
641.2233, 14.22827
641.7054, 16.34180
642.1875, 15.69092
642.6696, 12.66357
643.1517, 12.43384
643.6339, 15.67261
644.1160, 22.38599
644.5981, 39.67163
645.0802, 57.64746
645.5623, 57.52100
646.0444, 37.62915
646.5266, 17.53687
647.0087, 16.64502
647.4908, 30.06689
647.9729, 33.48804
648.4550, 23.34595
648.9371, 17.91528
649.4193, 26.71411
649.9014, 36.48682
650.3835, 31.52222
650.8656, 14.49951
651.3477, 4.579834
651.8298, 12.70972
652.3120, 19.76978
652.7941, 12.39844
653.2762, 0.7514650
653.7583, 1.339355
654.2404, 14.62207
654.7225, 24.56348
655.2047, 16.55103
655.6868, 2.430176
656.1689, 8.730713
656.6510, 0.6296390
657.1331, 10.51538
657.6152, 26.84595
658.0974, 39.09106
658.5795, 36.91333
659.0616, 22.88599
659.5437, 7.681396
660.0258, 19.05737
660.5079, 32.84570
660.9901, 9.705566
661.4722, 20.51538
661.9543, 20.59277
662.4364, 6.424561
662.9185, 27.17920
663.4006, 18.37939
663.8828, 6.930420
664.3649, 21.49243
664.8470, 25.03882
665.3291, 25.40967
665.8112, 21.17896
666.2933, 20.63477
666.7755, 35.18164
667.2576, 58.59717
667.7397, 64.12598
668.2218, 38.72705
668.7039, 16.84790
669.1860, 2.839355
669.6682, 3.373779
670.1503, 0.4108890
670.6324, 11.80566
671.1145, 26.73706
671.5966, 42.84302
672.0787, 56.03735
672.5609, 60.21509
673.0430, 56.32568
673.5251, 50.84766
674.0072, 44.18823
674.4893, 36.35474
674.9714, 24.78540
675.4536, 14.03076
675.9357, 17.19092
676.4178, 45.87378
676.8999, 63.01953
677.3820, 61.52637
677.8641, 54.59204
678.3463, 46.90259
678.8284, 39.25439
679.3105, 30.04639
679.7926, 18.80542
680.2747, 13.57983
680.7568, 28.08154
681.2390, 52.75049
681.7211, 64.85938
682.2032, 63.75513
682.6853, 55.80786
683.1674, 42.35889
683.6495, 28.06226
684.1317, 19.51562
684.6138, 16.43750
685.0959, 15.97217
685.5780, 20.34839
686.0601, 24.74268
686.5422, 30.96069
687.0244, 34.83740
687.5065, 30.46167
687.9886, 17.90479
688.4707, 5.876953
688.9528, 8.024170
689.4349, 13.30127
689.9171, 13.67944
690.3992, 59.23975
690.8813, 79.85474
691.3634, 64.13916
691.8455, 39.85059
692.3276, 35.22583
692.8098, 47.44995
693.2919, 51.77710
