##NAMES=Cleusonite
##RRUFFID=R061019
##IDEAL CHEMISTRY=Pb^2+^(U^4+^,U^6+^)Fe^2+^_2_(Ti^4+^,Fe^2+^,Fe^3+^)_18_(O,OH)_38_
##LOCALITY=Bella Tola, Alpe Roua, St-Luc, Val d'Annivers, Wallis
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Metamict black semimetallic prismatic, associated with quartz
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R061019
520.2383, 56.86841
520.7205, 31.48267
521.2026, 7.194580
521.6847, 5.969238
522.1668, 29.19287
522.6489, 40.91333
523.1310, 27.89697
523.6132, 17.76733
524.0953, 27.43115
524.5774, 45.34448
525.0595, 52.77246
525.5416, 44.14307
526.0237, 30.58521
526.5059, 27.29810
526.9880, 35.70679
527.4701, 38.60010
527.9522, 31.09033
528.4343, 25.21680
528.9164, 28.06836
529.3986, 34.93213
529.8807, 39.63916
530.3628, 41.59644
530.8449, 38.24194
531.3270, 21.53076
531.8091, 0.8432620
532.2913, 8.973389
532.7734, 0.7771000
533.2555, 10.90234
533.7376, 6.195068
534.2197, 11.13574
534.7018, 17.73120
535.1840, 4.022949
535.6661, 8.132324
536.1482, 12.28467
536.6303, 13.73022
537.1124, 18.61914
537.5945, 27.40991
538.0767, 35.10229
538.5588, 35.65625
539.0409, 30.93628
539.5230, 32.97119
540.0051, 45.03491
540.4872, 54.88599
540.9694, 57.50684
541.4515, 54.86230
541.9336, 48.51074
542.4157, 37.16089
542.8978, 29.72656
543.3799, 32.55835
543.8621, 39.08325
544.3442, 40.90967
544.8263, 38.91382
545.3084, 40.39844
545.7905, 50.81982
546.2726, 66.41870
546.7548, 76.37573
547.2369, 81.12085
547.7190, 78.99561
548.2011, 61.39209
548.6832, 45.03345
549.1653, 42.02417
549.6475, 48.91626
550.1296, 53.41577
550.6117, 48.16064
551.0938, 38.32178
551.5759, 31.53857
552.0580, 27.96729
552.5402, 25.49341
553.0223, 24.00342
553.5044, 22.33374
553.9865, 17.94629
554.4686, 9.949951
554.9507, 9.010498
555.4329, 22.80664
555.9150, 35.51685
556.3971, 38.96826
556.8792, 37.34595
557.3613, 37.52417
557.8434, 41.72241
558.3256, 47.07690
558.8077, 50.10303
559.2898, 50.70337
559.7719, 49.79956
560.2540, 48.34082
560.7361, 46.60229
561.2183, 43.15137
561.7004, 38.92847
562.1825, 35.53247
562.6646, 33.75415
563.1467, 30.52148
563.6288, 20.27124
564.1110, 9.312988
564.5931, 8.001221
565.0752, 16.21997
565.5573, 24.61182
566.0394, 26.69214
566.5215, 23.74707
567.0037, 21.22534
567.4858, 21.17847
567.9679, 17.86914
568.4500, 4.536377
568.9321, 6.573486
569.4142, 4.349854
569.8964, 8.241211
570.3785, 17.69800
570.8606, 14.34619
571.3427, 6.674561
571.8248, 8.633301
572.3069, 18.51514
572.7891, 22.38745
573.2712, 14.48706
573.7533, 4.720459
574.2354, 6.178955
574.7175, 21.55371
575.1996, 28.82373
575.6818, 18.63721
576.1639, 11.30688
576.6460, 17.02856
577.1281, 28.93677
577.6102, 37.63477
578.0923, 40.39038
578.5745, 40.64404
579.0566, 42.06372
579.5387, 44.40527
580.0208, 45.29150
580.5029, 44.23389
580.9850, 43.02661
581.4672, 42.25415
581.9493, 42.02637
582.4315, 42.42188
582.9136, 43.39526
583.3957, 45.12866
583.8778, 51.18726
584.3599, 55.42261
584.8420, 49.72437
585.3242, 36.61255
585.8063, 25.15796
586.2884, 20.20239
586.7705, 21.44873
587.2526, 30.94141
587.7347, 54.13330
588.2169, 63.83276
588.6990, 47.63989
589.1811, 28.59302
589.6632, 18.46509
590.1453, 15.33057
590.6274, 15.79468
591.1096, 17.73560
591.5917, 23.15039
592.0738, 39.64160
592.5559, 58.49023
593.0380, 59.93750
593.5201, 40.95166
594.0023, 22.39917
594.4844, 21.76660
594.9665, 34.90112
595.4486, 39.94824
595.9307, 27.70972
596.4128, 21.96924
596.8950, 35.27979
597.3771, 48.66138
597.8592, 43.93286
598.3413, 23.14136
598.8234, 6.176270
599.3055, 8.548584
599.7877, 17.84009
600.2698, 15.05200
600.7519, 3.062500
601.2340, 1.611572
601.7161, 7.280762
602.1982, 20.62573
602.6804, 26.44604
603.1625, 22.82544
603.6446, 24.87305
604.1267, 38.53296
604.6088, 50.30859
605.0909, 57.47656
605.5731, 60.83911
606.0552, 58.63574
606.5373, 50.14819
607.0194, 43.20190
607.5015, 44.93921
607.9836, 52.83765
608.4658, 61.98584
608.9479, 72.54663
609.4300, 75.62354
609.9121, 64.28601
610.3942, 47.19983
610.8763, 41.16028
611.3585, 51.35132
611.8406, 57.56445
612.3227, 59.19653
612.8048, 58.16321
613.2869, 51.90637
613.7690, 43.32666
614.2512, 39.02417
614.7333, 41.96704
615.2154, 46.09216
615.6975, 41.58276
616.1796, 30.68933
616.6617, 29.91882
617.1439, 40.61475
617.6260, 52.46021
618.1081, 61.31506
618.5902, 65.96216
619.0723, 61.67163
619.5544, 40.25745
620.0366, 29.58789
620.5187, 45.68298
621.0008, 64.50513
621.4829, 67.45789
621.9650, 57.75684
622.4471, 47.90930
622.9293, 44.48926
623.4114, 42.78455
623.8935, 32.97729
624.3756, 15.07361
624.8577, 4.683350
625.3398, 4.370361
625.8220, 9.795044
626.3041, 21.50000
626.7862, 36.23547
627.2683, 44.55872
627.7504, 44.40430
628.2325, 41.39941
628.7147, 35.16614
629.1968, 28.16418
629.6789, 21.23303
630.1610, 15.52734
630.6431, 14.15051
631.1252, 19.00989
631.6074, 27.93896
632.0895, 37.25281
632.5716, 47.20959
633.0537, 53.76990
633.5358, 55.85461
634.0179, 55.18127
634.5001, 50.93628
634.9822, 44.78418
635.4643, 42.84167
635.9464, 51.76465
636.4285, 56.06140
636.9106, 45.75696
637.3928, 31.49829
637.8749, 23.65234
638.3570, 23.07715
638.8391, 26.13159
639.3212, 31.04773
639.8033, 36.04871
640.2855, 35.27429
640.7676, 27.50366
641.2497, 25.42969
641.7318, 34.63647
642.2139, 44.53821
642.6960, 45.91052
643.1782, 40.57361
643.6603, 35.50146
644.1424, 30.10718
644.6245, 26.55859
645.1066, 28.31592
645.5887, 31.01855
646.0709, 27.54639
646.5530, 18.88928
647.0351, 10.83667
647.5172, 6.841919
647.9993, 7.587158
648.4814, 18.69092
648.9636, 42.37341
649.4457, 52.24683
649.9278, 39.03625
650.4099, 18.14221
650.8920, 4.140747
651.3741, 24.55310
651.8563, 26.49036
652.3384, 13.19861
652.8205, 43.60535
653.3026, 42.94897
653.7847, 29.73254
654.2668, 20.28467
654.7490, 17.50867
655.2311, 19.69250
655.7132, 26.81726
656.1953, 35.63257
656.6774, 38.16406
657.1595, 34.17029
657.6417, 31.39429
658.1238, 30.85706
658.6059, 32.93689
659.0880, 40.59241
659.5701, 52.04675
660.0522, 54.45825
660.5344, 40.14380
661.0165, 27.17017
661.4986, 21.65125
661.9807, 17.72754
662.4628, 6.494385
662.9449, 8.873535
663.4271, 14.26489
663.9092, 1.597534
664.3913, 25.19043
664.8734, 31.05615
665.3555, 21.00671
665.8376, 18.04541
666.3198, 27.96619
666.8019, 38.24792
667.2840, 39.37866
667.7661, 32.52136
668.2482, 24.43726
668.7303, 14.28406
669.2125, 4.182007
669.6946, 10.64709
670.1767, 21.11768
670.6588, 19.54248
671.1409, 7.848022
671.6230, 9.245483
672.1052, 32.82886
672.5873, 49.64941
673.0694, 33.91309
673.5515, 3.541138
674.0336, 17.57153
674.5157, 0.7792970
674.9979, 20.29480
675.4800, 28.30615
675.9621, 25.91370
676.4442, 22.25037
676.9263, 12.38721
677.4084, 9.672363
677.8906, 22.87756
678.3727, 34.18909
678.8548, 30.69788
679.3369, 18.90881
679.8190, 13.24219
680.3011, 19.60364
680.7833, 28.30054
681.2654, 33.80176
681.7475, 35.28015
682.2296, 27.87280
682.7117, 12.89087
683.1938, 3.083374
683.6760, 5.897705
684.1581, 17.09363
684.6402, 28.61145
685.1223, 43.18103
685.6044, 49.23596
686.0865, 42.51343
686.5687, 32.19226
687.0508, 17.40491
687.5329, 3.424683
688.0150, 1.757935
688.4971, 3.951904
688.9792, 13.31006
689.4614, 27.36389
689.9435, 40.08923
690.4256, 42.23621
690.9077, 37.65369
691.3898, 40.37659
691.8719, 56.04541
692.3541, 71.42053
692.8362, 65.31531
693.3183, 37.41370
693.8004, 20.20569
694.2825, 15.59460
694.7646, 16.67383
695.2468, 25.45288
695.7289, 35.01257
696.2110, 34.12598
696.6931, 21.63306
697.1752, 13.43384
697.6573, 13.99841
698.1395, 17.35352
698.6216, 22.68237
699.1037, 27.90112
699.5858, 29.50659
700.0679, 27.26282
700.5500, 25.64783
701.0322, 31.50757
701.5143, 39.38696
701.9964, 30.09143
702.4785, 4.048584
702.9606, 9.295288
703.4427, 0.6411130
703.9249, 18.87756
