##NAMES=Litidionite
##RRUFFID=R130088
##IDEAL CHEMISTRY=KNaCu^2+^Si_4_O_10_
##LOCALITY=Mt Vesuvius, Napoli, Italy
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Blue to green glassy, massive. The two larger fragments are from the 1880 eruption. The smaller fragment is from 1873.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130088
666.8465, 1.292553
667.3286, 1.244389
667.8107, 0.9938740
668.2928, 0.7443920
668.7750, 0.4872130
669.2571, 0.3784870
669.7392, 0.6861230
670.2213, 1.341072
670.7034, 1.641296
671.1855, 1.182308
671.6677, 0.8520050
672.1498, 1.059578
672.6319, 1.461082
673.1140, 1.759441
673.5961, 1.868862
674.0782, 1.714951
674.5604, 1.174393
675.0425, 0.4432140
675.5246, 0.1942980
676.0067, 0.5237270
676.4888, 0.9080540
676.9709, 1.409534
677.4531, 1.751766
677.9352, 1.615231
678.4173, 1.138439
678.8994, 0.8064230
679.3815, 0.7741090
679.8636, 0.8339000
680.3458, 0.8501240
680.8279, 0.8784750
681.3100, 1.045353
681.7921, 1.362812
682.2742, 1.683491
682.7563, 1.897659
683.2385, 2.009510
683.7206, 2.045139
684.2027, 2.019791
684.6848, 1.883591
685.1669, 1.517807
685.6490, 1.136410
686.1312, 0.8241650
686.6133, 0.5984880
687.0954, 0.4998740
687.5775, 0.5965920
688.0596, 0.7272760
688.5417, 0.7329520
689.0239, 0.6763880
689.5060, 0.6571240
689.9881, 0.6898000
690.4702, 0.7531590
690.9523, 0.8319130
691.4344, 0.9265140
691.9166, 1.049572
692.3987, 1.299961
692.8808, 1.415234
693.3629, 1.311321
693.8450, 1.143177
694.3271, 0.9303590
694.8093, 0.7357140
695.2914, 0.6985280
695.7735, 0.9135590
696.2556, 1.201595
696.7377, 1.420422
697.2198, 1.552715
697.7020, 1.534744
698.1841, 1.357269
698.6662, 1.020523
699.1483, 0.4306790
699.6304, 0.2631420
700.1125, 0.4779620
700.5947, 0.2887540
701.0768, 0.7672270
701.5589, 0.7206500
702.0410, 0.5936160
702.5231, 0.6866570
703.0052, 0.9100880
703.4874, 0.9998090
703.9695, 0.8292050
704.4516, 0.6258810
704.9337, 0.7227750
705.4158, 1.045242
705.8979, 1.228630
706.3801, 1.235641
706.8622, 1.121754
707.3442, 0.8977240
707.8264, 0.5991440
708.3085, 0.2992100
