##NAMES=Szaibelyite
##RRUFFID=R070498
##IDEAL CHEMISTRY=MgBO_2_(OH)
##LOCALITY=Stinson Beach, Marin County, California, USA
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Matted aggregates of white fibrous crystals, associated with magnetite and chromite
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R070498
684.3409, 249.2500
684.8230, 206.0703
685.3051, 85.68359
685.7872, 14.50781
686.2693, 78.31250
686.7515, 175.6211
687.2336, 243.3086
687.7157, 276.6523
688.1978, 292.2852
688.6799, 282.4414
689.1620, 265.5820
689.6442, 262.8633
690.1263, 274.6367
690.6084, 273.4062
691.0905, 251.7695
691.5726, 224.4375
692.0547, 206.3906
692.5369, 198.0156
693.0190, 202.9727
693.5011, 237.3398
693.9832, 266.1562
694.4653, 259.2188
694.9474, 228.1133
695.4296, 199.9023
695.9117, 164.7461
696.3938, 154.5586
696.8759, 199.9453
697.3580, 286.6719
697.8401, 321.6641
698.3223, 297.6641
698.8044, 256.6602
699.2865, 201.3750
699.7686, 135.9023
700.2507, 118.0703
700.7328, 148.7891
701.2150, 191.6094
701.6971, 211.1094
702.1792, 224.5625
702.6613, 270.1680
703.1434, 355.5859
703.6255, 420.6680
704.1077, 414.7500
704.5898, 378.7734
705.0719, 349.7812
705.5540, 338.1914
706.0361, 327.6172
706.5182, 321.1445
707.0004, 313.5000
707.4825, 298.7656
707.9646, 277.6445
708.4467, 251.9531
708.9288, 221.6406
709.4109, 190.2227
709.8931, 156.8477
710.3752, 125.7344
710.8573, 118.0742
711.3394, 162.5391
711.8215, 212.4883
712.3036, 210.1484
712.7858, 170.7617
713.2679, 138.5195
713.7500, 128.7891
714.2321, 132.1211
714.7142, 152.4297
715.1964, 186.8203
715.6785, 197.8750
716.1606, 166.5508
716.6427, 139.4492
717.1248, 141.9883
717.6069, 172.5781
718.0891, 180.3242
718.5712, 163.8594
719.0533, 136.1133
719.5354, 103.7031
720.0175, 69.42578
720.4996, 39.22266
720.9818, 14.46484
721.4639, 6.144531
721.9460, 24.15234
722.4281, 36.29688
722.9102, 37.73438
723.3923, 15.10547
723.8745, 4.886719
724.3566, 29.22656
724.8387, 56.75391
725.3208, 54.58984
725.8029, 14.90234
726.2850, 24.08594
726.7672, 54.67578
727.2493, 85.23828
