##NAMES=Coronadite
##RRUFFID=R070320
##IDEAL CHEMISTRY=Pb^2+^(Mn^4+^_6_Mn^3+^_2_)O_16_
##LOCALITY=Broken Hill, New South Wales, Australia
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Dark gray fine-grained aggregate, some thin acicular crystals lining cracks in the rock
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070320
522.1405, 7.424805
522.6226, 8.992920
523.1047, 19.09082
523.5869, 26.66943
524.0690, 26.01831
524.5511, 19.85376
525.0332, 9.586914
525.5153, 4.703125
525.9974, 9.235840
526.4796, 5.026367
526.9617, 20.61548
527.4438, 13.97607
527.9259, 11.56567
528.4080, 25.77344
528.8901, 15.67090
529.3723, 1.794922
529.8544, 3.972412
530.3365, 4.695801
530.8186, 8.343262
531.3007, 17.44946
531.7828, 24.86987
532.2650, 19.40918
532.7471, 2.192871
533.2292, 16.50122
533.7113, 20.52124
534.1934, 20.23462
534.6755, 13.27808
535.1577, 4.779541
535.6398, 3.578613
536.1219, 13.27490
536.6040, 20.01904
537.0861, 5.435547
537.5682, 22.66113
538.0504, 38.52393
538.5325, 38.44946
539.0146, 30.52979
539.4967, 16.68896
539.9788, 0.1142580
540.4609, 5.176270
540.9431, 12.23364
541.4252, 25.24048
541.9073, 25.56567
542.3894, 20.93848
542.8715, 17.48169
543.3536, 16.54126
543.8358, 18.36157
544.3179, 24.22046
544.8000, 31.93555
545.2821, 29.49487
545.7642, 9.083496
546.2463, 0.1904300
546.7285, 27.04321
547.2106, 55.61743
547.6927, 55.09277
548.1748, 27.29468
548.6569, 5.259277
549.1390, 7.906982
549.6211, 20.35303
550.1032, 28.58276
550.5853, 32.53613
551.0674, 32.25146
551.5496, 26.86255
552.0317, 22.09814
552.5138, 28.51270
552.9959, 53.27271
553.4780, 64.71387
553.9601, 49.57202
554.4423, 37.32788
554.9244, 42.46265
555.4065, 57.47876
555.8886, 69.58936
556.3707, 74.08740
556.8528, 76.56519
557.3350, 85.23193
557.8171, 98.81372
558.2992, 105.1794
558.7813, 99.97998
559.2634, 98.23340
559.7455, 114.7180
560.2277, 141.5974
560.7098, 153.0952
561.1919, 137.1992
561.6740, 126.7073
562.1561, 134.3911
562.6382, 150.9905
563.1204, 170.2993
563.6025, 189.3955
564.0846, 202.9602
564.5667, 206.9795
565.0488, 202.9014
565.5309, 194.4771
566.0131, 174.7280
566.4952, 168.3120
566.9773, 192.6602
567.4594, 221.2893
567.9415, 236.2952
568.4236, 240.0884
568.9058, 247.5588
569.3879, 272.2942
569.8700, 296.9155
570.3521, 299.6648
570.8342, 287.0154
571.3163, 281.4893
571.7985, 290.3328
572.2806, 304.3140
572.7627, 311.7305
573.2448, 311.5122
573.7269, 315.1057
574.2090, 323.2656
574.6912, 334.1750
575.1733, 352.7485
575.6554, 371.0291
576.1375, 377.4297
576.6196, 370.6301
577.1017, 365.0752
577.5839, 377.7727
578.0660, 402.1626
578.5481, 416.3484
579.0302, 419.5713
579.5123, 415.3853
579.9944, 400.4241
580.4766, 383.3137
580.9587, 384.1494
581.4408, 409.3987
581.9229, 422.4819
582.4050, 407.5698
582.8871, 388.7478
583.3693, 382.7385
583.8514, 385.2542
584.3335, 384.4619
584.8156, 374.1152
585.2977, 360.1541
585.7798, 351.0149
586.2620, 346.8372
586.7441, 346.7290
587.2262, 357.7605
587.7083, 360.6980
588.1904, 331.6724
588.6725, 290.9849
589.1547, 273.6230
589.6368, 291.1321
590.1189, 313.4905
590.6010, 335.4863
591.0831, 348.4541
591.5652, 336.8398
592.0474, 303.8315
592.5295, 271.2229
593.0116, 252.7883
593.4937, 246.0913
593.9758, 245.2830
594.4579, 255.5864
594.9401, 260.8335
595.4222, 251.4250
595.9043, 242.8303
596.3864, 247.0991
596.8685, 258.3433
597.3506, 260.2305
597.8328, 242.2673
598.3149, 221.6963
598.7970, 216.7415
599.2791, 221.3948
599.7612, 219.3862
600.2433, 207.5415
600.7255, 195.9033
601.2076, 193.3826
601.6897, 198.6208
602.1718, 200.4067
602.6539, 188.2856
603.1360, 187.3896
603.6182, 216.0842
604.1003, 243.5049
604.5824, 242.6013
605.0645, 217.3374
605.5466, 192.6768
606.0287, 182.3325
606.5109, 181.0217
606.9930, 181.1990
607.4751, 183.3406
607.9572, 192.8047
608.4393, 213.9141
608.9214, 230.7913
609.4036, 225.5251
609.8857, 197.9602
610.3678, 177.7515
610.8499, 166.0625
611.3320, 158.1870
611.8141, 150.5837
612.2963, 147.7070
612.7784, 159.2371
613.2605, 182.5286
613.7426, 199.6794
614.2247, 194.3926
614.7068, 175.6973
615.1890, 165.6482
615.6711, 164.5657
616.1532, 165.7427
616.6353, 169.3938
617.1174, 170.6924
617.5995, 160.7488
618.0817, 139.2629
618.5638, 130.5845
619.0459, 149.0078
619.5280, 164.9333
620.0101, 165.8730
620.4922, 158.4246
620.9744, 148.5054
621.4565, 138.8455
621.9386, 134.3687
622.4207, 141.9204
622.9028, 157.4424
623.3849, 163.7825
623.8671, 159.1152
624.3492, 154.3083
624.8313, 154.8289
625.3134, 154.5571
625.7955, 141.6370
626.2776, 117.2068
626.7598, 106.4919
627.2419, 127.9172
627.7240, 147.7227
628.2061, 145.4062
628.6882, 131.9553
629.1703, 124.4658
629.6525, 126.8879
630.1346, 130.1873
630.6167, 123.6533
631.0988, 110.0808
631.5809, 107.3950
632.0630, 119.3984
632.5452, 127.2100
633.0273, 122.9624
633.5094, 114.4382
633.9915, 109.3738
634.4736, 107.9727
634.9557, 110.9482
635.4379, 126.7585
635.9200, 138.2605
636.4021, 132.9858
636.8842, 118.1335
637.3663, 104.7310
637.8484, 95.56860
638.3306, 86.69800
638.8127, 72.34985
639.2948, 55.22266
639.7769, 55.09546
640.2590, 78.86963
640.7411, 94.89233
641.2233, 90.54834
641.7054, 78.07178
642.1875, 69.18677
642.6696, 63.67896
643.1517, 59.46729
643.6339, 56.72119
644.1160, 54.53394
644.5981, 52.85767
645.0802, 51.22681
645.5623, 48.14282
646.0444, 43.76270
646.5266, 41.44482
647.0087, 45.38574
647.4908, 53.38794
647.9729, 53.68774
648.4550, 43.37134
648.9371, 37.14014
649.4193, 39.82349
649.9014, 47.04297
650.3835, 57.55591
650.8656, 69.43701
651.3477, 72.24756
651.8298, 54.75610
652.3120, 38.54468
652.7941, 33.39575
653.2762, 35.65967
653.7583, 44.83838
654.2404, 58.25366
654.7225, 62.42285
655.2047, 44.58887
655.6868, 15.07910
656.1689, 12.43018
656.6510, 42.77197
657.1331, 61.43213
657.6152, 54.14014
658.0974, 39.81860
658.5795, 34.67139
659.0616, 36.88232
659.5437, 38.83838
660.0258, 40.98535
660.5079, 41.37402
660.9901, 40.45337
661.4722, 36.74097
661.9543, 26.01245
662.4364, 10.22290
662.9185, 2.655029
663.4006, 7.424316
663.8828, 5.699707
664.3649, 0.3864750
664.8470, 8.572021
665.3291, 21.27661
665.8112, 42.76807
666.2933, 55.57178
666.7755, 39.69727
667.2576, 4.083008
667.7397, 11.78540
668.2218, 4.631592
668.7039, 20.20093
669.1860, 32.93530
669.6682, 38.92505
670.1503, 28.14185
670.6324, 8.052979
671.1145, 0.5720210
671.5966, 18.10010
672.0787, 41.64893
672.5609, 41.48193
673.0430, 21.57715
673.5251, 11.19702
674.0072, 14.20288
674.4893, 20.55786
674.9714, 26.15845
675.4536, 29.65332
675.9357, 26.98486
676.4178, 13.49878
676.8999, 3.979492
677.3820, 0.9260250
677.8641, 0.2585450
678.3463, 3.2958999E-02
678.8284, 0.1298830
679.3105, 3.602051
679.7926, 12.99585
680.2747, 20.45898
680.7568, 17.34058
681.2390, 7.757080
681.7211, 0.5832520
682.2032, 3.984619
682.6853, 4.435547
683.1674, 1.529053
683.6495, 8.199463
684.1317, 5.837891
684.6138, 8.192139
685.0959, 17.28491
685.5780, 21.93018
686.0601, 20.98242
686.5422, 7.594727
687.0244, 7.568848
687.5065, 12.85498
687.9886, 7.303467
688.4707, 0.4709470
688.9528, 9.190186
689.4349, 14.89380
689.9171, 7.202148
690.3992, 7.253662
690.8813, 5.471436
691.3634, 18.33789
691.8455, 42.64771
692.3276, 44.64307
692.8098, 27.59082
693.2919, 20.70996
693.7740, 30.72290
694.2561, 35.10010
694.7382, 19.14844
695.2203, 5.893799
695.7025, 16.33350
696.1846, 43.71338
696.6667, 61.89404
697.1488, 58.68237
697.6309, 51.38525
698.1130, 49.77759
698.5952, 48.91479
699.0773, 39.66870
