##NAMES=Schreibersite
##RRUFFID=R070239
##IDEAL CHEMISTRY=(Fe,Ni,Cr)_3_P
##LOCALITY=Sao Juliao de Moreira meteorite, Ponte de Lima, Viana do Castelo district, Portugal
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Silvery fragments with slightly brassy luster, co-type specimen
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R070239
395.8259, 42.34534
396.3080, 42.78088
396.7901, 40.98352
397.2722, 37.97498
397.7544, 34.16675
398.2365, 29.69312
398.7186, 25.35095
399.2007, 21.85706
399.6828, 17.74512
400.1649, 11.30530
400.6471, 4.148193
401.1292, 2.444702
401.6113, 8.096680
402.0934, 9.035645
402.5755, 1.656982
403.0576, 31.57996
403.5398, 49.21997
404.0219, 46.65906
404.5040, 41.81018
404.9861, 46.25256
405.4682, 56.39258
405.9503, 60.44519
406.4325, 49.77625
406.9146, 30.21069
407.3967, 24.42126
407.8788, 44.12878
408.3609, 52.64111
408.8430, 30.10400
409.3252, 3.709229
409.8073, 2.519653
410.2894, 14.15332
410.7715, 33.57581
411.2536, 36.79077
411.7357, 27.31628
412.2179, 23.27124
412.7000, 26.98242
413.1821, 33.35034
413.6642, 41.08154
414.1463, 48.83545
414.6284, 53.49072
415.1106, 54.65344
415.5927, 52.37561
416.0748, 43.26013
416.5569, 30.30811
417.0390, 23.52563
417.5211, 26.96143
418.0033, 35.11121
418.4854, 41.20129
418.9675, 45.04541
419.4496, 48.06409
419.9317, 50.62427
420.4138, 52.07495
420.8960, 51.48291
421.3781, 49.50537
421.8602, 47.02002
422.3423, 45.86304
422.8244, 45.45398
423.3065, 42.89551
423.7887, 37.21423
424.2708, 30.72156
424.7529, 19.79822
425.2350, 10.77844
425.7171, 11.29016
426.1992, 21.08203
426.6814, 30.38354
427.1635, 27.51843
427.6456, 13.96570
428.1277, 8.174561
428.6098, 12.89478
429.0919, 20.21350
429.5741, 29.36560
430.0562, 37.60486
430.5383, 40.00769
431.0204, 33.70703
431.5025, 25.07739
431.9846, 16.88489
432.4668, 10.55615
432.9489, 13.75208
433.4310, 31.46021
433.9131, 50.85962
434.3952, 55.20520
434.8773, 42.66016
435.3595, 33.21021
435.8416, 27.72412
436.3237, 25.77039
436.8058, 28.51990
437.2879, 34.58386
437.7701, 41.50183
438.2522, 48.25513
438.7343, 53.44983
439.2164, 52.97852
439.6985, 40.46875
440.1806, 33.75916
440.6628, 41.65967
441.1449, 47.79639
441.6270, 36.67725
442.1091, 12.42529
442.5912, 6.047241
443.0733, 2.327515
443.5555, 17.47461
444.0376, 29.30896
444.5197, 30.42859
445.0018, 31.30542
445.4839, 38.32336
445.9660, 45.77478
446.4482, 47.79907
446.9303, 43.31982
447.4124, 36.22363
447.8945, 25.85059
448.3766, 15.12073
448.8587, 12.17810
449.3409, 18.73572
449.8230, 23.49268
450.3051, 15.19958
450.7872, 3.688232
451.2693, 10.72046
451.7514, 6.422241
452.2336, 20.13611
452.7157, 14.93933
453.1978, 3.188599
453.6799, 5.675049
454.1620, 27.28162
454.6441, 50.50342
455.1263, 50.63245
455.6084, 21.29065
456.0905, 5.067017
456.5726, 14.97559
457.0547, 25.37415
457.5368, 29.27209
458.0190, 28.42126
458.5011, 25.02991
458.9832, 18.82080
459.4653, 15.07776
459.9474, 26.03894
460.4295, 52.64319
460.9117, 67.89771
461.3938, 62.60583
461.8759, 49.98413
462.3580, 39.81384
462.8401, 31.95923
463.3222, 27.73596
463.8044, 31.09668
464.2865, 35.41455
464.7686, 33.06287
465.2507, 26.14917
465.7328, 24.88733
466.2149, 35.51379
466.6971, 50.08887
467.1792, 52.32922
467.6613, 31.99109
468.1434, 18.87891
468.6255, 14.38599
469.1076, 15.37122
469.5898, 23.65442
470.0719, 35.97888
470.5540, 44.82642
471.0361, 45.30884
471.5182, 39.64673
472.0003, 34.02771
472.4825, 28.45581
472.9646, 23.01587
473.4467, 16.38708
473.9288, 10.94336
474.4109, 8.197144
474.8930, 8.239746
475.3752, 10.45752
475.8573, 17.11401
476.3394, 24.69031
476.8215, 27.08289
477.3036, 24.12048
477.7857, 17.73108
478.2679, 6.216675
478.7500, 5.933350
479.2321, 6.889893
479.7142, 6.970947
480.1963, 20.76868
480.6784, 34.29871
481.1606, 44.80774
481.6427, 49.25317
482.1248, 47.87573
482.6069, 42.49023
483.0890, 33.41199
483.5711, 22.59082
484.0533, 21.66394
484.5354, 42.03003
485.0175, 53.36841
485.4996, 45.13892
485.9817, 31.75159
486.4638, 24.99829
486.9460, 25.80518
487.4281, 26.83032
487.9102, 22.13257
488.3923, 13.25098
488.8744, 2.940430
489.3565, 10.21497
489.8387, 16.03418
490.3208, 6.240479
490.8029, 12.89734
491.2850, 28.56152
491.7671, 42.05176
492.2492, 48.66125
492.7314, 42.18286
493.2135, 30.48767
493.6956, 21.88354
494.1777, 17.37866
494.6598, 14.33911
495.1419, 10.59070
495.6241, 6.728271
496.1062, 6.725220
496.5883, 16.19922
497.0704, 21.58948
497.5525, 18.94690
498.0346, 13.72253
498.5168, 9.955200
498.9989, 8.322266
499.4810, 7.668335
499.9631, 6.036255
500.4452, 4.229004
500.9273, 8.897217
501.4095, 22.01660
501.8916, 33.02356
502.3737, 36.57849
502.8558, 35.81665
503.3379, 35.36804
503.8200, 34.84082
504.3022, 36.64758
504.7843, 47.97290
505.2664, 58.50830
505.7485, 50.84644
506.2306, 27.11548
506.7127, 10.71399
507.1949, 18.85962
507.6770, 44.44971
508.1591, 56.15430
508.6412, 40.22522
509.1233, 29.32349
509.6054, 29.03503
510.0876, 32.46179
510.5697, 35.58984
