##NAMES=Diopside
##RRUFFID=R090046
##IDEAL CHEMISTRY=CaMgSi_2_O_6_
##LOCALITY=Merelani, Tanzania
##OWNER=RRUFF
##SOURCE=Wendell Wilson
##DESCRIPTION=Green crystals associated with graphite, R090047
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R090046
395.7587, 2471542.
396.2408, 2469880.
396.7229, 2469278.
397.2050, 2470135.
397.6872, 2471347.
398.1693, 2471684.
398.6514, 2471041.
399.1335, 2470559.
399.6156, 2470531.
400.0977, 2470467.
400.5798, 2469891.
401.0620, 2468911.
401.5441, 2468072.
402.0262, 2467737.
402.5083, 2467795.
402.9904, 2467716.
403.4725, 2467398.
403.9547, 2467095.
404.4368, 2466781.
404.9189, 2466538.
405.4010, 2466573.
405.8831, 2466930.
406.3652, 2467270.
406.8474, 2467076.
407.3295, 2466144.
407.8116, 2465245.
408.2937, 2464252.
408.7758, 2463401.
409.2579, 2462803.
409.7401, 2462462.
410.2222, 2462369.
410.7043, 2462556.
411.1864, 2462970.
411.6685, 2463112.
412.1506, 2462997.
412.6328, 2462562.
413.1149, 2461428.
413.5970, 2460149.
414.0791, 2459427.
414.5612, 2459482.
415.0433, 2459789.
415.5255, 2459406.
416.0076, 2457942.
416.4897, 2457150.
416.9718, 2458010.
417.4539, 2458820.
417.9360, 2458622.
418.4182, 2457604.
418.9003, 2456615.
419.3824, 2456193.
419.8645, 2456287.
420.3466, 2456770.
420.8287, 2457895.
421.3109, 2458842.
421.7930, 2459272.
422.2751, 2459345.
422.7572, 2459191.
423.2393, 2458826.
423.7214, 2458325.
424.2036, 2457715.
424.6857, 2457005.
425.1678, 2456412.
425.6499, 2456107.
426.1320, 2455790.
426.6141, 2455141.
427.0963, 2454209.
427.5784, 2453332.
428.0605, 2452606.
428.5426, 2452055.
429.0247, 2451733.
429.5068, 2451653.
429.9890, 2451751.
430.4711, 2452116.
430.9532, 2452613.
431.4353, 2452813.
431.9174, 2452612.
432.3995, 2452264.
432.8817, 2451825.
433.3638, 2451330.
433.8459, 2450760.
434.3280, 2450070.
434.8101, 2449554.
435.2922, 2449751.
435.7744, 2450964.
436.2565, 2451506.
436.7386, 2450683.
437.2207, 2449653.
437.7028, 2449343.
438.1849, 2449617.
438.6671, 2449690.
439.1492, 2449011.
439.6313, 2447717.
440.1134, 2446626.
440.5955, 2445944.
441.0776, 2445231.
441.5598, 2443946.
442.0418, 2442887.
442.5240, 2443299.
443.0061, 2445329.
443.4882, 2447519.
443.9703, 2447898.
444.4524, 2446084.
444.9345, 2444327.
445.4167, 2442231.
445.8988, 2440608.
446.3809, 2439802.
446.8630, 2439693.
447.3451, 2440127.
447.8272, 2441143.
448.3094, 2442325.
448.7915, 2442519.
449.2736, 2441303.
449.7557, 2440244.
450.2378, 2439754.
450.7199, 2439505.
451.2021, 2439377.
451.6842, 2439318.
452.1663, 2439113.
