##NAMES=Wooldridgeite
##RRUFFID=R100005
##IDEAL CHEMISTRY=Na_2_CaCu^2+^_2_(P_2_O_7_)_2_&#183;10H_2_O
##LOCALITY=Judkins Quarry, Nuneaton, Warwickshire, England
##OWNER=RRUFF
##SOURCE=William Pinch
##DESCRIPTION=Pale green equant rhombic-dipyramidal crystals, co-type sample
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100005
461.4466, 2.153606
461.9287, 2.089791
462.4108, 1.119539
462.8929, 0.2437060
463.3751, 0.5421250
463.8572, 2.027937
464.3393, 2.916957
464.8214, 2.811369
465.3035, 2.552877
465.7856, 2.258448
466.2678, 1.987689
466.7499, 1.821357
467.2320, 1.796425
467.7141, 1.805906
468.1962, 1.629764
468.6783, 1.226746
469.1605, 1.099532
469.6426, 1.476921
470.1247, 2.002236
470.6068, 2.619061
471.0889, 3.213285
471.5710, 3.350540
472.0532, 2.371177
472.5353, 1.011413
473.0174, 0.5005620
473.4995, 0.8678540
473.9816, 1.386662
474.4637, 1.818735
474.9459, 2.117023
475.4280, 2.206726
475.9101, 2.040684
476.3922, 1.824475
476.8743, 1.667810
477.3564, 1.495063
477.8386, 1.119615
478.3207, 0.5192500
478.8028, 2.5629001E-02
479.2849, 2.6643001E-02
479.7670, 0.3672160
480.2491, 0.6209560
480.7313, 0.5993630
481.2134, 0.6123410
481.6955, 0.8630470
482.1776, 1.188823
482.6597, 1.258149
483.1418, 0.9583560
483.6240, 0.5651530
484.1061, 0.7593040
484.5882, 2.010033
485.0703, 2.650315
485.5524, 2.245267
486.0345, 1.702006
486.5167, 1.376070
486.9988, 1.246446
487.4809, 1.143366
487.9630, 0.9320780
488.4451, 0.7555900
488.9272, 1.104115
489.4094, 2.286223
489.8915, 3.035656
490.3736, 2.515247
490.8557, 1.763470
491.3378, 1.609642
491.8199, 2.092960
492.3021, 2.475684
492.7842, 2.061187
493.2663, 1.260066
493.7484, 0.9753220
494.2305, 1.375512
494.7126, 1.833931
495.1948, 2.036074
495.6769, 2.003181
496.1590, 1.788898
496.6411, 1.193612
497.1232, 0.8135240
497.6053, 1.279560
498.0875, 2.049924
498.5696, 2.019218
499.0517, 0.9341520
499.5338, 0.2846100
500.0159, 0.6763990
500.4980, 0.1700320
500.9802, 0.5436120
501.4623, 2.088426
501.9444, 3.147866
502.4265, 2.873159
502.9086, 1.841586
503.3907, 0.9492830
503.8729, 0.5765590
504.3550, 0.6118520
504.8371, 0.9246920
505.3192, 1.715737
505.8013, 2.231573
506.2834, 2.308970
506.7656, 2.270718
507.2477, 2.339610
507.7298, 2.399338
508.2119, 2.096389
508.6940, 1.086722
509.1761, 0.1201240
509.6583, 0.4650870
510.1404, 0.1482140
510.6225, 1.125718
511.1046, 2.866259
511.5867, 4.405260
512.0688, 4.957994
512.5510, 4.529622
513.0331, 3.659712
513.5152, 2.112312
513.9973, 0.5004950
514.4794, 0.2460450
514.9615, 9.9706002E-02
515.4437, 0.5397920
515.9258, 1.713396
516.4079, 3.039937
516.8900, 3.269029
517.3721, 1.758271
517.8542, 0.6545920
518.3364, 0.8122840
518.8185, 1.371652
519.3006, 1.394862
519.7827, 0.8165640
520.2648, 0.2016300
520.7469, 2.7061000E-02
521.2291, 0.2712550
521.7112, 0.6321260
522.1933, 1.449048
522.6754, 1.959091
523.1575, 1.787177
523.6396, 1.416479
524.1218, 1.380249
524.6039, 1.768228
525.0860, 2.193599
525.5681, 2.222970
526.0502, 1.864396
526.5323, 1.509122
527.0145, 0.9957680
527.4966, 0.7809410
527.9787, 1.310426
528.4608, 2.189100
528.9429, 2.913827
529.4250, 3.417451
529.9072, 3.473496
530.3893, 2.464183
530.8714, 0.8398620
531.3535, 0.2654910
531.8356, 1.252286
532.3177, 2.445124
532.7999, 2.518985
533.2820, 1.523291
533.7641, 0.9612570
534.2462, 1.284825
534.7283, 1.596096
535.2104, 1.431393
535.6926, 0.9877370
536.1747, 0.5560560
536.6568, 0.2417290
537.1389, 0.1253820
537.6210, 0.3668060
538.1031, 1.082340
538.5853, 1.620240
539.0674, 1.836678
539.5495, 2.038935
540.0316, 2.555715
540.5137, 3.068411
540.9958, 2.938215
541.4780, 1.862948
541.9601, 0.5847470
542.4422, 0.3861810
542.9243, 1.378051
543.4064, 1.853126
543.8885, 1.187642
544.3707, 0.5017840
544.8528, 0.7674520
545.3349, 1.608872
545.8170, 2.016615
546.2991, 1.425422
546.7813, 0.5604180
547.2634, 9.6536003E-02
547.7455, 0.4876010
548.2276, 0.2086080
548.7097, 1.048022
549.1918, 0.6561517
549.6740, 2.240070
550.1561, 0.3499460
550.6382, 0.5270430
551.1203, 0.6749330
551.6024, 1.856012
552.0845, 1.657759
552.5667, 0.6620800
553.0488, 0.1588120
553.5309, 0.7073650
554.0130, 1.744552
554.4951, 2.052068
554.9772, 1.147447
555.4594, 0.8259280
555.9415, 1.921080
556.4236, 2.800885
556.9057, 2.534830
557.3878, 1.605223
557.8699, 1.107401
558.3521, 1.716071
558.8342, 2.581707
559.3163, 2.358780
559.7984, 1.101158
560.2805, 0.3278650
560.7626, 0.4717410
561.2448, 0.9967020
561.7269, 1.570700
562.2090, 2.143009
562.6911, 2.407151
563.1732, 1.905693
563.6553, 1.459481
564.1375, 1.769001
564.6196, 2.544250
565.1017, 3.086402
565.5838, 3.151299
566.0659, 2.926713
566.5480, 2.684860
567.0302, 2.473545
567.5123, 1.955174
567.9944, 0.5231790
568.4765, 0.4466640
568.9586, 8.2769997E-02
569.4407, 0.9748380
569.9229, 1.710024
570.4050, 1.733617
570.8871, 1.506242
571.3692, 1.755266
571.8513, 2.516773
572.3334, 2.885686
572.8156, 2.574430
573.2977, 2.262550
573.7798, 2.416487
574.2619, 2.868121
574.7440, 3.206765
575.2261, 3.316745
575.7083, 3.270066
576.1904, 3.115262
576.6725, 2.821794
577.1546, 2.123818
577.6367, 0.9158660
578.1188, 6.8896003E-02
578.6010, 0.6141720
579.0831, 2.541718
579.5652, 3.325308
580.0473, 2.023248
580.5294, 0.8895360
581.0115, 0.4696290
581.4937, 0.5688950
581.9758, 1.146502
582.4579, 2.085393
582.9400, 2.879565
583.4221, 2.967280
583.9042, 2.374760
584.3864, 1.731254
584.8685, 0.9143050
585.3506, 0.2582660
585.8327, 0.2006170
586.3148, -6.5785415E-02
586.7969, 0.2628630
587.2791, 0.2773300
587.7612, 0.9149670
588.2433, 1.621840
588.7254, 2.244032
589.2075, 2.415955
589.6896, 2.110394
590.1718, 1.677568
590.6539, 1.234236
591.1360, 0.8759070
591.6181, 0.9422450
592.1002, 1.773332
592.5823, 2.296302
593.0645, 2.002440
593.5466, 1.631726
594.0287, 1.931730
594.5108, 2.750437
594.9929, 3.353274
595.4750, 3.245211
595.9572, 2.641545
596.4393, 2.143400
596.9214, 1.697385
597.4035, 1.501277
597.8856, 2.041969
598.3677, 2.452682
598.8499, 1.968337
599.3320, 0.8796560
599.8141, 0.2786390
600.2962, 0.9879090
600.7783, 2.055920
601.2604, 2.235335
601.7426, 1.677465
602.2247, 1.310781
602.7068, 1.462469
603.1889, 1.708596
603.6710, 1.465682
604.1531, 0.6300780
604.6353, 0.3186250
605.1174, 0.9982520
605.5995, 1.647439
606.0816, 1.923707
606.5637, 1.923165
607.0458, 1.753547
607.5280, 1.471346
608.0101, 1.157329
608.4922, 0.8542180
608.9743, 0.6325060
609.4564, 0.5723180
609.9385, 0.9154800
610.4207, 1.019212
610.9028, 0.2055290
611.3849, 0.7327580
611.8670, 0.7697530
612.3491, 0.3299980
612.8312, 1.479886
613.3134, 2.064919
613.7955, 2.190594
614.2776, 1.902292
614.7597, 1.228479
615.2418, 0.6651880
615.7239, 0.4868050
616.2061, 0.6282920
616.6882, 0.9371930
617.1703, 1.678321
617.6524, 2.084964
618.1345, 1.976419
618.6166, 1.652365
619.0988, 1.121289
619.5809, 0.5535310
620.0630, 0.3228710
620.5451, 0.6590300
621.0272, 1.279523
621.5093, 1.650097
621.9915, 1.760421
622.4736, 1.654647
622.9557, 1.043122
623.4378, 0.6071570
623.9199, 1.036016
624.4020, 1.967810
624.8842, 2.469283
625.3663, 2.096014
625.8484, 1.598420
626.3305, 1.458154
626.8126, 1.594709
627.2947, 1.766306
627.7769, 1.914355
628.2590, 1.963503
628.7411, 1.802085
629.2232, 1.469765
629.7053, 1.460449
630.1874, 1.326266
630.6696, 0.9875559
631.1517, 1.268732
631.6338, 0.6368850
632.1159, 0.6348600
632.5980, 1.101282
633.0801, 0.6479629
633.5623, 2.262846
634.0444, 0.9430440
634.5265, 0.8859910
635.0086, 2.215865
635.4907, 2.978195
635.9728, 2.397455
636.4550, 1.313055
636.9371, 0.6014180
637.4192, 0.2327600
637.9013, 0.1846650
638.3834, 0.9126130
638.8655, 1.491330
639.3477, 1.077434
639.8298, 0.2199810
640.3119, 8.7500000E-03
640.7940, 0.6754720
641.2761, 1.624150
641.7582, 2.105358
642.2404, 2.111758
642.7225, 1.989407
643.2046, 1.562075
643.6867, 1.272090
644.1688, 1.413252
644.6509, 1.632991
645.1331, 1.567613
645.6152, 1.172401
646.0973, 0.9161510
646.5794, 1.154692
647.0615, 1.705675
647.5436, 2.393808
648.0258, 3.137300
648.5079, 3.315853
648.9900, 2.510925
649.4721, 1.450555
649.9542, 1.318213
650.4363, 2.523020
650.9185, 3.165287
651.4006, 2.944713
651.8827, 2.527017
