##NAMES=Caryochroite
##RRUFFID=R070008
##IDEAL CHEMISTRY=(Na,Sr)_3_(Fe^3+^,Mg)_10_Ti^4+^_2_Si_12_O_37_(H_2_O,O,OH)_17_
##LOCALITY=Umbozero mine, Alluaiv Mt., Lovozero massif, Kola Peninsula, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Dark brown massive, very fine grained
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070008
694.4915, 90.18750
694.9736, 44.84570
695.4557, 12.54004
695.9378, 8.438477
696.4199, 34.27393
696.9020, 56.17969
697.3842, 74.42871
697.8663, 88.08398
698.3484, 96.37158
698.8305, 99.40381
699.3126, 94.98828
699.7947, 81.82031
700.2769, 71.96484
700.7590, 82.30176
701.2411, 102.2637
701.7232, 113.6802
702.2053, 106.1685
702.6874, 102.5576
703.1696, 129.3398
703.6517, 167.6152
704.1338, 185.1323
704.6159, 162.2114
705.0980, 135.1738
705.5801, 100.0127
706.0623, 66.27637
706.5444, 60.81494
707.0265, 90.52783
707.5086, 110.8374
707.9907, 105.5444
708.4728, 86.77832
708.9550, 82.12695
709.4371, 88.93604
709.9192, 88.14111
710.4013, 54.22021
710.8834, 17.19922
711.3655, 5.925781
711.8477, 20.60889
712.3298, 42.93652
712.8119, 80.92725
713.2940, 112.8086
713.7761, 121.7520
714.2582, 100.7383
714.7404, 93.96484
715.2225, 112.2954
715.7046, 128.5835
716.1867, 111.6187
716.6688, 60.66895
717.1509, 46.41846
717.6331, 83.05225
718.1152, 119.5337
718.5973, 71.86133
719.0794, 15.86084
719.5615, 45.95020
720.0436, 35.96826
720.5258, 119.1572
721.0079, 123.8774
721.4900, 87.25977
