##NAMES=Miersite
##RRUFFID=R110170
##IDEAL CHEMISTRY=Ag^1+^I^1-^
##LOCALITY=Proprietary mine, Broken Hill, Australia
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Pale yellow tetrahedra, associated with hexagonal plates of iodargyrite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110170
578.3943, 27.90155
578.8764, 27.66176
579.3585, 27.72377
579.8406, 28.03592
580.3228, 28.25218
580.8049, 28.37213
581.2870, 28.39822
581.7691, 28.23477
582.2512, 27.96379
582.7333, 27.99153
583.2155, 28.37665
583.6975, 28.71144
584.1796, 28.41847
584.6617, 27.86419
585.1439, 27.70012
585.6260, 28.35913
586.1081, 28.98414
586.5902, 28.98630
587.0723, 28.59025
587.5544, 28.23195
588.0366, 27.90512
588.5187, 27.76175
589.0008, 28.01776
589.4829, 28.62972
589.9650, 28.79699
590.4471, 28.11860
590.9293, 27.51538
591.4114, 27.49291
591.8935, 28.17059
592.3756, 28.53580
592.8577, 28.51238
593.3398, 28.38235
593.8220, 28.47502
594.3041, 28.75158
594.7862, 28.89745
595.2683, 28.83483
595.7504, 28.67994
596.2325, 28.53461
596.7147, 28.41471
597.1968, 28.36255
597.6789, 28.47990
598.1610, 28.60166
598.6431, 28.57644
599.1252, 28.43989
599.6074, 28.35937
600.0895, 28.69405
600.5716, 28.84476
601.0537, 28.36816
601.5358, 26.98936
602.0179, 26.21727
602.5001, 26.31258
602.9822, 26.77469
603.4643, 27.28078
603.9464, 27.87828
604.4285, 28.36526
604.9106, 28.76150
605.3928, 28.99473
605.8749, 28.86976
606.3570, 28.41711
606.8391, 28.05710
607.3212, 27.96954
607.8033, 27.97469
608.2855, 27.72155
608.7676, 27.30122
609.2497, 27.04074
609.7318, 27.23157
610.2139, 27.57545
610.6960, 27.87426
611.1782, 28.11529
611.6603, 28.29502
612.1424, 28.35486
612.6245, 28.39689
613.1066, 28.50358
613.5887, 28.79694
614.0709, 28.86706
614.5530, 28.51492
615.0351, 28.12000
615.5172, 28.19692
615.9993, 28.97603
616.4814, 29.08560
616.9636, 28.08392
617.4457, 26.69335
617.9278, 26.39806
618.4099, 27.10279
618.8920, 27.79576
619.3741, 27.98686
619.8563, 27.98117
620.3384, 28.22032
620.8205, 28.66653
621.3026, 29.13211
621.7847, 29.70663
622.2668, 30.11824
622.7490, 30.07536
623.2311, 29.51331
623.7132, 29.00735
624.1953, 28.68869
624.6774, 28.49483
625.1595, 28.38306
625.6417, 28.36346
626.1238, 28.41517
626.6059, 28.60081
627.0880, 28.78991
627.5701, 28.81950
628.0522, 28.68733
628.5344, 28.36688
629.0165, 27.72147
629.4986, 27.08022
629.9807, 27.26639
630.4628, 28.12213
630.9449, 28.78968
631.4271, 28.65337
631.9092, 28.24178
632.3913, 28.17869
632.8734, 28.39771
633.3555, 28.46590
633.8376, 27.90102
634.3198, 27.32652
634.8019, 27.16593
635.2840, 27.56108
635.7661, 27.83105
636.2482, 27.72806
636.7303, 27.62645
637.2125, 27.81167
637.6946, 28.44915
638.1767, 28.89359
638.6588, 29.09804
639.1409, 29.14535
639.6230, 29.12957
640.1052, 29.05271
640.5873, 28.92764
641.0694, 28.72945
641.5515, 28.53593
642.0336, 28.42274
642.5157, 28.40783
642.9979, 28.54471
643.4800, 28.99219
643.9621, 29.49031
644.4442, 29.92179
644.9263, 30.26568
645.4084, 30.41423
645.8906, 30.18577
646.3727, 29.87900
646.8548, 29.60958
647.3369, 29.37400
647.8190, 29.24369
648.3011, 29.32187
648.7833, 29.35205
649.2654, 29.03512
649.7475, 28.30479
650.2296, 28.08760
650.7117, 28.51131
651.1938, 29.14501
651.6760, 29.52338
652.1581, 29.67758
652.6402, 29.65334
653.1223, 29.35222
653.6044, 29.11158
654.0865, 29.34751
654.5687, 29.84725
655.0508, 30.20163
655.5329, 30.29944
656.0150, 30.18634
656.4971, 29.71656
656.9792, 28.99566
657.4614, 28.56882
657.9435, 28.66744
658.4256, 28.75692
658.9077, 28.60484
659.3898, 28.23285
659.8719, 28.25048
660.3541, 28.74389
660.8362, 29.22162
661.3183, 29.23461
661.8004, 28.93210
662.2825, 28.95865
662.7646, 29.36602
663.2468, 29.80622
663.7289, 29.98161
664.2110, 30.00167
664.6931, 30.02076
665.1752, 30.11564
665.6573, 30.09729
666.1395, 29.72505
666.6216, 29.25426
667.1037, 28.99906
667.5858, 29.27114
668.0679, 29.41744
668.5500, 29.33130
669.0322, 29.11647
669.5143, 29.02141
669.9964, 29.08666
670.4785, 29.06654
670.9606, 28.86462
671.4427, 28.54037
671.9249, 28.14099
