##NAMES=Claraite
##RRUFFID=R110020
##IDEAL CHEMISTRY=(Cu^2+^,Zn^2+^)_15_(CO_3_)_4_(As^5+^O_4_)_2_(S^6+^O_4_)(OH)_14_&#183;7H_2_O
##LOCALITY=Sommerau District, Brixlegg - Rattenberg, Brixlegg - Schwaz area, Inn valley, North Tyrol, Tyrol, Austria
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Light blue massive coating with scattered isolated crystals, associated with dark blue azurite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R110020
566.0063, 1.551244
566.4885, 2.695102
566.9706, 3.635448
567.4527, 4.065498
567.9348, 4.362549
568.4169, 4.924150
568.8990, 5.671408
569.3812, 5.991523
569.8633, 5.206261
570.3454, 3.992452
570.8275, 3.427230
571.3096, 3.463169
571.7917, 3.195350
572.2739, 2.031671
572.7560, 0.7008160
573.2381, 0.6696400
573.7202, 2.394441
574.2023, 3.530531
574.6844, 3.376376
575.1666, 2.993485
575.6487, 3.176090
576.1308, 3.747167
576.6129, 4.067925
577.0950, 3.794098
577.5771, 3.225990
578.0593, 3.066966
578.5414, 3.559508
579.0235, 3.797419
579.5056, 3.731489
579.9877, 3.231533
580.4698, 2.046223
580.9520, 0.6546720
581.4341, 4.9493000E-02
581.9162, 0.5127140
582.3983, 1.672439
582.8804, 2.770284
583.3625, 3.768689
583.8447, 4.224935
584.3268, 4.100023
584.8089, 3.255034
585.2910, 0.7430530
585.7731, 3.100007
586.2552, 4.641281
586.7374, 1.467542
587.2195, 1.869459
587.7016, 2.794827
588.1837, 2.335586
588.6658, 2.319596
589.1479, 3.302159
589.6301, 4.726607
590.1122, 5.996901
590.5943, 7.106551
591.0764, 7.696538
591.5585, 7.830547
592.0406, 7.364181
592.5228, 5.651966
593.0049, 3.611375
593.4870, 2.301655
593.9691, 1.987828
594.4512, 2.192542
594.9333, 2.658059
595.4155, 3.292596
595.8976, 3.659709
596.3797, 3.685975
596.8618, 3.660166
597.3439, 3.689659
597.8260, 3.808461
598.3082, 4.187021
598.7903, 5.247311
599.2724, 5.505148
599.7545, 3.721226
600.2366, 1.370720
600.7188, 0.2379050
601.2009, 0.8711420
601.6830, 0.2958690
602.1651, 1.841079
602.6472, 4.829036
603.1293, 5.902457
