##NAMES=Aminoffite
##RRUFFID=R100055
##IDEAL CHEMISTRY=Ca_3_(BeOH)_2_Si_3_O_10_
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Colorless transparent tetragonal pyramids with basal terminations, co-type sample from Harvard
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100055
606.8391, 9.339844
607.3212, 9.752441
607.8033, 13.76538
608.2855, 17.69946
608.7676, 18.76709
609.2497, 18.00684
609.7318, 16.15112
610.2139, 12.89038
610.6960, 10.86133
611.1782, 13.09082
611.6603, 16.61475
612.1424, 18.34424
612.6245, 15.59790
613.1066, 13.29785
613.5887, 11.98901
614.0709, 11.56860
614.5530, 12.22632
615.0351, 15.20215
615.5172, 16.38379
615.9993, 13.95288
616.4814, 8.849121
616.9636, 6.386963
617.4457, 6.751709
617.9278, 7.727051
618.4099, 8.264648
618.8920, 8.300781
619.3741, 7.461914
619.8563, 5.738770
620.3384, 4.061035
620.8205, 2.935059
621.3026, 2.413818
621.7847, 2.476074
622.2668, 3.018066
622.7490, 4.505859
623.2311, 9.394531
623.7132, 14.57446
624.1953, 16.10742
624.6774, 8.171631
625.1595, 2.937012
625.6417, 3.240967
626.1238, 6.997559
626.6059, 8.043457
627.0880, 5.386230
627.5701, 3.110352
628.0522, 2.871338
628.5344, 4.228271
629.0165, 4.544678
629.4986, 3.789063
629.9807, 3.916748
630.4628, 8.387939
630.9449, 14.07275
631.4271, 14.11377
631.9092, 7.771240
632.3913, 2.019043
632.8734, 2.764893
633.3555, 6.265869
633.8376, 8.630127
634.3198, 7.910889
634.8019, 7.964844
635.2840, 11.51904
635.7661, 15.72754
636.2482, 16.62988
636.7303, 11.62183
637.2125, 7.519287
637.6946, 5.203369
638.1767, 4.397705
638.6588, 4.836426
639.1409, 6.896484
639.6230, 8.016113
640.1052, 7.007568
640.5873, 4.496338
641.0694, 1.883301
641.5515, 0.7622070
642.0336, 2.746826
642.5157, 3.084229
642.9979, 2.675537
643.4800, 2.395996
643.9621, 2.246094
644.4442, 2.791016
644.9263, 6.160400
645.4084, 9.192383
645.8906, 9.249756
646.3727, 4.288330
646.8548, 0.6813960
647.3369, 6.375732
647.8190, 11.10938
648.3011, 12.39233
648.7833, 9.028320
649.2654, 6.103027
649.7475, 3.926270
650.2296, 3.015137
650.7117, 5.427002
651.1938, 10.86499
651.6760, 15.33813
652.1581, 17.14575
652.6402, 17.25586
653.1223, 16.55737
653.6044, 15.25439
654.0865, 14.43652
654.5687, 15.77905
655.0508, 17.03394
655.5329, 16.84033
656.0150, 15.05737
656.4971, 12.32520
656.9792, 5.722900
657.4614, 0.8574220
657.9435, 1.319092
658.4256, 9.592041
658.9077, 14.19824
659.3898, 14.09326
659.8719, 12.15332
660.3541, 11.36426
660.8362, 11.64575
661.3183, 10.98413
661.8004, 8.779785
662.2825, 6.387939
662.7646, 5.873291
663.2468, 6.518066
663.7289, 6.515137
664.2110, 4.375732
664.6931, 2.442627
665.1752, 2.783936
665.6573, 4.630127
666.1395, 6.182373
666.6216, 6.987061
667.1037, 7.355469
667.5858, 7.290283
668.0679, 6.862305
668.5500, 6.141602
669.0322, 4.582275
669.5143, 3.933838
669.9964, 5.436523
670.4785, 8.839111
670.9606, 10.55640
671.4427, 10.46606
671.9249, 9.886475
672.4070, 9.502197
672.8891, 9.516846
673.3712, 10.54224
673.8533, 12.77173
674.3354, 14.57324
674.8176, 15.02368
675.2997, 14.42212
675.7818, 12.86523
676.2639, 9.317139
676.7460, 6.918945
677.2281, 7.449463
677.7103, 9.047363
678.1924, 9.386719
678.6745, 7.751953
679.1566, 6.355957
679.6387, 5.360352
680.1208, 4.869629
680.6030, 5.437256
681.0851, 6.982178
681.5672, 8.480713
682.0493, 9.600098
682.5314, 10.22583
683.0135, 9.544922
683.4957, 8.037598
683.9778, 7.433105
684.4599, 10.08960
684.9420, 12.78687
685.4241, 13.40723
685.9063, 11.93970
686.3884, 9.995605
686.8705, 6.403564
687.3526, 3.905273
687.8347, 4.184326
688.3168, 7.920410
688.7990, 10.01367
689.2811, 10.25000
689.7632, 9.564697
690.2453, 8.299561
690.7274, 6.624512
691.2095, 5.970459
691.6917, 6.425781
692.1738, 7.738037
