##NAMES=Lavinskyite
##RRUFFID=R141115
##IDEAL CHEMISTRY=K(LiCu^2+^)Cu^2+^_6_(Si_4_O_11_)_2_(OH)_4_
##LOCALITY=Wessels mine, South Africa
##OWNER=RRUFF
##SOURCE=Jaco and Tania Janse van Nieuwenhuizen
##DESCRIPTION=Greenish blue or light blue platy crystals, associated with dark blue scottyite (R141116) and blue wesselsite (with cleavage)
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R141115
##MEASURED CHEMISTRY=(K_0.98_Sr_0.01_)_Σ=0.99_(Li_1.25_Cu_0.71_Na_0.08_)_Σ=2.04_Cu_6_(Si_4.03_O_11_)_2_(OH)_4_; (Lavinskyite is the dark grey material in the image, associated with light grey R141116 scottyite)
326.3506, 7.493919
326.8327, 6.802637
327.3148, 5.189257
327.7969, 4.667330
328.2791, 5.427197
328.7612, 5.888281
329.2433, 5.307493
329.7254, 4.508432
330.2075, 4.828688
330.6896, 6.464890
331.1718, 7.699833
331.6539, 6.321890
332.1360, 2.069054
332.6181, 6.7408003E-02
333.1002, 2.321501
333.5823, 5.499481
334.0645, 7.232668
334.5466, 7.518684
335.0287, 7.649689
335.5108, 8.663181
335.9929, 10.25373
336.4750, 10.35814
336.9572, 7.832930
337.4393, 5.211096
337.9214, 3.177694
338.4035, 1.845249
338.8856, 1.690718
339.3677, 3.143595
339.8499, 5.416710
340.3320, 6.286884
340.8141, 5.047581
341.2962, 3.940594
341.7783, 3.258280
342.2604, 2.978394
342.7426, 3.146671
343.2247, 3.771208
343.7068, 4.680462
344.1889, 5.719236
344.6710, 7.111406
345.1531, 7.868641
345.6353, 7.740452
346.1174, 7.136019
346.5995, 6.216997
347.0816, 5.076099
347.5637, 3.885555
348.0458, 2.725647
348.5280, 1.573362
349.0101, 1.311680
349.4922, 2.714016
349.9743, 4.067041
350.4564, 4.525158
350.9385, 4.347807
351.4207, 4.266678
351.9028, 4.739622
352.3849, 5.559425
352.8670, 5.825964
353.3491, 4.470600
353.8312, 3.892113
354.3134, 5.019217
354.7955, 6.819086
355.2776, 8.252600
355.7597, 8.925875
356.2418, 8.794046
356.7239, 7.712067
357.2061, 4.581238
357.6882, 2.819504
358.1703, 3.504023
358.6524, 4.607237
359.1345, 4.796862
359.6166, 3.953522
360.0987, 2.653675
360.5808, 1.352419
361.0630, 3.7177999E-02
361.5451, 0.5181690
362.0272, 0.6370160
362.5093, 1.877224
362.9914, 2.751575
363.4735, 3.321751
363.9557, 3.839378
364.4378, 4.490158
364.9199, 5.132683
365.4020, 5.134226
365.8841, 4.054239
366.3662, 2.863140
366.8484, 1.524929
367.3305, 0.2377740
367.8126, 1.011593
368.2947, 2.173462
368.7768, 2.848866
369.2589, 2.212498
369.7411, 0.4716000
370.2232, 2.444218
370.7053, 3.526758
371.1874, 4.009098
371.6695, 3.727552
372.1516, 2.896046
372.6338, 2.196026
373.1159, 2.260635
373.5980, 3.061485
374.0801, 3.937429
374.5622, 5.814869
375.0443, 6.525793
375.5265, 4.316244
376.0086, 0.7777710
376.4907, 1.668392
376.9728, 1.829708
377.4549, 0.3016740
377.9370, 1.963005
378.4192, 5.692522
378.9013, 8.052778
379.3834, 7.294569
379.8655, 5.477530
380.3476, 4.152336
380.8297, 3.620110
381.3119, 3.081951
381.7940, 1.111355
382.2761, 2.231327
382.7582, 3.270458
383.2403, 0.3387870
383.7224, 4.188110
384.2046, 5.131477
384.6867, 3.743103
385.1688, 2.211590
385.6509, 1.858650
386.1330, 2.159813
386.6151, 1.793686
387.0973, 0.5347710
387.5794, 0.5867160
388.0615, 1.005135
388.5436, 0.8937910
389.0257, 0.4146350
389.5078, 0.5128480
389.9900, 1.589291
390.4721, 2.822399
390.9542, 4.143574
391.4363, 4.641232
391.9184, 3.365032
392.4005, 1.934357
392.8827, 3.080536
393.3648, 7.071697
393.8469, 9.902571
394.3290, 9.099043
394.8111, 6.454315
395.2932, 4.722870
395.7754, 4.295498
396.2575, 4.535107
396.7396, 5.067230
397.2217, 5.864994
397.7038, 6.506916
398.1859, 7.324394
398.6681, 7.662174
399.1501, 6.650974
399.6323, 4.688271
400.1144, 3.244930
400.5965, 3.143295
