##NAMES=Gadolinite-(Y)
##RRUFFID=R080129
##IDEAL CHEMISTRY=Fe^2+^Be_2_Y^3+^_2_(SiO_4_)_2_O_2_
##LOCALITY=Ytterøya mine, Røvika, Ytterøya (island), Levanger, Nord-Trøndelag, Norway
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Reddish-brown fragment from metamict sample R070340, after heating at T = 1000 C for 23 hours
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R080129
686.7870, 56.88220
687.2692, 55.28467
687.7513, 53.88367
688.2334, 52.77930
688.7155, 51.84436
689.1976, 51.12402
689.6797, 50.47876
690.1619, 49.69446
690.6440, 48.67816
691.1261, 47.45648
691.6082, 46.05908
692.0903, 44.55621
692.5724, 43.31256
693.0546, 42.55811
693.5367, 41.65240
694.0188, 40.11047
694.5009, 38.51990
694.9830, 37.45270
695.4651, 36.88452
695.9473, 36.41101
696.4294, 36.14319
696.9116, 35.70380
697.3937, 34.67932
697.8758, 33.33960
698.3579, 32.09241
698.8400, 31.06970
699.3221, 30.42120
699.8043, 30.39703
700.2864, 30.83807
700.7685, 30.47607
701.2506, 28.63428
701.7327, 27.41840
702.2148, 27.73138
702.6970, 28.39551
703.1791, 28.83722
703.6612, 28.99988
704.1433, 28.81677
