##NAMES=Katoite
##RRUFFID=R070646
##IDEAL CHEMISTRY=Ca_3_Al_2_(OH)_12_
##LOCALITY=Synthetic
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=White to colorless powder mixed with small trapezohedral crystals, sample from Lager et al (2002) study.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070646
506.4066, 555.2173
506.8888, 565.7427
507.3709, 575.9542
507.8530, 585.6964
508.3351, 594.5948
508.8172, 604.5130
509.2993, 615.9479
509.7815, 628.4153
510.2636, 640.7374
510.7457, 653.0098
511.2278, 665.4494
511.7099, 678.2786
512.1920, 691.3019
512.6741, 704.5206
513.1563, 717.9346
513.6384, 731.0287
514.1205, 742.8005
514.6026, 754.1391
515.0847, 766.4772
515.5668, 780.5334
516.0490, 794.7670
516.5311, 808.1088
517.0132, 820.9387
517.4953, 834.0129
517.9774, 847.8550
518.4595, 861.7775
518.9417, 875.3303
519.4238, 888.5179
519.9059, 902.3277
520.3880, 918.6448
520.8701, 934.3327
521.3522, 947.5908
521.8344, 956.2800
522.3165, 966.9081
522.7986, 979.9173
523.2807, 994.6497
523.7628, 1010.202
524.2449, 1027.253
524.7271, 1042.252
525.2092, 1053.626
525.6913, 1062.345
526.1734, 1072.019
526.6555, 1082.656
527.1376, 1094.259
527.6198, 1108.087
528.1019, 1122.616
528.5840, 1134.265
529.0661, 1142.405
529.5482, 1149.176
530.0303, 1156.533
530.5125, 1163.749
530.9946, 1169.865
531.4767, 1174.289
531.9588, 1177.481
532.4409, 1178.970
532.9230, 1179.294
533.4052, 1180.086
533.8873, 1183.566
534.3694, 1186.143
534.8515, 1186.137
535.3336, 1183.061
535.8157, 1179.384
536.2979, 1175.821
536.7800, 1171.099
537.2621, 1164.237
537.7442, 1154.535
538.2263, 1144.502
538.7084, 1134.381
539.1906, 1123.725
539.6727, 1111.979
540.1548, 1099.057
540.6369, 1084.609
541.1190, 1067.778
541.6011, 1049.560
542.0833, 1034.188
542.5654, 1021.466
543.0475, 1007.684
543.5296, 989.4520
544.0117, 968.5565
544.4938, 947.7286
544.9760, 927.0829
545.4581, 906.4922
545.9402, 886.1125
546.4223, 865.5732
546.9044, 844.4128
547.3865, 821.9590
547.8687, 799.4596
548.3508, 777.7225
548.8329, 756.3135
549.3150, 733.8663
549.7971, 708.3183
550.2792, 683.4711
550.7614, 660.7388
551.2435, 640.6955
551.7256, 619.7253
552.2077, 597.4319
552.6898, 575.2401
553.1719, 554.6278
553.6541, 535.9084
554.1362, 515.7318
554.6183, 493.3246
555.1004, 470.1943
555.5825, 449.1973
556.0646, 430.0422
556.5468, 412.2640
557.0289, 396.3375
557.5110, 381.0149
557.9931, 364.0085
558.4752, 345.6715
558.9573, 328.1606
559.4395, 312.5823
559.9216, 298.3223
560.4037, 284.9130
560.8858, 272.4442
561.3679, 259.8352
561.8500, 245.6317
562.3322, 231.6799
562.8143, 219.3638
563.2964, 210.9836
563.7785, 201.8109
564.2606, 190.6686
564.7427, 178.8940
565.2249, 169.3354
565.7070, 163.3090
566.1891, 156.8556
566.6712, 148.4908
567.1533, 138.7676
567.6354, 130.5422
568.1176, 123.9577
568.5997, 118.0634
569.0818, 112.4311
569.5639, 106.9517
570.0460, 100.7050
570.5281, 93.64459
571.0103, 86.72028
571.4924, 80.86755
571.9745, 75.87695
572.4566, 71.28613
572.9387, 67.18646
