##NAMES=Zincolibethenite
##RRUFFID=R060763
##IDEAL CHEMISTRY=Cu^2+^Zn^2+^P^5+^O_4_(OH)
##LOCALITY=Kabwe mine, Kabwe, Zambia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Pale greenish-blue botryoidal groups of radiating crystals, associated with colorless tarbuttite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R060763
583.8007, 4.478775
584.2828, 3.688004
584.7650, 2.107437
585.2471, 0.7679140
585.7292, 0.4462890
586.2113, 0.9999240
586.6934, 1.869324
587.1755, 2.870514
587.6577, 3.664352
588.1398, 3.185562
588.6219, 1.153305
589.1040, 0.2047730
589.5861, 3.9886001E-02
590.0682, 0.6493070
590.5504, 0.8430630
591.0325, 0.6444400
591.5146, 0.7843780
591.9967, 1.977936
592.4788, 3.206696
592.9609, 3.651520
593.4431, 3.425568
593.9252, 2.697784
594.4073, 1.549026
594.8894, 0.2822420
595.3715, 0.7935030
595.8536, 1.862000
596.3358, 1.794235
596.8179, 0.9349370
597.3000, 2.962921
597.7821, 2.465744
598.2642, 0.7790070
598.7463, 0.1180420
599.2285, 0.4463650
599.7106, 1.443710
600.1927, 1.440948
600.6748, 0.4989780
601.1569, 0.4516140
601.6390, 1.798370
602.1212, 3.140305
602.6033, 3.737000
603.0854, 3.795563
603.5675, 3.543945
604.0496, 2.953140
604.5317, 2.221725
605.0139, 1.293396
605.4960, 0.3516690
605.9781, 0.3936000
606.4602, 0.8950040
606.9423, 1.066498
607.4244, 0.8449250
607.9066, 0.2414250
608.3887, 0.7302550
608.8708, 3.176941
609.3529, 4.353592
609.8350, 3.146317
610.3171, 1.506134
610.7993, 0.5249630
611.2814, 0.3679960
611.7635, 1.047195
612.2456, 2.892410
612.7277, 5.003922
613.2098, 5.350708
613.6920, 3.773575
614.1741, 2.239243
614.6562, 0.9386440
615.1383, 0.2095950
615.6204, 0.8412930
616.1025, 2.540085
616.5847, 3.449265
617.0668, 2.648239
617.5489, 1.473724
618.0310, 0.3666230
618.5131, 0.3805540
618.9952, 3.6362000E-02
619.4774, 1.809113
619.9595, 3.833237
620.4416, 4.779907
620.9237, 4.591293
621.4058, 4.292664
621.8879, 3.553757
622.3701, 3.066330
622.8522, 3.162064
623.3343, 3.494965
623.8164, 3.672577
624.2985, 3.635864
624.7806, 3.698196
625.2628, 4.364609
625.7448, 5.286423
626.2269, 5.405075
626.7090, 4.628632
627.1912, 3.852585
627.6733, 3.291763
628.1554, 3.147430
628.6375, 4.108749
629.1196, 6.570328
629.6017, 8.088303
630.0839, 7.760117
630.5660, 6.873886
631.0481, 6.207626
631.5302, 5.711411
632.0123, 4.936035
632.4944, 3.672363
632.9766, 2.618301
633.4587, 3.344635
633.9408, 6.537247
634.4229, 7.944626
634.9050, 6.320145
635.3871, 4.472031
635.8693, 3.300140
636.3514, 2.679047
636.8335, 2.721390
637.3156, 3.595520
637.7977, 4.482498
638.2798, 4.709625
638.7620, 4.599197
639.2441, 4.704849
639.7262, 5.026550
640.2083, 5.418304
640.6904, 5.813583
641.1725, 6.221710
641.6547, 6.690002
642.1368, 7.869949
642.6189, 8.374161
643.1010, 7.477600
643.5831, 6.122101
644.0652, 4.937683
644.5474, 4.121994
645.0295, 3.726730
645.5116, 3.779816
645.9937, 4.268570
646.4758, 5.513687
646.9579, 7.494797
647.4401, 8.420441
647.9222, 7.791046
648.4043, 6.550385
648.8864, 5.215988
649.3685, 3.833328
649.8506, 2.561188
650.3328, 1.019226
650.8149, 0.2036590
651.2970, 1.315918
651.7791, 2.924713
652.2612, 3.001587
652.7433, 1.567215
653.2255, 0.3999630
653.7076, 0.9185030
654.1897, 2.580612
654.6718, 3.079056
655.1539, 1.520081
655.6360, 0.5981750
656.1182, 1.124161
656.6003, 2.000229
657.0824, 2.805435
657.5645, 3.492523
658.0466, 4.046127
658.5287, 4.517319
659.0109, 4.761337
659.4930, 4.455429
659.9751, 3.816391
660.4572, 3.376709
660.9393, 3.244125
661.4214, 3.646881
661.9036, 5.011154
662.3857, 7.158737
662.8678, 8.032883
663.3499, 6.254364
663.8320, 4.833832
664.3141, 4.158722
664.7963, 3.911133
665.2784, 4.047272
665.7605, 4.426056
666.2426, 4.665665
666.7247, 4.530319
667.2068, 4.096222
667.6890, 3.407715
668.1711, 2.527008
668.6532, 1.780853
669.1353, 1.103912
669.6174, 0.9505770
670.0995, 2.200745
670.5817, 4.604095
671.0638, 5.741745
671.5459, 4.440247
672.0280, 3.234344
672.5101, 3.213623
672.9922, 3.528091
673.4744, 2.906662
673.9565, 1.481674
674.4386, 0.8779140
674.9207, 2.612015
