##NAMES=Jimkrieghite
##RRUFFID=R220012
##IDEAL CHEMISTRY=Ca(C_2_H_3_O_3_)^1-^_2_
##LOCALITY=Western end of Pusch Ridge in the Santa Catalina Mountains, north of Tucson, Pima County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Warren Lazar
##DESCRIPTION=Colorless short prismatic or pseudo-cubic crystals, associated with blue lazaraskeite.
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R220012
608.7504, 3.5812002E-02
609.2325, 0.2087710
609.7146, 0.3133470
610.1967, 0.5239720
610.6788, 1.218376
611.1609, 1.786240
611.6431, 1.534706
612.1252, 0.6397400
612.6073, 0.2427600
613.0894, 0.7790830
613.5715, 1.026756
614.0536, 1.099617
614.5358, 0.9683990
615.0179, 0.7296450
615.5000, 0.1095580
615.9821, 0.3442840
616.4642, 0.1935960
616.9464, 0.2528530
617.4285, 0.3326720
617.9106, 0.3098680
618.3927, 1.001945
618.8748, 0.8338620
619.3569, 9.1549996E-03
619.8391, 0.5357440
620.3212, 0.5637970
620.8033, 0.3537600
621.2854, 5.3099999E-03
621.7675, 0.4421770
622.2496, 0.5712970
622.7318, 0.1792600
623.2139, 0.2327800
623.6960, 0.4029310
624.1781, 0.6004710
624.6602, 1.445633
625.1423, 2.768734
625.6245, 3.386642
626.1066, 2.189396
626.5887, 0.2827380
627.0708, 1.526642
627.5529, 1.003944
628.0350, 0.5518190
628.5172, 0.6901170
628.9993, 0.8978500
629.4814, 0.8019330
629.9635, 0.4482730
630.4456, 0.1648250
630.9277, 0.1359940
631.4099, 0.2133410
631.8920, 0.1666110
632.3741, 6.7284003E-02
632.8562, 0.2507320
633.3383, 0.8500750
633.8204, 1.584358
634.3026, 2.138741
