##NAMES=Gaitite
##RRUFFID=R130625
##IDEAL CHEMISTRY=Ca^2+^_2_Zn^2+^(As^5+^O_4_)_2_&#183;2H_2_O
##LOCALITY=Municipio de Pitiquito, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Grey to white tabular or granular crystals, associated with colorless irregular austinite and quartz
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130625
2.978575e+002, 5.041686e+003
2.983396e+002, 5.052305e+003
2.988217e+002, 5.063257e+003
2.993039e+002, 5.074978e+003
2.997860e+002, 5.088140e+003
3.002681e+002, 5.102949e+003
3.007502e+002, 5.118999e+003
3.012323e+002, 5.135935e+003
3.017144e+002, 5.153795e+003
3.021966e+002, 5.171731e+003
3.026787e+002, 5.191403e+003
3.031608e+002, 5.210377e+003
3.036429e+002, 5.225174e+003
3.041250e+002, 5.235024e+003
3.046071e+002, 5.243385e+003
3.050893e+002, 5.254494e+003
3.055714e+002, 5.266409e+003
3.060535e+002, 5.274656e+003
3.065356e+002, 5.280106e+003
3.070177e+002, 5.279464e+003
3.074998e+002, 5.267568e+003
3.079820e+002, 5.244210e+003
3.084641e+002, 5.218041e+003
3.089462e+002, 5.193201e+003
3.094283e+002, 5.169759e+003
3.099104e+002, 5.148109e+003
3.103925e+002, 5.128208e+003
3.108747e+002, 5.110596e+003
3.113568e+002, 5.096595e+003
3.118389e+002, 5.085927e+003
3.123210e+002, 5.076326e+003
3.128031e+002, 5.066359e+003
3.132852e+002, 5.056881e+003
3.137674e+002, 5.048478e+003
3.142495e+002, 5.040049e+003
3.147316e+002, 5.034499e+003
3.152137e+002, 5.035324e+003
3.156958e+002, 5.040729e+003
3.161779e+002, 5.044733e+003
3.166601e+002, 5.042391e+003
3.171422e+002, 5.039292e+003
3.176243e+002, 5.039358e+003
3.181064e+002, 5.044875e+003
3.185885e+002, 5.050049e+003
3.190706e+002, 5.052300e+003
3.195528e+002, 5.052861e+003
3.200349e+002, 5.054158e+003
3.205170e+002, 5.057237e+003
3.209991e+002, 5.060858e+003
3.214812e+002, 5.064899e+003
3.219633e+002, 5.069919e+003
3.224455e+002, 5.073167e+003
3.229276e+002, 5.071979e+003
3.234097e+002, 5.069446e+003
3.238918e+002, 5.069366e+003
3.243739e+002, 5.074607e+003
3.248560e+002, 5.080188e+003
3.253382e+002, 5.084727e+003
3.258203e+002, 5.088041e+003
3.263024e+002, 5.092235e+003
3.267845e+002, 5.099350e+003
3.272666e+002, 5.106484e+003
3.277487e+002, 5.111317e+003
3.282309e+002, 5.109861e+003
3.287130e+002, 5.110785e+003
3.291951e+002, 5.116226e+003
3.296772e+002, 5.125578e+003
3.301593e+002, 5.132575e+003
3.306414e+002, 5.133331e+003
3.311236e+002, 5.135283e+003
3.316057e+002, 5.142781e+003
3.320878e+002, 5.160055e+003
3.325699e+002, 5.175165e+003
3.330520e+002, 5.187079e+003
3.335341e+002, 5.196535e+003
3.340163e+002, 5.205273e+003
3.344984e+002, 5.212260e+003
3.349805e+002, 5.220034e+003
3.354626e+002, 5.229695e+003
3.359447e+002, 5.241540e+003
3.364268e+002, 5.254531e+003
3.369090e+002, 5.269421e+003
3.373911e+002, 5.284934e+003
3.378732e+002, 5.298246e+003
3.383553e+002, 5.308120e+003
3.388374e+002, 5.320385e+003
3.393195e+002, 5.338254e+003
3.398017e+002, 5.361310e+003
3.402838e+002, 5.380013e+003
3.407659e+002, 5.393276e+003
3.412480e+002, 5.405240e+003
3.417301e+002, 5.420257e+003
3.422122e+002, 5.438381e+003
3.426944e+002, 5.457840e+003
3.431765e+002, 5.477677e+003
3.436586e+002, 5.498822e+003
3.441407e+002, 5.524586e+003
3.446228e+002, 5.555132e+003
3.451049e+002, 5.586773e+003
3.455871e+002, 5.616236e+003
3.460692e+002, 5.644176e+003
3.465513e+002, 5.671838e+003
3.470334e+002, 5.698705e+003
3.475155e+002, 5.727063e+003
3.479977e+002, 5.761945e+003
3.484798e+002, 5.802747e+003
3.489619e+002, 5.841896e+003
3.494440e+002, 5.873958e+003
3.499261e+002, 5.901410e+003
3.504082e+002, 5.929903e+003
3.508904e+002, 5.959932e+003
3.513725e+002, 5.989956e+003
3.518546e+002, 6.019242e+003
3.523367e+002, 6.047521e+003
3.528188e+002, 6.074415e+003
3.533009e+002, 6.104292e+003
3.537831e+002, 6.130324e+003
3.542652e+002, 6.141625e+003
3.547473e+002, 6.138779e+003
3.552294e+002, 6.134390e+003
3.557115e+002, 6.138400e+003
3.561936e+002, 6.146135e+003
3.566758e+002, 6.151332e+003
3.571579e+002, 6.150561e+003
3.576400e+002, 6.148887e+003
3.581221e+002, 6.150219e+003
3.586042e+002, 6.153811e+003
3.590863e+002, 6.156953e+003
3.595685e+002, 6.157859e+003
3.600506e+002, 6.158128e+003
3.605327e+002, 6.160124e+003
3.610148e+002, 6.167121e+003
3.614969e+002, 6.168122e+003
3.619790e+002, 6.157165e+003
3.624612e+002, 6.137458e+003
3.629433e+002, 6.114250e+003
3.634254e+002, 6.090142e+003
3.639075e+002, 6.061887e+003
3.643896e+002, 6.027544e+003
3.648717e+002, 5.986461e+003
3.653539e+002, 5.943097e+003
3.658360e+002, 5.896380e+003
3.663181e+002, 5.848798e+003
3.668002e+002, 5.801528e+003
3.672823e+002, 5.747438e+003
3.677644e+002, 5.701603e+003
3.682466e+002, 5.668657e+003
3.687287e+002, 5.647586e+003
3.692108e+002, 5.626925e+003
3.696929e+002, 5.604827e+003
3.701750e+002, 5.584551e+003
3.706571e+002, 5.568063e+003
3.711393e+002, 5.557157e+003
3.716214e+002, 5.546705e+003
3.721035e+002, 5.535943e+003
3.725856e+002, 5.525815e+003
3.730677e+002, 5.518748e+003
3.735498e+002, 5.515767e+003
3.740320e+002, 5.513864e+003
3.745141e+002, 5.512077e+003
3.749962e+002, 5.510386e+003
3.754783e+002, 5.509049e+003
3.759604e+002, 5.507889e+003
3.764425e+002, 5.507407e+003
3.769247e+002, 5.508120e+003
3.774068e+002, 5.509979e+003
3.778889e+002, 5.513221e+003
3.783710e+002, 5.517815e+003
3.788531e+002, 5.523788e+003
3.793352e+002, 5.531946e+003
3.798174e+002, 5.542491e+003
3.802995e+002, 5.553323e+003
3.807816e+002, 5.562075e+003
3.812637e+002, 5.569223e+003
3.817458e+002, 5.578058e+003
3.822279e+002, 5.589302e+003
3.827101e+002, 5.602148e+003
3.831922e+002, 5.615125e+003
3.836743e+002, 5.628581e+003
3.841564e+002, 5.643987e+003
3.846385e+002, 5.663957e+003
3.851206e+002, 5.686242e+003
3.856028e+002, 5.706531e+003
3.860849e+002, 5.724595e+003
3.865670e+002, 5.741219e+003
3.870491e+002, 5.759425e+003
3.875312e+002, 5.776689e+003
3.880133e+002, 5.788174e+003
3.884955e+002, 5.791183e+003
3.889776e+002, 5.788413e+003
3.894597e+002, 5.783013e+003
3.899418e+002, 5.774407e+003
3.904239e+002, 5.759213e+003
3.909060e+002, 5.730086e+003
3.913882e+002, 5.696188e+003
3.918703e+002, 5.665875e+003
3.923524e+002, 5.641117e+003
3.928345e+002, 5.618919e+003
3.933166e+002, 5.597256e+003
3.937987e+002, 5.577032e+003
3.942809e+002, 5.560389e+003
3.947630e+002, 5.551432e+003
3.952451e+002, 5.543088e+003
3.957272e+002, 5.531127e+003
3.962093e+002, 5.514130e+003
3.966914e+002, 5.500990e+003
3.971736e+002, 5.495130e+003
3.976557e+002, 5.493040e+003
3.981378e+002, 5.491477e+003
3.986199e+002, 5.490542e+003
3.991020e+002, 5.489565e+003
3.995841e+002, 5.488896e+003
4.000663e+002, 5.488276e+003
4.005484e+002, 5.485962e+003
4.010305e+002, 5.479845e+003
4.015126e+002, 5.474334e+003
4.019947e+002, 5.471839e+003
4.024768e+002, 5.474339e+003
4.029590e+002, 5.475363e+003
4.034411e+002, 5.474475e+003
4.039232e+002, 5.472596e+003
4.044053e+002, 5.471496e+003
4.048874e+002, 5.471801e+003
4.053695e+002, 5.471212e+003
4.058517e+002, 5.468373e+003
4.063338e+002, 5.463646e+003
4.068159e+002, 5.461506e+003
4.072980e+002, 5.462177e+003
4.077801e+002, 5.464792e+003
4.082622e+002, 5.469138e+003
4.087444e+002, 5.475111e+003
4.092265e+002, 5.480365e+003
4.097086e+002, 5.484237e+003
4.101907e+002, 5.487312e+003
4.106728e+002, 5.491281e+003
4.111549e+002, 5.495927e+003
4.116371e+002, 5.499271e+003
4.121192e+002, 5.498204e+003
4.126013e+002, 5.495123e+003
4.130834e+002, 5.496212e+003
4.135655e+002, 5.502442e+003
4.140476e+002, 5.508588e+003
4.145298e+002, 5.509119e+003
4.150119e+002, 5.505888e+003
4.154940e+002, 5.502619e+003
4.159761e+002, 5.498654e+003
4.164582e+002, 5.496950e+003
4.169403e+002, 5.502867e+003
4.174225e+002, 5.514898e+003
4.179046e+002, 5.523524e+003
4.183867e+002, 5.519922e+003
4.188688e+002, 5.512397e+003
4.193509e+002, 5.507831e+003
4.198330e+002, 5.508343e+003
4.203152e+002, 5.510325e+003
4.207973e+002, 5.513160e+003
4.212794e+002, 5.516516e+003
4.217615e+002, 5.519771e+003
4.222436e+002, 5.522733e+003
4.227257e+002, 5.525695e+003
4.232079e+002, 5.528982e+003
4.236900e+002, 5.532726e+003
4.241721e+002, 5.535833e+003
4.246542e+002, 5.535772e+003
4.251363e+002, 5.536561e+003
4.256184e+002, 5.541336e+003
4.261006e+002, 5.553802e+003
4.265827e+002, 5.564231e+003
4.270648e+002, 5.570916e+003
4.275469e+002, 5.575003e+003
4.280290e+002, 5.580478e+003
4.285111e+002, 5.588005e+003
4.289933e+002, 5.595321e+003
4.294754e+002, 5.600641e+003
4.299575e+002, 5.603173e+003
4.304396e+002, 5.609980e+003
4.309217e+002, 5.622654e+003
4.314038e+002, 5.636099e+003
4.318860e+002, 5.642742e+003
4.323681e+002, 5.642302e+003
4.328502e+002, 5.643198e+003
4.333323e+002, 5.647829e+003
4.338144e+002, 5.655291e+003
4.342965e+002, 5.663536e+003
4.347787e+002, 5.672630e+003
4.352608e+002, 5.681852e+003
4.357429e+002, 5.690731e+003
4.362250e+002, 5.699468e+003
4.367071e+002, 5.707943e+003
4.371892e+002, 5.715773e+003
4.376714e+002, 5.725376e+003
4.381535e+002, 5.740573e+003
4.386356e+002, 5.759469e+003
4.391177e+002, 5.777729e+003
4.395998e+002, 5.792466e+003
4.400819e+002, 5.806354e+003
4.405641e+002, 5.820790e+003
4.410462e+002, 5.835894e+003
4.415283e+002, 5.853208e+003
4.420104e+002, 5.874433e+003
4.424925e+002, 5.897502e+003
4.429746e+002, 5.920440e+003
4.434568e+002, 5.943080e+003
4.439389e+002, 5.965236e+003
4.444210e+002, 5.986771e+003
4.449031e+002, 6.007745e+003
4.453852e+002, 6.028391e+003
4.458673e+002, 6.050714e+003
4.463495e+002, 6.070617e+003
4.468316e+002, 6.086470e+003
4.473137e+002, 6.097730e+003
4.477958e+002, 6.109155e+003
4.482779e+002, 6.121066e+003
4.487600e+002, 6.132908e+003
4.492422e+002, 6.144241e+003
4.497243e+002, 6.155050e+003
4.502064e+002, 6.165541e+003
4.506885e+002, 6.175447e+003
4.511706e+002, 6.185365e+003
4.516527e+002, 6.196281e+003
4.521349e+002, 6.207708e+003
