##NAMES=Moorhouseite
##RRUFFID=R130745
##IDEAL CHEMISTRY=Co^2+^S^6+^O_4_&#183;6H_2_O
##LOCALITY=Bou Azer, Tazenakht, Ouarzazate Province, Souss-Massa-Draâ Region, Morocco
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Light-pinkish fine grains, associated with pink or dark pink spherocobaltite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130745
430.9217, 18.69183
431.4038, 17.42944
431.8860, 16.63531
432.3681, 16.36273
432.8502, 16.35223
433.3323, 16.69995
433.8144, 17.12457
434.2965, 16.64014
434.7787, 15.27557
435.2608, 14.26697
435.7429, 15.08978
436.2250, 16.86395
436.7071, 17.36365
437.1892, 16.19904
437.6714, 14.70172
438.1535, 14.14789
438.6356, 14.27319
439.1177, 14.54797
439.5998, 15.02441
440.0819, 15.41333
440.5641, 15.13556
441.0462, 14.24750
441.5283, 13.86237
442.0104, 14.97803
442.4925, 16.73035
442.9746, 18.38574
443.4568, 19.77893
443.9389, 21.08966
444.4210, 22.48724
444.9031, 23.75732
445.3852, 24.50812
445.8673, 23.96338
446.3495, 23.58490
446.8316, 23.85126
447.3137, 24.88995
447.7958, 25.75891
448.2779, 26.27399
448.7600, 26.79132
449.2422, 27.55206
449.7243, 28.58362
450.2064, 29.87469
450.6885, 31.82501
451.1706, 33.87689
451.6527, 34.22089
452.1349, 32.32892
452.6170, 30.60364
453.0991, 30.20282
453.5812, 31.06439
454.0633, 31.71063
454.5454, 32.12762
455.0276, 32.40210
455.5097, 32.63702
455.9918, 32.80963
456.4739, 32.84644
456.9560, 32.86151
457.4381, 32.53290
457.9203, 30.78290
458.4024, 28.00928
458.8845, 26.02777
459.3666, 27.16632
459.8488, 29.16559
460.3309, 28.77631
460.8130, 25.51715
461.2951, 22.69934
461.7772, 23.37396
462.2593, 25.56976
462.7415, 26.96204
463.2236, 26.32343
463.7057, 25.22925
464.1878, 23.86847
464.6699, 22.46106
465.1520, 21.75562
465.6342, 22.40613
466.1163, 23.44513
466.5984, 24.49469
467.0805, 25.51581
467.5626, 26.58881
468.0447, 27.94580
468.5269, 29.21417
469.0090, 29.98340
469.4911, 29.87207
469.9732, 29.97168
470.4553, 30.46442
470.9374, 31.27856
471.4196, 32.25720
471.9017, 33.50177
472.3838, 34.41290
472.8659, 34.40204
473.3480, 33.46204
473.8301, 33.71869
474.3123, 35.42261
474.7944, 37.43604
475.2765, 38.08685
475.7586, 37.70044
476.2407, 38.05420
476.7228, 40.02612
477.2050, 42.64191
477.6871, 44.40131
478.1692, 45.44550
478.6513, 46.38977
479.1334, 47.86285
479.6155, 49.33246
480.0977, 50.01953
480.5798, 49.61188
481.0619, 49.66632
481.5440, 51.70532
482.0261, 54.64313
482.5082, 57.23077
482.9904, 59.16602
483.4725, 60.63452
483.9546, 61.60638
484.4367, 62.09253
484.9188, 62.39465
485.4009, 62.38513
485.8831, 62.47717
486.3652, 62.75488
486.8473, 63.11176
487.3294, 63.41187
487.8115, 63.59271
488.2936, 63.85522
488.7758, 64.46295
489.2579, 65.65771
489.7400, 66.33069
490.2221, 66.09760
