##NAMES=Gaitite
##RRUFFID=R130625
##IDEAL CHEMISTRY=Ca^2+^_2_Zn^2+^(As^5+^O_4_)_2_&#183;2H_2_O
##LOCALITY=Municipio de Pitiquito, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Grey to white tabular or granular crystals, associated with colorless irregular austinite and quartz
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130625
433.7422, 48.78418
434.2243, 51.27557
434.7064, 54.29901
435.1885, 57.63782
435.6706, 61.75397
436.1527, 67.35681
436.6349, 74.56769
437.1170, 82.52740
437.5991, 90.19879
438.0812, 97.78870
438.5633, 104.2689
439.0454, 107.2921
439.5276, 111.3668
440.0097, 118.5527
440.4918, 128.2200
440.9739, 138.8408
441.4560, 149.5879
441.9381, 160.4389
442.4203, 171.5046
442.9024, 182.8357
443.3845, 194.1334
443.8666, 205.7104
444.3487, 216.9823
444.8308, 227.6055
445.3130, 237.4912
445.7951, 246.5784
446.2772, 255.0072
446.7593, 262.6663
447.2414, 269.2023
447.7235, 275.3394
448.2057, 278.6716
448.6878, 275.2787
449.1699, 267.6328
449.6520, 261.4216
450.1341, 258.5837
450.6162, 257.2479
451.0984, 255.4682
451.5805, 253.4567
452.0626, 252.8525
452.5447, 254.3907
453.0268, 257.5627
453.5089, 261.5287
453.9911, 266.0521
454.4732, 271.5262
454.9553, 278.4775
455.4374, 286.1945
455.9195, 294.4004
456.4016, 302.9438
456.8838, 310.9983
457.3659, 318.0812
457.8480, 324.0153
458.3301, 327.1534
458.8122, 327.4253
459.2943, 325.5345
459.7765, 322.1387
460.2586, 316.5625
460.7407, 307.4746
461.2228, 294.6107
461.7049, 279.5085
462.1870, 264.1344
462.6692, 248.5280
463.1513, 232.7103
463.6334, 216.3949
464.1155, 200.4667
464.5976, 184.5546
465.0797, 169.0916
465.5619, 154.7972
466.0440, 142.2526
466.5261, 131.1745
467.0082, 120.9601
467.4903, 111.6635
467.9724, 103.0891
468.4546, 95.25977
468.9367, 88.09344
469.4188, 81.54303
469.9009, 75.53094
470.3830, 70.18561
470.8651, 66.27283
471.3473, 63.20178
471.8294, 58.30310
472.3115, 50.62891
472.7936, 43.52521
473.2757, 39.70844
473.7578, 38.07184
474.2400, 36.68701
474.7221, 35.51154
475.2042, 34.06708
475.6863, 31.77350
476.1684, 29.04279
476.6505, 27.14557
477.1327, 26.64819
477.6148, 26.29211
478.0969, 24.18445
478.5790, 19.98401
479.0611, 16.91229
479.5432, 15.98376
480.0254, 15.69556
480.5075, 15.18225
480.9896, 14.43585
481.4717, 13.65546
481.9538, 13.08258
482.4359, 12.56018
482.9181, 11.74908
483.4002, 9.815552
483.8823, 8.850769
484.3644, 9.307007
484.8465, 10.37360
485.3286, 12.00977
485.8108, 13.83466
486.2929, 14.69592
486.7750, 13.38257
487.2571, 10.26459
487.7392, 8.559082
488.2213, 8.845337
488.7035, 9.665649
489.1856, 11.06793
489.6677, 12.49127
490.1498, 13.31378
490.6319, 13.38293
491.1140, 13.14642
491.5962, 13.24371
492.0783, 13.54285
492.5604, 12.71552
493.0425, 9.840576
493.5246, 7.397949
494.0067, 8.181396
494.4889, 10.74603
494.9710, 11.76544
495.4531, 9.446960
495.9352, 6.571838
496.4173, 5.119629
496.8994, 4.939270
497.3816, 5.713196
497.8637, 7.597595
498.3458, 9.543640
498.8279, 9.845276
499.3100, 8.018799
499.7921, 6.990356
500.2743, 7.975769
500.7564, 8.914490
501.2385, 8.072205
501.7206, 5.952576
502.2027, 4.359558
502.6848, 4.364075
503.1670, 5.321838
503.6491, 5.321716
504.1312, 3.520935
504.6133, 2.101440
505.0954, 0.8290410
505.5775, 0.1549680
506.0597, 0.9373780
506.5418, 2.760315
507.0239, 3.957336
507.5060, 2.867432
507.9881, 0.2413940
508.4702, 6.1584000E-02
508.9524, 4.002625
509.4345, 6.587158
509.9166, 4.518799
510.3987, 1.179688
510.8808, 0.2704470
511.3629, 0.6734620
511.8451, 1.795227
512.3271, 1.478760
512.8093, 8.0444001E-02
513.2914, 1.640747
513.7735, 3.801270
514.2556, 5.280823
514.7377, 5.057129
515.2198, 3.503723
515.7020, 2.108032
516.1841, 0.8420410
516.6662, 0.1660160
517.1483, 0.9304200
517.6304, 1.375732
518.1125, 1.130493
518.5947, 0.1294560
519.0768, 0.6574710
519.5589, 3.1920999E-02
520.0410, 2.538757
520.5231, 3.180542
521.0052, 8.2213998E-02
521.4874, 2.468018
521.9695, 2.814819
522.4516, 1.890442
522.9337, 0.9631960
523.4158, 0.5243530
523.8979, 0.4713130
524.3801, 0.7370000
524.8622, 1.409119
525.3443, 1.916016
525.8264, 2.368042
526.3085, 2.485046
526.7906, 1.863464
527.2728, 0.8764650
527.7549, 0.3078000
528.2370, 0.6787110
528.7191, 1.135376
529.2012, 0.3499760
529.6833, 1.568665
530.1655, 3.045654
530.6476, 3.720032
531.1297, 3.763916
531.6118, 3.027832
532.0939, 1.649719
532.5760, 0.7460940
533.0582, 0.9127810
533.5403, 1.302307
534.0224, 1.040527
534.5045, 0.4489750
534.9866, 0.7619020
535.4688, 2.625183
535.9509, 4.873169
536.4330, 5.229248
536.9151, 2.180969
537.3972, 0.9249880
537.8793, 3.310791
538.3615, 5.618225
538.8436, 5.283142
539.3257, 3.188660
539.8078, 1.874207
540.2899, 2.844238
540.7720, 4.927246
541.2542, 5.282166
541.7363, 3.288025
542.2184, 1.620605
542.7005, 0.1545410
543.1826, 0.3787230
