##NAMES=Dickinsonite-(KMnNa)
##RRUFFID=R160070
##IDEAL CHEMISTRY=K(NaMn^2+^)CaNa_3_AlMn^2+^_13_(PO_4_)_12_(OH)_2_
##LOCALITY=Smith mine, Newport, New Hampshire, USA
##OWNER=UAMM
##SOURCE=Rock Currier
##DESCRIPTION=Pale yellowish green granular crystals, associated with muscovite and albite.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R160070
560.5388, 15.04105
561.0209, 14.30529
561.5031, 13.72205
561.9852, 13.68743
562.4673, 13.76051
562.9494, 13.38560
563.4315, 12.66949
563.9136, 12.16883
564.3958, 12.12667
564.8779, 12.35614
565.3600, 12.56670
565.8421, 12.79800
566.3242, 12.87318
566.8063, 12.67428
567.2885, 12.43183
567.7706, 12.23304
568.2527, 12.09591
568.7348, 12.03919
569.2169, 12.07079
569.6990, 12.16962
570.1812, 12.30605
570.6633, 12.47507
571.1454, 12.57642
571.6275, 12.56463
572.1096, 12.58668
572.5917, 12.79442
573.0739, 13.08988
573.5560, 13.22351
574.0381, 13.02997
574.5202, 12.76157
575.0023, 12.68790
575.4844, 12.78570
575.9666, 12.96955
576.4487, 13.25658
576.9308, 13.48952
577.4129, 13.44795
577.8950, 13.12640
578.3771, 13.01577
578.8593, 13.31338
579.3414, 13.64054
579.8235, 13.81105
580.3056, 13.90976
580.7877, 14.07071
581.2698, 14.33967
581.7520, 14.68520
582.2341, 15.07037
582.7162, 15.48950
583.1984, 15.80173
583.6805, 16.01465
584.1626, 16.14489
584.6447, 16.18419
585.1268, 16.17250
585.6089, 16.11929
586.0911, 16.02976
586.5732, 16.00027
587.0553, 16.08944
587.5374, 16.31007
588.0195, 16.82006
588.5016, 17.74141
588.9838, 18.37889
589.4659, 18.09573
589.9480, 17.25263
590.4301, 16.98463
590.9122, 17.66216
591.3943, 18.16456
591.8765, 18.02608
592.3586, 17.61948
592.8407, 17.21924
593.3228, 16.92846
593.8049, 16.95975
594.2870, 17.51876
594.7692, 18.45196
595.2513, 19.04075
595.7334, 19.08083
596.2155, 19.12502
596.6976, 19.27095
597.1797, 19.40781
597.6619, 19.39606
598.1440, 19.28805
598.6261, 19.31189
599.1082, 19.65728
599.5903, 20.16964
600.0724, 20.60641
600.5546, 20.96753
601.0367, 21.18288
601.5188, 21.20592
602.0009, 21.10946
602.4830, 20.97229
602.9651, 20.79702
603.4473, 20.56747
603.9294, 20.30466
604.4115, 19.96503
604.8936, 19.46300
605.3757, 18.87589
605.8578, 18.34906
606.3400, 17.93829
606.8221, 17.61402
607.3042, 17.34546
607.7863, 17.14692
608.2684, 16.91930
608.7505, 16.73080
609.2327, 16.42776
609.7148, 15.88729
610.1969, 15.24683
610.6790, 14.68087
611.1611, 14.23887
611.6432, 13.81527
612.1254, 13.24092
612.6075, 12.60759
613.0896, 12.27687
613.5717, 12.31987
614.0538, 12.29420
614.5359, 11.91875
615.0181, 11.29547
615.5002, 10.71416
615.9823, 10.14815
616.4644, 9.630932
616.9465, 9.218899
617.4286, 8.835175
617.9108, 8.285717
618.3929, 7.677654
618.8750, 7.458870
619.3571, 7.962730
619.8392, 8.789299
620.3214, 8.772781
620.8035, 7.501282
621.2856, 6.607521
621.7677, 6.561340
622.2498, 6.657223
622.7319, 6.538082
623.2141, 6.272766
623.6962, 6.080372
624.1783, 6.079983
624.6604, 6.115154
625.1425, 5.948898
625.6246, 5.692387
626.1068, 5.738064
626.5889, 6.182995
627.0710, 6.689724
627.5531, 6.989525
628.0352, 7.091549
628.5173, 7.184566
628.9995, 7.172482
629.4816, 7.279240
629.9637, 7.544300
630.4458, 7.925034
630.9279, 8.454136
631.4100, 9.100906
631.8922, 9.703922
632.3743, 10.09909
632.8564, 10.34779
633.3385, 10.72771
633.8206, 11.29585
634.3027, 11.78041
634.7849, 12.03225
635.2670, 12.24787
635.7491, 12.64179
636.2312, 13.19019
636.7133, 13.65721
637.1954, 13.87891
637.6776, 14.04734
638.1597, 14.43238
638.6418, 14.90479
639.1239, 15.07929
639.6060, 14.83351
640.0881, 14.47665
640.5703, 14.33006
641.0524, 14.37704
641.5345, 14.33970
642.0166, 14.24964
642.4987, 14.09080
642.9808, 13.87650
643.4630, 13.57694
643.9451, 13.12106
644.4272, 12.52073
644.9093, 11.94437
645.3914, 11.52952
645.8735, 11.23110
646.3557, 10.94613
646.8378, 10.66102
647.3199, 10.38816
647.8020, 10.15808
648.2841, 9.918873
648.7662, 9.575218
