##NAMES=Tetrawickmanite
##RRUFFID=R170046
##IDEAL CHEMISTRY=Mn^2+^Sn^4+^(OH)_6_
##LOCALITY=Mina San Martin, Sombrerete, Zacatecas, Mexico
##OWNER=RRUFF
##SOURCE=Peter Megaw
##DESCRIPTION=Yellow cubic or pseudo-octahedral crystals on quartz, associated with colorless cubic fluorite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R170046
594.3593, 8674.101
594.8414, 8522.197
595.3235, 8325.116
595.8057, 8090.396
596.2878, 7817.979
596.7699, 7513.329
597.2520, 7187.690
597.7341, 6831.813
598.2162, 6469.948
598.6984, 6104.719
599.1805, 5745.175
599.6626, 5394.824
600.1447, 5048.750
600.6268, 4718.006
601.1089, 4407.789
601.5911, 4116.515
602.0732, 3840.599
602.5553, 3581.885
603.0374, 3339.391
603.5195, 3115.236
604.0016, 2910.349
604.4838, 2720.666
604.9659, 2548.574
605.4480, 2388.313
605.9301, 2233.540
606.4122, 2086.332
606.8943, 1952.291
607.3765, 1834.117
607.8586, 1724.949
608.3407, 1619.996
608.8228, 1519.783
609.3049, 1427.698
609.7870, 1346.632
610.2692, 1270.953
610.7513, 1197.505
611.2334, 1127.047
611.7155, 1062.650
612.1976, 1007.099
612.6797, 954.7985
613.1619, 904.0482
613.6440, 854.3745
614.1261, 807.4193
614.6082, 762.5830
615.0903, 720.5469
615.5724, 681.6162
616.0546, 645.9871
616.5367, 610.8063
617.0188, 575.9227
617.5009, 542.4875
617.9830, 512.2003
618.4651, 484.5138
618.9473, 457.7011
619.4294, 430.9739
619.9115, 405.9572
620.3936, 384.4658
620.8757, 365.4938
621.3578, 346.8575
621.8400, 327.4614
622.3221, 308.3439
622.8042, 289.5439
623.2863, 271.2591
623.7684, 255.3407
624.2505, 244.7017
624.7327, 233.3081
625.2148, 218.3204
625.6969, 199.1108
626.1790, 184.5682
626.6611, 176.0414
627.1432, 168.7845
627.6254, 158.6868
628.1075, 146.1243
628.5896, 135.2072
629.0717, 126.4794
629.5538, 119.0912
630.0359, 112.6258
630.5181, 106.8203
631.0002, 100.8425
631.4823, 93.97174
631.9644, 87.67368
632.4465, 83.82434
632.9286, 81.20258
633.4108, 77.46692
633.8929, 69.90045
634.3750, 63.12729
634.8571, 58.99298
635.3392, 57.10956
635.8214, 54.62906
636.3035, 51.14117
636.7856, 47.23367
637.2677, 42.96121
637.7498, 38.39175
638.2319, 34.80276
638.7141, 32.22617
639.1962, 30.32141
639.6783, 29.26135
640.1604, 28.64072
640.6425, 26.95691
641.1246, 23.88901
641.6068, 20.57257
642.0889, 17.94250
642.5710, 15.89197
643.0531, 14.22348
643.5352, 13.02133
644.0173, 11.71725
644.4995, 9.829193
644.9816, 7.756226
645.4637, 6.105042
645.9458, 5.503235
646.4279, 4.807831
646.9100, 3.766266
647.3922, 2.492584
647.8743, 1.545013
648.3564, 0.8619080
648.8385, 0.5097350
649.3206, 0.6409000
649.8027, 1.101410
650.2849, 1.296356
650.7670, 1.246979
651.2491, 0.9873050
651.7312, 0.5452580
652.2133, 6.8816997E-02
652.6954, 1.029663
653.1776, 2.395538
