##NAMES=Galeite
##RRUFFID=R160078
##IDEAL CHEMISTRY=Na_15_(S^6+^O_4_)_5_ClF_4_
##LOCALITY=Searles Lake, San Bernardino County, California, USA
##OWNER=UAMM
##SOURCE=Rock Currier
##DESCRIPTION=Colorless to pale grey barrel-shaped crystals, intergrown with schairerite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R160078
3.711393e+002, 4.326293e+004
3.716214e+002, 4.327848e+004
3.721035e+002, 4.329292e+004
3.725856e+002, 4.330689e+004
3.730677e+002, 4.332100e+004
3.735498e+002, 4.333438e+004
3.740320e+002, 4.335046e+004
3.745141e+002, 4.337013e+004
3.749962e+002, 4.339323e+004
3.754783e+002, 4.342374e+004
3.759604e+002, 4.346679e+004
3.764425e+002, 4.350854e+004
3.769247e+002, 4.353179e+004
3.774068e+002, 4.353464e+004
3.778889e+002, 4.352760e+004
3.783710e+002, 4.350653e+004
3.788531e+002, 4.347864e+004
3.793352e+002, 4.347719e+004
3.798174e+002, 4.350459e+004
3.802995e+002, 4.354152e+004
3.807816e+002, 4.357745e+004
3.812637e+002, 4.361166e+004
3.817458e+002, 4.363236e+004
3.822279e+002, 4.363305e+004
3.827101e+002, 4.363071e+004
3.831922e+002, 4.365896e+004
3.836743e+002, 4.371357e+004
3.841564e+002, 4.376287e+004
3.846385e+002, 4.378533e+004
3.851206e+002, 4.379193e+004
3.856028e+002, 4.380362e+004
3.860849e+002, 4.382133e+004
3.865670e+002, 4.384455e+004
3.870491e+002, 4.387891e+004
3.875312e+002, 4.391812e+004
3.880133e+002, 4.394967e+004
3.884955e+002, 4.395987e+004
3.889776e+002, 4.396784e+004
3.894597e+002, 4.399477e+004
3.899418e+002, 4.403723e+004
3.904239e+002, 4.407526e+004
3.909060e+002, 4.409098e+004
3.913882e+002, 4.409985e+004
3.918703e+002, 4.411670e+004
3.923524e+002, 4.414913e+004
3.928345e+002, 4.418066e+004
3.933166e+002, 4.419786e+004
3.937987e+002, 4.420890e+004
3.942809e+002, 4.422988e+004
3.947630e+002, 4.427780e+004
3.952451e+002, 4.432661e+004
3.957272e+002, 4.436340e+004
3.962093e+002, 4.438421e+004
3.966914e+002, 4.440987e+004
3.971736e+002, 4.445604e+004
3.976557e+002, 4.450287e+004
3.981378e+002, 4.453220e+004
3.986199e+002, 4.451505e+004
3.991020e+002, 4.450979e+004
3.995841e+002, 4.453085e+004
4.000663e+002, 4.457288e+004
4.005484e+002, 4.460094e+004
4.010305e+002, 4.460769e+004
4.015126e+002, 4.460859e+004
4.019947e+002, 4.461101e+004
4.024768e+002, 4.461634e+004
4.029590e+002, 4.462192e+004
4.034411e+002, 4.463012e+004
4.039232e+002, 4.463817e+004
4.044053e+002, 4.464060e+004
4.048874e+002, 4.463679e+004
4.053695e+002, 4.463162e+004
4.058517e+002, 4.462522e+004
4.063338e+002, 4.461859e+004
4.068159e+002, 4.461946e+004
4.072980e+002, 4.462738e+004
