##NAMES=Kleinite
##RRUFFID=R060329
##IDEAL CHEMISTRY=Hg_2_N(Cl,S^6+^O_4_)&#183;nH_2_O
##LOCALITY=McDermott mine, Humboldt County, Nevada, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Light yellow hexagonal prismatic or tabular crystals, associated with orange or dark yellow platy terlinguacreekite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060329
428.7112, 194.8178
429.1934, 195.9071
429.6755, 196.9528
430.1576, 197.8694
430.6397, 199.2073
431.1218, 201.1201
431.6039, 203.2213
432.0861, 204.8568
432.5682, 205.9866
433.0503, 207.2415
433.5324, 208.9099
434.0145, 210.8690
434.4966, 212.6930
434.9788, 214.3809
435.4609, 216.0191
435.9430, 217.5733
436.4251, 219.1515
436.9072, 221.1053
437.3893, 223.6424
437.8715, 226.2372
438.3536, 228.1731
438.8357, 229.6601
439.3178, 231.2835
439.7999, 233.2721
440.2820, 235.5846
440.7642, 238.2379
441.2463, 241.2530
441.7284, 244.2913
442.2105, 247.4911
442.6926, 250.4992
443.1747, 252.9619
443.6569, 254.3125
444.1390, 255.6732
444.6211, 257.2133
445.1032, 259.0035
445.5853, 261.2021
446.0674, 264.2380
446.5496, 267.3551
447.0317, 270.3354
447.5138, 273.2637
447.9959, 275.7583
448.4780, 277.3719
448.9601, 278.8893
449.4423, 281.2199
449.9244, 285.0819
450.4065, 288.1851
450.8886, 289.9431
451.3707, 290.6949
451.8528, 291.9671
452.3350, 293.8965
452.8171, 295.9518
453.2992, 297.8643
453.7813, 299.6347
454.2634, 301.5110
454.7455, 303.5181
455.2277, 305.5953
455.7098, 307.7578
456.1919, 309.9624
456.6740, 312.0693
457.1561, 313.9026
457.6382, 315.6711
458.1204, 317.7392
458.6025, 320.0829
459.0846, 322.3786
459.5667, 324.3396
460.0488, 326.1837
460.5309, 328.2697
461.0131, 330.7176
461.4952, 333.0616
461.9773, 334.7875
462.4594, 336.2138
462.9415, 337.8306
463.4236, 339.5053
463.9058, 341.6764
464.3879, 344.8152
464.8700, 348.7780
465.3521, 352.5628
465.8342, 355.6074
466.3163, 358.6730
466.7985, 362.1725
467.2806, 366.1441
467.7627, 370.5454
468.2448, 375.7514
468.7269, 381.1786
469.2090, 385.9955
469.6912, 389.6629
470.1733, 393.7998
470.6554, 398.8607
471.1375, 404.7558
471.6196, 410.6136
472.1017, 416.4000
472.5839, 422.2573
473.0660, 428.5116
473.5481, 435.1424
474.0302, 441.4593
474.5123, 447.3436
474.9944, 453.0930
475.4766, 459.0073
475.9587, 465.1259
476.4408, 471.7178
476.9229, 479.0276
477.4050, 486.7310
477.8871, 494.3160
478.3693, 501.7882
478.8514, 509.1487
479.3335, 515.9974
479.8156, 522.9408
480.2977, 530.7147
480.7798, 539.5864
481.2620, 548.7083
481.7441, 557.5779
482.2262, 566.3633
482.7083, 575.3134
483.1904, 584.5748
483.6725, 593.9739
484.1547, 603.3162
484.6368, 612.5810
485.1189, 622.1489
485.6010, 632.2347
486.0831, 642.5348
486.5652, 652.7791
487.0474, 662.8352
487.5295, 673.2929
488.0116, 684.3152
488.4937, 695.4948
488.9758, 706.4386
489.4579, 717.2835
489.9401, 727.4812
490.4222, 736.6652
490.9043, 745.1580
491.3864, 755.0674
491.8685, 766.6194
492.3506, 778.3203
492.8328, 789.2807
493.3149, 799.5280
493.7970, 809.0442
494.2791, 817.6035
494.7612, 826.7800
495.2433, 839.7480
495.7255, 854.9248
496.2076, 868.3428
496.6897, 877.4061
497.1718, 885.2430
497.6539, 894.0203
498.1360, 903.7950
498.6182, 915.0271
499.1003, 929.6125
499.5824, 944.5626
500.0645, 957.1729
500.5466, 966.7540
501.0287, 976.7057
501.5109, 987.8104
501.9930, 999.8785
502.4751, 1012.589
502.9572, 1026.350
503.4393, 1040.193
503.9214, 1053.693
504.4036, 1067.040
504.8857, 1081.401
505.3678, 1097.542
505.8499, 1113.634
506.3320, 1128.807
506.8141, 1142.949
507.2963, 1157.753
507.7784, 1173.338
508.2605, 1189.800
508.7426, 1207.885
509.2247, 1227.474
509.7068, 1246.646
510.1890, 1264.709
510.6711, 1282.750
511.1532, 1302.226
511.6353, 1323.078
512.1174, 1344.474
512.5995, 1366.611
513.0817, 1388.928
513.5638, 1410.608
514.0459, 1431.670
514.5280, 1452.899
515.0101, 1473.945
515.4922, 1495.932
515.9744, 1519.689
516.4565, 1545.869
516.9386, 1573.256
517.4207, 1602.711
517.9028, 1632.900
518.3849, 1661.630
518.8671, 1685.792
519.3492, 1711.447
519.8313, 1740.283
520.3134, 1771.919
520.7955, 1804.632
521.2776, 1838.271
521.7598, 1873.323
522.2419, 1909.879
522.7240, 1948.370
523.2061, 1986.837
523.6882, 2025.236
524.1703, 2063.963
524.6525, 2103.023
525.1346, 2142.689
525.6167, 2185.298
526.0988, 2232.099
526.5809, 2280.845
527.0630, 2326.551
527.5452, 2369.779
528.0273, 2414.501
528.5094, 2463.702
528.9915, 2515.684
529.4736, 2569.613
529.9557, 2625.683
530.4379, 2682.144
530.9200, 2739.154
531.4021, 2796.140
531.8842, 2852.696
532.3663, 2907.409
532.8484, 2963.382
533.3306, 3021.448
533.8127, 3081.128
534.2948, 3139.944
534.7769, 3198.338
535.2590, 3256.026
535.7411, 3312.859
536.2233, 3368.650
536.7054, 3424.816
537.1875, 3481.419
537.6696, 3537.501
538.1517, 3593.651
538.6339, 3649.669
539.1160, 3702.712
539.5981, 3752.453
540.0802, 3799.049
540.5623, 3844.785
541.0444, 3888.956
541.5266, 3928.781
542.0087, 3963.449
542.4908, 3993.219
542.9729, 4019.498
543.4550, 4041.015
543.9371, 4053.736
544.4193, 4053.597
544.9014, 4044.876
545.3835, 4030.814
545.8656, 4011.671
546.3477, 3987.211
546.8298, 3956.587
547.3120, 3920.592
547.7941, 3880.158
548.2762, 3833.741
548.7583, 3784.722
549.2404, 3730.965
549.7225, 3675.430
550.2047, 3622.957
550.6868, 3573.559
551.1689, 3527.101
551.6510, 3484.372
552.1331, 3444.881
552.6152, 3406.091
553.0974, 3367.563
553.5795, 3332.148
554.0616, 3301.801
554.5437, 3276.300
555.0258, 3254.132
555.5079, 3235.152
555.9901, 3219.886
556.4722, 3210.226
556.9543, 3204.356
557.4364, 3198.556
557.9185, 3191.913
558.4006, 3184.698
558.8828, 3176.906
559.3649, 3168.616
559.8470, 3159.888
560.3291, 3151.709
560.8112, 3142.085
561.2933, 3130.834
561.7755, 3117.875
562.2576, 3100.138
562.7397, 3076.646
563.2218, 3048.732
563.7039, 3016.998
564.1860, 2982.011
564.6682, 2941.532
565.1503, 2895.434
565.6324, 2843.579
566.1145, 2785.792
566.5966, 2721.224
567.0787, 2654.343
567.5609, 2586.063
568.0430, 2516.173
568.5251, 2444.975
569.0072, 2372.262
569.4893, 2301.542
569.9714, 2233.223
570.4536, 2167.829
570.9357, 2105.692
571.4178, 2047.030
571.8999, 1991.165
572.3820, 1937.871
572.8641, 1887.631
573.3463, 1842.127
573.8284, 1802.480
574.3105, 1763.781
574.7926, 1725.420
575.2747, 1686.818
575.7568, 1647.429
576.2390, 1607.075
576.7211, 1565.419
577.2032, 1522.600
577.6853, 1478.263
578.1674, 1432.652
578.6495, 1385.907
579.1317, 1337.434
579.6138, 1286.119
580.0959, 1232.539
580.5780, 1181.671
581.0601, 1133.193
581.5422, 1086.261
582.0244, 1039.267
582.5065, 993.0183
582.9886, 950.4540
583.4707, 911.3781
583.9528, 875.4986
584.4349, 843.0869
584.9171, 813.4203
585.3992, 785.4321
585.8813, 759.0193
586.3634, 733.8040
586.8455, 709.5808
587.3276, 686.4243
587.8098, 665.5211
588.2919, 648.0519
588.7740, 631.9240
589.2561, 616.5931
589.7382, 602.0583
590.2203, 588.2714
590.7025, 575.4721
591.1846, 563.2453
591.6667, 551.2579
592.1488, 539.4157
592.6309, 528.7001
593.1130, 519.1817
593.5952, 510.4368
594.0773, 502.1037
594.5594, 494.1093
595.0415, 486.3538
595.5236, 478.7657
596.0057, 471.3409
596.4879, 463.8569
596.9700, 456.5794
597.4521, 450.2121
597.9342, 445.7391
598.4163, 441.6655
598.8984, 437.2646
599.3806, 432.5151
599.8627, 427.6514
600.3448, 421.7467
600.8269, 416.5940
601.3090, 413.1161
601.7911, 411.7872
602.2733, 410.1923
602.7554, 408.1154
603.2375, 406.0763
603.7196, 404.5570
604.2017, 403.5566
604.6838, 402.9390
605.1660, 402.6295
605.6481, 402.8218
606.1302, 403.7961
606.6123, 405.5394
607.0944, 407.9678
607.5765, 411.0087
608.0587, 414.7805
608.5408, 419.6178
609.0229, 425.3551
609.5050, 431.5840
609.9871, 438.1254
610.4692, 444.9973
610.9514, 451.9974
611.4335, 459.1316
611.9156, 467.2809
612.3977, 477.0453
612.8798, 487.5855
613.3619, 498.2312
613.8441, 508.8693
614.3262, 520.1917
614.8083, 532.1562
615.2904, 544.9452
615.7725, 558.7076
616.2546, 573.4785
616.7368, 588.7086
617.2189, 604.6136
617.7010, 620.7505
618.1831, 635.9848
618.6652, 650.5565
619.1473, 665.5526
619.6295, 682.0900
620.1116, 698.7341
620.5937, 714.1381
621.0758, 728.3167
621.5579, 741.8326
622.0400, 755.0863
622.5222, 767.3093
623.0043, 778.3053
623.4864, 788.2881
623.9685, 795.6129
624.4506, 800.1841
624.9327, 802.0463
625.4149, 801.1746
625.8970, 797.5552
626.3791, 791.2054
626.8612, 781.9142
627.3433, 770.2488
627.8254, 756.9186
628.3076, 741.9218
628.7897, 725.1232
629.2718, 706.2525
629.7539, 685.8745
630.2360, 664.8000
630.7181, 643.1035
631.2003, 621.2828
631.6824, 598.6143
632.1645, 576.6067
632.6466, 556.8748
633.1287, 539.0565
633.6108, 521.8746
634.0930, 504.7858
634.5751, 488.0420
635.0572, 472.0421
635.5393, 456.8433
636.0214, 441.4925
636.5035, 425.2151
636.9857, 409.6706
637.4678, 396.2857
637.9499, 385.2745
638.4320, 375.2473
638.9141, 366.3264
639.3962, 358.0746
639.8784, 349.8969
640.3605, 341.9511
640.8426, 334.6223
641.3247, 328.2400
641.8068, 322.2654
642.2889, 315.8615
642.7711, 309.3969
643.2532, 303.5388
643.7353, 298.5306
644.2174, 294.3413
644.6995, 291.3696
645.1816, 289.4124
645.6638, 287.0532
646.1459, 283.5615
646.6280, 280.1653
647.1101, 277.2093
647.5922, 274.7235
648.0743, 272.6301
648.5565, 271.1383
649.0386, 269.5225
649.5207, 266.9648
650.0028, 263.6476
650.4849, 261.3357
650.9670, 260.2778
651.4492, 259.4800
651.9313, 257.7477
652.4134, 255.5563
652.8955, 253.9221
653.3776, 253.4087
653.8597, 252.7334
