##NAMES=Virgilluethite
##RRUFFID=R220017
##IDEAL CHEMISTRY=Mo^6+^O_3_&#183;H_2_O
##LOCALITY=Cooke's Peak, Cookes Range, Luna County, New Mexico, USA
##OWNER=RRUFF
##SOURCE=Ron Gibbs
##DESCRIPTION=Aggregates of yellow-green lamellas. Type sample
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R220017
##MEASURED CHEMISTRY=MoO_3_·H_2_O, which was calculated on the basis of 4 O apfu.
541.8086, 116.0714
542.2907, 117.8196
542.7728, 125.1088
543.2549, 135.4117
543.7371, 143.1637
544.2192, 143.4885
544.7013, 143.0468
545.1834, 146.7438
545.6655, 153.7382
546.1476, 160.3557
546.6298, 163.4410
547.1119, 167.1931
547.5940, 174.0352
548.0761, 184.9766
548.5582, 195.3101
549.0403, 205.5402
549.5225, 214.9186
550.0046, 222.2699
550.4867, 225.6583
550.9688, 231.3021
551.4509, 240.4354
551.9330, 251.6072
552.4152, 261.1801
552.8973, 268.8002
553.3794, 276.7297
553.8615, 285.9705
554.3436, 296.3793
554.8257, 307.5411
555.3079, 319.2823
555.7900, 330.5286
556.2721, 338.9414
556.7542, 346.4877
557.2363, 356.7133
557.7184, 370.3710
558.2006, 384.7291
558.6827, 398.3890
559.1648, 411.3846
559.6469, 424.0376
560.1290, 435.4482
560.6111, 447.3455
561.0933, 459.4994
561.5754, 472.3807
562.0575, 487.1398
562.5396, 506.4620
563.0217, 525.0671
563.5038, 541.0249
563.9860, 554.1477
564.4681, 569.3739
564.9502, 587.2355
565.4323, 606.7239
565.9144, 626.8138
566.3965, 647.5546
566.8787, 669.0642
567.3608, 691.2498
567.8429, 713.6157
568.3250, 734.4158
568.8071, 754.2764
569.2892, 774.7297
569.7714, 795.7631
570.2535, 817.9677
570.7356, 841.6404
571.2177, 866.9451
571.6998, 892.9269
572.1819, 921.1169
572.6641, 949.1204
573.1462, 974.3472
573.6283, 996.8357
574.1104, 1021.354
574.5925, 1051.787
575.0746, 1083.306
575.5568, 1113.103
576.0389, 1137.623
576.5210, 1165.542
577.0031, 1199.291
577.4852, 1235.098
577.9673, 1267.508
578.4495, 1295.411
578.9316, 1325.303
579.4137, 1359.045
579.8958, 1395.107
580.3779, 1431.371
580.8600, 1467.685
581.3422, 1503.847
581.8243, 1538.920
582.3064, 1574.063
582.7885, 1611.011
583.2706, 1649.893
583.7527, 1689.311
584.2349, 1729.503
584.7170, 1769.491
585.1991, 1808.291
585.6812, 1846.400
586.1633, 1882.268
586.6454, 1909.976
587.1276, 1937.126
587.6097, 1972.539
588.0918, 2031.773
588.5739, 2082.636
589.0560, 2117.063
589.5381, 2140.746
590.0203, 2170.757
590.5024, 2210.790
590.9845, 2250.284
591.4666, 2284.700
591.9487, 2314.627
592.4308, 2345.557
592.9130, 2378.011
593.3951, 2409.839
593.8772, 2438.303
594.3593, 2464.129
594.8414, 2489.993
595.3235, 2516.098
595.8057, 2541.406
596.2878, 2565.090
596.7699, 2587.347
597.2520, 2607.998
597.7341, 2627.315
598.2162, 2644.008
598.6984, 2658.206
599.1805, 2669.173
599.6626, 2676.175
600.1447, 2676.139
600.6268, 2675.816
601.1089, 2677.518
601.5911, 2680.405
602.0732, 2679.285
602.5553, 2674.746
603.0374, 2666.986
603.5195, 2655.296
604.0016, 2639.261
604.4838, 2621.985
604.9659, 2603.618
605.4480, 2584.347
605.9301, 2565.957
606.4122, 2546.979
606.8943, 2522.065
607.3765, 2489.185
607.8586, 2453.426
608.3407, 2420.318
608.8228, 2388.198
609.3049, 2354.761
609.7870, 2318.252
610.2692, 2280.490
610.7513, 2242.060
611.2334, 2202.956
611.7155, 2163.328
612.1976, 2123.829
612.6797, 2082.524
613.1619, 2037.902
613.6440, 1989.263
614.1261, 1944.987
614.6082, 1906.766
615.0903, 1868.816
615.5724, 1826.875
616.0546, 1781.087
616.5367, 1732.554
617.0188, 1680.807
617.5009, 1629.615
617.9830, 1584.425
618.4651, 1543.448
618.9473, 1501.305
619.4294, 1455.998
619.9115, 1410.709
620.3936, 1368.858
620.8757, 1328.858
621.3578, 1287.119
621.8400, 1238.035
622.3221, 1190.858
