##NAMES=Katoptrite
##RRUFFID=R140009
##IDEAL CHEMISTRY=Mn^2+^_13_Al_4_Sb^5+^_2_O_20_(SiO_4_)_2_
##LOCALITY=Brattfors mine, Nordmark, Filipstad, Värmland, Sweden
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Black grains, thin black splinters or flakes
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R140009
600.3448, 11.63940
600.8269, 10.33916
601.3090, 9.212372
601.7911, 8.313171
602.2733, 7.318253
602.7554, 6.101166
603.2375, 4.977745
603.7196, 4.310860
604.2017, 4.136169
604.6838, 3.942589
605.1660, 3.693436
605.6481, 3.348389
606.1302, 2.759895
606.6123, 1.986870
607.0944, 1.305420
607.5765, 0.7891010
608.0587, 0.4369810
608.5408, 0.2828140
609.0229, 0.2965010
609.5050, 0.3655700
609.9871, 0.5758130
610.4692, 0.7071840
610.9514, 0.5840230
611.4335, 0.1799550
611.9156, 0.1911390
612.3977, 0.5812000
612.8798, 0.8291400
613.3619, 0.8094250
613.8441, 0.3040540
614.3262, 6.8047002E-02
614.8083, 0.1846240
615.2904, 0.4522780
615.7725, 0.6501010
616.2546, 0.7798230
616.7368, 0.7942500
617.2189, 0.6639710
617.7010, 0.4472270
618.1831, 0.2264100
618.6652, 6.7830002E-03
619.1473, 0.1904450
619.6295, 0.3171310
620.1116, 0.4399950
620.5937, 0.6324080
621.0758, 0.8833470
621.5579, 1.145073
622.0400, 1.448143
622.5222, 1.705696
623.0043, 1.829300
623.4864, 1.766808
623.9685, 1.828575
624.4506, 2.042175
624.9327, 2.389923
625.4149, 2.928635
625.8970, 3.862656
626.3791, 4.294624
626.8612, 4.022232
627.3433, 3.532585
627.8254, 3.514359
628.3076, 3.949806
628.7897, 4.485504
629.2718, 5.106430
629.7539, 5.667557
630.2360, 5.835838
630.7181, 5.727592
631.2003, 5.708244
631.6824, 6.039429
632.1645, 6.470940
632.6466, 6.875710
633.1287, 7.234756
633.6108, 7.434395
634.0930, 7.236198
