##NAMES=Tundrite-(Ce)
##RRUFFID=R130563
##IDEAL CHEMISTRY=Na_2_Ce^3+^_2_Ti^4+^O_2_SiO_4_(CO_3_)_2_
##LOCALITY=Poudrette quarry, Mount St. Hilaire, Quebec, Canada
##OWNER=RRUFF
##SOURCE=Don Doell
##DESCRIPTION=Yellow bladed crystals, associated with white orthoclase
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130563
551.4509, 455.2615
551.9330, 471.2661
552.4152, 486.3074
552.8973, 500.3992
553.3794, 515.0383
553.8615, 531.5773
554.3436, 549.1667
554.8257, 564.2783
555.3079, 576.8425
555.7900, 588.2168
556.2721, 601.0393
556.7542, 612.9943
557.2363, 619.4247
557.7184, 618.5186
558.2006, 614.1953
558.6827, 609.7168
559.1648, 604.1666
559.6469, 595.6400
560.1290, 583.3198
560.6111, 567.7362
561.0933, 548.6272
561.5754, 526.5007
562.0575, 503.9382
562.5396, 480.9365
563.0217, 457.5731
563.5038, 433.8047
563.9860, 409.6121
564.4681, 384.4528
564.9502, 357.1489
565.4323, 330.5823
565.9144, 308.6556
566.3965, 291.8533
566.8787, 274.3214
567.3608, 254.8810
567.8429, 234.7919
568.3250, 217.0298
568.8071, 201.4569
569.2892, 187.2852
569.7714, 174.5265
570.2535, 162.6346
570.7356, 151.0931
571.2177, 139.7982
571.6998, 129.3009
572.1819, 119.7087
572.6641, 110.9458
573.1462, 102.9888
573.6283, 95.79333
574.1104, 89.13831
574.5925, 83.23853
575.0746, 77.57849
575.5568, 71.56885
576.0389, 64.11438
576.5210, 57.93213
577.0031, 53.56189
577.4852, 50.34485
577.9673, 46.81335
578.4495, 42.70056
578.9316, 38.97449
579.4137, 35.75696
579.8958, 33.22717
580.3779, 32.63794
580.8600, 34.11816
581.3422, 34.68909
581.8243, 31.54980
582.3064, 26.12305
582.7885, 21.41626
583.2706, 17.59961
583.7527, 14.99829
584.2349, 15.16638
584.7170, 16.15466
585.1991, 15.43909
585.6812, 11.42419
586.1633, 7.167358
586.6454, 3.259277
587.1276, 5.1635999E-02
587.6097, 1.756958
588.0918, 1.1230000E-02
588.5739, 0.8085940
589.0560, 0.8834230
589.5381, 4.573364
590.0203, 6.371948
590.5024, 5.373901
590.9845, 4.237427
591.4666, 4.228027
591.9487, 5.330444
592.4308, 6.598999
592.9130, 8.033325
593.3951, 9.491821
593.8772, 11.06628
594.3593, 12.55701
594.8414, 13.22253
595.3235, 12.79614
595.8057, 11.95654
596.2878, 11.14771
596.7699, 10.45264
597.2520, 10.04797
597.7341, 10.18982
598.2162, 10.47571
598.6984, 10.97192
599.1805, 11.53259
599.6626, 11.58057
600.1447, 10.57288
600.6268, 9.464355
601.1089, 8.849121
601.5911, 8.868530
602.0732, 7.502686
602.5553, 3.824219
603.0374, 0.2535400
603.5195, 1.302734
604.0016, 0.6799320
604.4838, 0.1687010
604.9659, 0.1033940
605.4480, 0.2324220
605.9301, 0.6524660
606.4122, 1.105469
606.8943, 0.3928220
607.3765, 2.454102
607.8586, 5.469727
608.3407, 6.192627
608.8228, 5.328125
609.3049, 4.572998
609.7870, 4.732910
610.2692, 5.183716
610.7513, 5.967041
611.2334, 6.954956
611.7155, 6.957764
612.1976, 3.936768
612.6797, 1.514526
613.1619, 1.507568
613.6440, 4.597656
614.1261, 7.119507
614.6082, 9.272217
615.0903, 10.61682
615.5724, 10.25244
616.0546, 8.070313
616.5367, 7.633057
617.0188, 9.838867
617.5009, 12.62036
617.9830, 12.72742
618.4651, 10.80127
618.9473, 9.003906
619.4294, 7.834351
619.9115, 7.423950
620.3936, 8.556763
620.8757, 10.64294
621.3578, 11.96375
621.8400, 11.02966
622.3221, 9.780640
622.8042, 9.045776
623.2863, 8.878662
623.7684, 9.236572
624.2505, 10.71533
624.7327, 12.14624
625.2148, 12.94788
625.6969, 13.02002
626.1790, 12.75098
626.6611, 11.80164
627.1432, 11.22949
627.6254, 12.48901
628.1075, 15.44568
628.5896, 17.87280
629.0717, 19.21399
629.5538, 20.32471
630.0359, 22.37085
630.5181, 25.06628
631.0002, 27.77185
631.4823, 29.98657
631.9644, 32.33289
632.4465, 35.19507
632.9286, 38.54822
633.4108, 42.25610
633.8929, 47.01270
634.3750, 51.45020
634.8571, 54.66492
635.3392, 56.56946
635.8214, 59.83386
636.3035, 65.30066
636.7856, 71.00110
637.2677, 75.90906
637.7498, 79.95300
638.2319, 83.45850
638.7141, 86.20227
639.1962, 89.52637
639.6783, 95.54272
640.1604, 103.5127
640.6425, 110.1892
641.1246, 114.6228
641.6068, 119.0840
642.0889, 125.7998
642.5710, 134.2522
643.0531, 143.3531
643.5352, 153.7963
644.0173, 163.6646
644.4995, 171.4852
644.9816, 177.9741
645.4637, 185.7107
645.9458, 195.6393
646.4279, 206.4500
646.9100, 217.5554
647.3922, 228.9535
647.8743, 241.2281
648.3564, 255.0024
648.8385, 268.8627
649.3206, 281.6138
649.8027, 293.5537
650.2849, 306.4608
650.7670, 320.3740
651.2491, 334.5435
651.7312, 348.2551
652.2133, 361.5349
652.6954, 374.4788
653.1776, 386.8949
653.6597, 399.9846
654.1418, 415.2458
654.6239, 431.5503
655.1060, 447.6527
655.5881, 462.1443
656.0703, 477.6758
656.5524, 495.6832
657.0345, 514.6359
657.5166, 531.5237
657.9987, 545.7914
658.4808, 559.7465
658.9630, 573.6824
659.4451, 587.8462
659.9272, 604.0221
660.4093, 622.3613
660.8914, 640.2612
661.3735, 656.3262
661.8557, 670.8213
662.3378, 684.2031
662.8199, 696.6040
663.3020, 709.0063
663.7841, 722.3320
664.2662, 735.7346
664.7484, 748.5374
665.2305, 760.4387
665.7126, 772.5049
666.1947, 786.3452
666.6768, 799.4333
667.1589, 810.0193
667.6411, 817.1790
668.1232, 823.6173
668.6053, 828.9592
669.0874, 834.0522
669.5695, 840.4185
670.0516, 848.0391
670.5338, 854.2434
671.0159, 858.5575
671.4980, 861.0911
671.9801, 861.2671
672.4622, 859.7202
672.9443, 858.1931
673.4265, 857.7920
673.9086, 857.3264
674.3907, 855.8406
674.8728, 853.6294
675.3549, 851.5723
675.8370, 850.1390
676.3192, 848.7195
676.8013, 847.3792
677.2834, 846.0619
677.7655, 843.6846
678.2476, 839.6848
678.7297, 835.8516
679.2119, 833.2030
679.6940, 831.6606
680.1761, 830.3011
680.6582, 829.2100
681.1403, 827.2512
681.6224, 822.8965
682.1046, 817.1050
682.5867, 811.4894
683.0688, 806.0720
683.5509, 801.8425
684.0330, 800.4114
684.5151, 799.9797
684.9973, 798.6199
685.4794, 794.8594
685.9615, 791.9229
686.4436, 790.6714
686.9257, 790.3313
687.4078, 790.1318
687.8900, 790.3208
688.3721, 789.8735
688.8542, 788.1565
689.3363, 786.3810
689.8184, 787.7708
690.3005, 792.0162
690.7827, 795.3237
691.2648, 796.6370
691.7469, 795.7805
692.2290, 793.4744
692.7111, 788.9678
693.1932, 779.8666
693.6754, 763.0737
694.1575, 742.9800
694.6396, 720.6638
695.1217, 696.6161
695.6038, 674.1680
696.0859, 653.6962
696.5681, 635.5496
697.0502, 619.9946
697.5323, 607.0599
698.0144, 596.1387
698.4965, 587.3462
698.9786, 580.2172
699.4608, 574.1199
699.9429, 569.3413
700.4250, 567.5222
700.9071, 568.8279
701.3892, 571.6509
701.8713, 576.2615
702.3535, 580.8593
702.8356, 583.7634
703.3177, 585.6115
703.7998, 582.5454
704.2819, 570.9504
704.7640, 554.7207
705.2462, 537.7040
705.7283, 518.0381
706.2104, 501.5378
706.6925, 488.5975
707.1746, 478.7701
707.6567, 471.6443
708.1389, 467.3561
708.6210, 464.5297
709.1031, 462.8105
709.5852, 462.2998
710.0673, 463.5726
710.5494, 466.3035
711.0316, 469.4751
711.5137, 471.4296
711.9958, 474.5509
712.4779, 480.6213
712.9600, 489.2997
713.4421, 499.2184
713.9243, 511.9492
714.4064, 523.8903
714.8885, 534.3679
715.3706, 543.2383
