##NAMES=Ehrleite
##RRUFFID=R180029
##IDEAL CHEMISTRY=Ca_2_Zn^2+^Be(PO_4_)_2_(PO_3_OH)&#183;4H_2_O
##LOCALITY=Tip Top mine, Custer District, Custer Co., South Dakota, USA
##OWNER=RRUFF
##SOURCE=Tom Loomis
##DESCRIPTION=Colorless thick tabular crystals, twinned by a 2-fold parallel to (001)
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R180029
629.5538, 11.95460
630.0359, 12.43722
630.5181, 13.24078
631.0002, 13.56828
631.4823, 12.90939
631.9644, 12.17929
632.4465, 12.03132
632.9286, 12.27195
633.4108, 12.51718
633.8929, 13.07034
634.3750, 13.17432
634.8571, 12.34775
635.3392, 10.73156
635.8214, 9.443764
636.3035, 8.597878
636.7856, 7.878532
637.2677, 7.187271
637.7498, 6.525307
638.2319, 5.720375
638.7141, 4.711349
639.1962, 3.844643
639.6783, 3.501648
640.1604, 3.532623
640.6425, 3.428467
641.1246, 3.120697
641.6068, 2.770813
642.0889, 2.692848
642.5710, 2.679817
643.0531, 2.261986
643.5352, 0.8064270
644.0173, 0.3632580
644.4995, 0.5216520
644.9816, 7.8575000E-02
