##NAMES=Montgomeryite
##RRUFFID=R140664
##IDEAL CHEMISTRY=Ca_4_MgAl_4_(PO_4_)_6_(OH)_4_&#183;12H_2_O
##LOCALITY=Foote Mineral Company mine, Kings Mountain, North Carolina, USA
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Radial aggregates of colorless, bladed to platy crystals
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R140664
482.5082, 14.49243
482.9904, 14.68121
483.4725, 14.83307
483.9546, 14.87616
484.4367, 14.77454
484.9188, 14.27911
485.4009, 12.62360
485.8831, 11.05219
486.3652, 10.07758
486.8473, 9.898438
487.3294, 9.525757
487.8115, 8.612427
488.2936, 7.803101
488.7758, 7.876770
489.2579, 9.194275
489.7400, 10.20496
490.2221, 10.60785
490.7042, 10.56561
491.1863, 10.43683
491.6685, 10.18805
492.1506, 10.21930
492.6327, 10.84943
493.1148, 11.98834
493.5969, 13.25250
494.0790, 14.70581
494.5612, 15.87427
495.0433, 16.01135
495.5254, 15.55902
496.0075, 15.46185
496.4896, 15.93170
496.9717, 16.95184
497.4539, 18.82587
497.9360, 21.27167
498.4181, 23.46014
498.9002, 24.76874
499.3823, 25.88733
499.8644, 27.11804
500.3466, 28.47351
500.8287, 30.24213
501.3108, 32.91577
501.7929, 35.77576
502.2750, 38.25891
502.7571, 40.07294
503.2393, 41.86188
503.7214, 43.53229
504.2035, 45.16168
504.6856, 47.01093
505.1677, 49.23181
505.6498, 51.41663
506.1320, 53.52808
506.6141, 55.54358
507.0962, 57.00031
507.5783, 57.90430
508.0604, 58.35950
508.5425, 58.31494
509.0247, 57.85449
509.5068, 57.43811
509.9889, 57.00726
510.4710, 56.87030
510.9531, 57.89172
511.4352, 59.66437
511.9174, 60.68378
512.3995, 60.17218
512.8816, 58.65540
513.3637, 56.45526
513.8458, 53.65924
514.3279, 50.83411
514.8101, 47.98419
515.2922, 45.42444
515.7743, 43.47925
516.2564, 42.33978
