##NAMES=Adelite
##RRUFFID=R140962
##IDEAL CHEMISTRY=CaMgAs^5+^O_4_(OH)
##LOCALITY=Sterling Hill, Ogdensburg, Franklin Mining District, Sussex County, New Jersey, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Massive aggregate of smokey orange granular crystals, associated with red zincite and black franklinite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R140962
550.4867, 11.26782
550.9688, 12.63208
551.4509, 13.72290
551.9330, 14.46729
552.4152, 14.40576
552.8973, 13.34253
553.3794, 12.44678
553.8615, 12.22363
554.3436, 12.61353
554.8257, 13.72070
555.3079, 15.56372
555.7900, 17.12891
556.2721, 17.15601
556.7542, 16.31201
557.2363, 15.92944
557.7184, 16.57715
558.2006, 16.96069
558.6827, 15.51782
559.1648, 13.24316
559.6469, 11.78589
560.1290, 12.85010
560.6111, 13.82568
561.0933, 13.54541
561.5754, 12.19580
562.0575, 11.05273
562.5396, 10.22925
563.0217, 9.708740
563.5038, 9.526855
563.9860, 9.754883
564.4681, 9.878418
564.9502, 9.625732
565.4323, 9.664551
565.9144, 10.95508
566.3965, 13.69141
566.8787, 15.36719
567.3608, 15.36108
567.8429, 14.68848
568.3250, 15.16968
568.8071, 16.61401
569.2892, 17.89746
569.7714, 18.79712
570.2535, 19.09106
570.7356, 17.57739
571.2177, 14.69092
571.6998, 13.04346
572.1819, 15.55225
572.6641, 18.85791
573.1462, 20.08887
573.6283, 18.45435
574.1104, 17.27881
574.5925, 18.50879
575.0746, 20.30103
575.5568, 20.78516
576.0389, 17.61890
576.5210, 15.93506
577.0031, 16.68921
577.4852, 18.79126
577.9673, 19.77783
578.4495, 19.34106
578.9316, 18.52271
579.4137, 17.48901
579.8958, 16.44385
580.3779, 16.43628
580.8600, 17.53638
581.3422, 18.24292
581.8243, 16.67163
582.3064, 14.13477
582.7885, 13.86377
583.2706, 16.24268
583.7527, 19.38428
584.2349, 22.83740
584.7170, 25.48975
585.1991, 25.81372
585.6812, 21.84082
586.1633, 18.25830
586.6454, 17.24365
587.1276, 18.01221
587.6097, 18.97021
588.0918, 20.41699
588.5739, 21.29590
589.0560, 21.61206
589.5381, 21.28101
590.0203, 19.31641
590.5024, 14.46533
590.9845, 10.55542
591.4666, 9.825195
591.9487, 12.34497
592.4308, 14.82202
592.9130, 17.48218
593.3951, 19.21143
593.8772, 17.99658
594.3593, 14.86450
594.8414, 13.20483
595.3235, 13.84033
595.8057, 15.45776
596.2878, 17.15186
596.7699, 18.78955
597.2520, 20.11328
597.7341, 20.78662
598.2162, 21.31836
598.6984, 22.00439
599.1805, 22.70825
599.6626, 23.10571
600.1447, 22.67993
600.6268, 22.25854
601.1089, 22.05518
601.5911, 22.04956
602.0732, 22.55127
602.5553, 24.07373
603.0374, 25.26831
603.5195, 24.70142
604.0016, 22.12476
604.4838, 21.71704
604.9659, 24.19580
605.4480, 27.24390
605.9301, 27.80640
606.4122, 26.31885
606.8943, 24.65308
607.3765, 23.37939
607.8586, 22.05493
608.3407, 19.51221
608.8228, 16.50220
609.3049, 14.90039
609.7870, 16.81543
610.2692, 19.19116
610.7513, 20.69678
611.2334, 21.26489
611.7155, 20.86694
612.1976, 18.57544
612.6797, 16.18140
613.1619, 14.53638
613.6440, 13.85303
614.1261, 13.04468
614.6082, 11.98022
615.0903, 10.82275
615.5724, 9.573975
616.0546, 8.231934
616.5367, 7.924561
617.0188, 8.977783
617.5009, 10.65674
617.9830, 12.33301
618.4651, 13.68286
618.9473, 13.79150
619.4294, 11.18335
619.9115, 8.625244
620.3936, 9.532227
620.8757, 12.66138
621.3578, 14.51343
621.8400, 11.90820
622.3221, 9.074707
622.8042, 8.718750
623.2863, 11.04492
623.7684, 11.82324
624.2505, 8.784668
624.7327, 5.830322
625.2148, 4.985107
625.6969, 6.823730
626.1790, 8.573730
626.6611, 10.41113
627.1432, 11.80469
627.6254, 11.88892
628.1075, 10.76855
628.5896, 10.06689
629.0717, 10.11694
629.5538, 10.41919
630.0359, 10.04907
630.5181, 9.371338
631.0002, 9.345703
631.4823, 10.91235
631.9644, 12.67603
632.4465, 13.73364
632.9286, 14.19360
633.4108, 14.37378
633.8929, 14.71313
634.3750, 14.44409
634.8571, 12.96069
635.3392, 10.19482
635.8214, 8.233154
636.3035, 7.506104
636.7856, 7.007813
637.2677, 5.961182
637.7498, 4.153076
638.2319, 4.086670
638.7141, 6.268799
639.1962, 8.518555
639.6783, 8.286377
640.1604, 6.173584
640.6425, 4.217285
641.1246, 2.540039
641.6068, 1.957764
642.0889, 4.721680
642.5710, 8.918213
643.0531, 11.20020
643.5352, 8.294922
644.0173, 5.263428
644.4995, 3.970947
644.9816, 4.110840
645.4637, 4.815918
645.9458, 6.459717
646.4279, 8.098877
646.9100, 9.418213
647.3922, 10.42676
647.8743, 11.31763
648.3564, 11.94873
648.8385, 12.99731
649.3206, 15.51538
649.8027, 19.15576
650.2849, 20.01001
650.7670, 17.83057
651.2491, 15.40210
651.7312, 15.56812
652.2133, 17.10010
652.6954, 18.14233
653.1776, 18.49048
653.6597, 18.30225
654.1418, 16.95605
654.6239, 15.18286
655.1060, 13.93872
655.5881, 14.02148
656.0703, 14.04272
656.5524, 13.57568
657.0345, 12.92651
657.5166, 12.72534
657.9987, 13.33667
658.4808, 13.42944
658.9630, 12.50537
659.4451, 10.97168
659.9272, 10.33496
660.4093, 10.60156
660.8914, 10.78931
661.3735, 10.28589
661.8557, 9.397705
662.3378, 8.586914
662.8199, 7.990479
663.3020, 8.001221
663.7841, 9.294434
664.2662, 10.94434
664.7484, 12.60742
665.2305, 14.28296
665.7126, 15.39551
666.1947, 14.80664
666.6768, 13.95215
667.1589, 13.97827
667.6411, 15.38770
668.1232, 16.54712
668.6053, 17.43774
669.0874, 17.66675
669.5695, 16.45483
670.0516, 13.82690
670.5338, 11.29321
671.0159, 8.793945
671.4980, 7.317627
671.9801, 9.586670
672.4622, 14.19873
672.9443, 17.19727
673.4265, 16.18213
673.9086, 13.76172
674.3907, 10.87622
674.8728, 8.010010
675.3549, 6.525879
675.8370, 8.742920
676.3192, 10.52661
676.8013, 9.838135
677.2834, 6.992676
677.7655, 5.911865
678.2476, 6.979004
678.7297, 8.989746
679.2119, 12.16650
679.6940, 16.34937
680.1761, 16.56689
680.6582, 12.46265
681.1403, 7.903564
681.6224, 5.984863
682.1046, 5.924316
682.5867, 6.447754
683.0688, 7.444092
683.5509, 8.506104
684.0330, 9.472412
684.5151, 10.31665
684.9973, 11.02466
685.4794, 11.55859
685.9615, 12.13696
686.4436, 13.05249
686.9257, 13.93872
687.4078, 14.34546
687.8900, 14.15991
688.3721, 13.97388
688.8542, 13.98926
689.3363, 13.95264
689.8184, 13.03662
690.3005, 11.34937
690.7827, 10.17432
691.2648, 10.35571
691.7469, 10.93701
692.2290, 10.36377
692.7111, 8.961670
693.1932, 7.783447
693.6754, 6.866211
694.1575, 6.714600
694.6396, 7.831543
695.1217, 10.09424
695.6038, 12.39697
696.0859, 15.42114
696.5681, 17.42773
697.0502, 17.39551
697.5323, 15.20654
698.0144, 14.20776
698.4965, 14.83350
698.9786, 15.14600
699.4608, 13.20996
699.9429, 9.698975
700.4250, 7.532227
700.9071, 6.921143
