##NAMES=Edwindavisite
##RRUFFID=R230005
##IDEAL CHEMISTRY=Cu^2+^((C_2_)^6+^O_4_)(N^3-^H_3_)
##LOCALITY=125' Level, Rowley mine, Maricopa County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Joe Marty
##DESCRIPTION=Radiating clusters of bladed or prismatic grass-green crystals, associated with blue ammineite. Type sample
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R230005
2.803961e+002, 6.512032e+002
2.808782e+002, 6.504254e+002
2.813603e+002, 6.489491e+002
2.818424e+002, 6.474583e+002
2.823245e+002, 6.474694e+002
2.828066e+002, 6.490601e+002
2.832888e+002, 6.502765e+002
2.837709e+002, 6.496708e+002
2.842530e+002, 6.475493e+002
2.847351e+002, 6.470578e+002
2.852172e+002, 6.485836e+002
2.856993e+002, 6.506354e+002
2.861815e+002, 6.507059e+002
2.866636e+002, 6.489301e+002
2.871457e+002, 6.480011e+002
2.876278e+002, 6.499598e+002
2.881099e+002, 6.538083e+002
2.885920e+002, 6.550829e+002
2.890742e+002, 6.534896e+002
2.895563e+002, 6.511181e+002
2.900384e+002, 6.503199e+002
2.905205e+002, 6.509012e+002
2.910026e+002, 6.515829e+002
2.914847e+002, 6.521235e+002
2.919669e+002, 6.523930e+002
2.924490e+002, 6.518262e+002
2.929311e+002, 6.503883e+002
2.934132e+002, 6.490068e+002
2.938953e+002, 6.485203e+002
2.943774e+002, 6.488023e+002
2.948596e+002, 6.494197e+002
2.953417e+002, 6.503315e+002
2.958238e+002, 6.514398e+002
2.963059e+002, 6.527575e+002
2.967880e+002, 6.542538e+002
2.972701e+002, 6.553759e+002
2.977523e+002, 6.555751e+002
2.982344e+002, 6.551024e+002
2.987165e+002, 6.544218e+002
2.991986e+002, 6.533926e+002
2.996807e+002, 6.525941e+002
3.001628e+002, 6.531318e+002
3.006450e+002, 6.547414e+002
3.011271e+002, 6.560077e+002
3.016092e+002, 6.557433e+002
3.020913e+002, 6.546436e+002
3.025734e+002, 6.536805e+002
3.030555e+002, 6.529398e+002
3.035377e+002, 6.525925e+002
3.040198e+002, 6.530470e+002
3.045019e+002, 6.540743e+002
3.049840e+002, 6.550586e+002
3.054661e+002, 6.551871e+002
3.059482e+002, 6.553143e+002
3.064304e+002, 6.565820e+002
3.069125e+002, 6.593173e+002
3.073946e+002, 6.619489e+002
3.078767e+002, 6.631013e+002
3.083588e+002, 6.633098e+002
3.088409e+002, 6.635219e+002
3.093231e+002, 6.637025e+002
3.098052e+002, 6.643544e+002
3.102873e+002, 6.662748e+002
3.107694e+002, 6.695940e+002
3.112515e+002, 6.723077e+002
3.117336e+002, 6.724856e+002
3.122158e+002, 6.716576e+002
3.126979e+002, 6.717266e+002
3.131800e+002, 6.746599e+002
3.136621e+002, 6.775958e+002
3.141442e+002, 6.786791e+002
3.146263e+002, 6.780368e+002
3.151085e+002, 6.778829e+002
3.155906e+002, 6.801036e+002
3.160727e+002, 6.827462e+002
3.165548e+002, 6.842074e+002
3.170369e+002, 6.823140e+002
3.175190e+002, 6.809739e+002
3.180012e+002, 6.817622e+002
3.184833e+002, 6.842679e+002
3.189654e+002, 6.867330e+002
3.194475e+002, 6.891503e+002
3.199296e+002, 6.910231e+002
3.204117e+002, 6.920151e+002
3.208939e+002, 6.915737e+002
3.213760e+002, 6.910198e+002
3.218581e+002, 6.901443e+002
3.223402e+002, 6.893072e+002
3.228223e+002, 6.893777e+002
3.233044e+002, 6.913455e+002
3.237866e+002, 6.935194e+002
3.242687e+002, 6.952595e+002
3.247508e+002, 6.963370e+002
3.252329e+002, 6.974595e+002
3.257150e+002, 6.995126e+002
3.261971e+002, 7.014520e+002
3.266793e+002, 7.016890e+002
3.271614e+002, 6.981002e+002
3.276435e+002, 6.951182e+002
3.281256e+002, 6.941229e+002
3.286077e+002, 6.956897e+002
3.290898e+002, 6.957981e+002
3.295720e+002, 6.935736e+002
3.300541e+002, 6.904917e+002
3.305362e+002, 6.879417e+002
3.310183e+002, 6.859601e+002
3.315004e+002, 6.843979e+002
3.319825e+002, 6.832347e+002
3.324647e+002, 6.824620e+002
3.329468e+002, 6.822145e+002
3.334289e+002, 6.829083e+002
3.339110e+002, 6.835400e+002
3.343931e+002, 6.831987e+002
3.348752e+002, 6.812255e+002
3.353573e+002, 6.803246e+002
3.358394e+002, 6.812484e+002
3.363216e+002, 6.832279e+002
3.368037e+002, 6.836013e+002
3.372858e+002, 6.817621e+002
3.377679e+002, 6.799598e+002
3.382500e+002, 6.797491e+002
3.387321e+002, 6.814938e+002
3.392143e+002, 6.815085e+002
3.396964e+002, 6.790363e+002
3.401785e+002, 6.758319e+002
3.406606e+002, 6.755892e+002
3.411427e+002, 6.787162e+002
3.416248e+002, 6.808691e+002
3.421070e+002, 6.794523e+002
3.425891e+002, 6.750481e+002
