##NAMES=Parasymplesite
##RRUFFID=R150137
##IDEAL CHEMISTRY=Fe^2+^_3_(As^5+^O_4_)_2_&#183;8H_2_O
##LOCALITY=Kiura Mine, Oita Pref., Kyushu Island, Japan
##OWNER=RRUFF
##SOURCE=Jeremie Pfister
##DESCRIPTION=Aggregates of dark-bluish grey euhedral crystals, associated with smoky scorodite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R150137
2.659655e+002, 1.927968e+003
2.664476e+002, 1.927121e+003
2.669297e+002, 1.925622e+003
2.674119e+002, 1.922645e+003
2.678940e+002, 1.920418e+003
2.683761e+002, 1.919870e+003
2.688582e+002, 1.920257e+003
2.693403e+002, 1.920729e+003
2.698224e+002, 1.920935e+003
2.703046e+002, 1.920867e+003
2.707867e+002, 1.920436e+003
2.712688e+002, 1.919285e+003
2.717509e+002, 1.918433e+003
2.722330e+002, 1.918259e+003
2.727151e+002, 1.918364e+003
2.731973e+002, 1.918359e+003
2.736794e+002, 1.918083e+003
2.741615e+002, 1.917641e+003
2.746436e+002, 1.917222e+003
2.751257e+002, 1.916721e+003
2.756078e+002, 1.916445e+003
2.760900e+002, 1.916447e+003
2.765721e+002, 1.916612e+003
2.770542e+002, 1.916917e+003
2.775363e+002, 1.917330e+003
2.780184e+002, 1.917714e+003
2.785005e+002, 1.917796e+003
2.789827e+002, 1.917318e+003
2.794648e+002, 1.917111e+003
2.799469e+002, 1.917233e+003
2.804290e+002, 1.917579e+003
2.809111e+002, 1.918464e+003
2.813932e+002, 1.919757e+003
2.818754e+002, 1.920609e+003
2.823575e+002, 1.919653e+003
2.828396e+002, 1.915793e+003
2.833217e+002, 1.913336e+003
2.838038e+002, 1.913220e+003
2.842859e+002, 1.913536e+003
2.847681e+002, 1.913260e+003
2.852502e+002, 1.912371e+003
2.857323e+002, 1.911473e+003
2.862144e+002, 1.911193e+003
2.866965e+002, 1.911625e+003
2.871786e+002, 1.912162e+003
2.876608e+002, 1.913441e+003
2.881429e+002, 1.914231e+003
2.886250e+002, 1.914054e+003
2.891071e+002, 1.912940e+003
2.895892e+002, 1.911021e+003
2.900714e+002, 1.908215e+003
2.905535e+002, 1.904504e+003
2.910356e+002, 1.902189e+003
2.915177e+002, 1.902297e+003
2.919998e+002, 1.902734e+003
2.924819e+002, 1.903159e+003
2.929641e+002, 1.903492e+003
2.934462e+002, 1.903657e+003
2.939283e+002, 1.903573e+003
2.944104e+002, 1.903324e+003
2.948925e+002, 1.903488e+003
2.953746e+002, 1.904753e+003
2.958568e+002, 1.905670e+003
2.963389e+002, 1.905943e+003
2.968210e+002, 1.905766e+003
2.973031e+002, 1.905380e+003
2.977852e+002, 1.904897e+003
2.982673e+002, 1.904328e+003
2.987495e+002, 1.903732e+003
2.992316e+002, 1.903239e+003
2.997137e+002, 1.902499e+003
3.001958e+002, 1.900610e+003
3.006779e+002, 1.898868e+003
3.011600e+002, 1.899011e+003
3.016422e+002, 1.901495e+003
3.021243e+002, 1.904739e+003
3.026064e+002, 1.905783e+003
3.030885e+002, 1.902589e+003
3.035706e+002, 1.900718e+003
3.040527e+002, 1.900980e+003
3.045349e+002, 1.901899e+003
3.050170e+002, 1.902532e+003
3.054991e+002, 1.902646e+003
3.059812e+002, 1.902390e+003
3.064633e+002, 1.901937e+003
3.069454e+002, 1.901270e+003
3.074276e+002, 1.900458e+003
3.079097e+002, 1.899794e+003
3.083918e+002, 1.898796e+003
3.088739e+002, 1.896736e+003
3.093560e+002, 1.893941e+003
3.098381e+002, 1.891669e+003
3.103203e+002, 1.891094e+003
3.108024e+002, 1.892363e+003
3.112845e+002, 1.893168e+003
3.117666e+002, 1.893084e+003
3.122487e+002, 1.893050e+003
3.127308e+002, 1.893602e+003
3.132130e+002, 1.894459e+003
3.136951e+002, 1.894988e+003
3.141772e+002, 1.894773e+003
3.146593e+002, 1.893889e+003
3.151414e+002, 1.892895e+003
3.156235e+002, 1.891439e+003
3.161057e+002, 1.890248e+003
3.165878e+002, 1.889562e+003
3.170699e+002, 1.889164e+003
3.175520e+002, 1.888766e+003
3.180341e+002, 1.888238e+003
3.185162e+002, 1.887629e+003
3.189984e+002, 1.887077e+003
3.194805e+002, 1.886605e+003
3.199626e+002, 1.886172e+003
3.204447e+002, 1.885644e+003
3.209268e+002, 1.885234e+003
3.214089e+002, 1.885291e+003
3.218911e+002, 1.885856e+003
3.223732e+002, 1.886453e+003
3.228553e+002, 1.886292e+003
3.233374e+002, 1.884664e+003
3.238195e+002, 1.884116e+003
3.243016e+002, 1.885545e+003
3.247838e+002, 1.887203e+003
3.252659e+002, 1.888337e+003
3.257480e+002, 1.888699e+003
3.262301e+002, 1.887994e+003
3.267122e+002, 1.885689e+003
3.271943e+002, 1.881391e+003
3.276765e+002, 1.878832e+003
3.281586e+002, 1.878665e+003
3.286407e+002, 1.879300e+003
3.291228e+002, 1.880751e+003
3.296049e+002, 1.882535e+003
3.300870e+002, 1.883824e+003
3.305692e+002, 1.884051e+003
3.310513e+002, 1.883306e+003
3.315334e+002, 1.882332e+003
3.320155e+002, 1.879936e+003
3.324976e+002, 1.878683e+003
3.329797e+002, 1.880130e+003
3.334619e+002, 1.882578e+003
3.339440e+002, 1.883791e+003
3.344261e+002, 1.882773e+003
3.349082e+002, 1.880368e+003
3.353904e+002, 1.878562e+003
3.358725e+002, 1.877912e+003
3.363546e+002, 1.877075e+003
3.368367e+002, 1.875672e+003
3.373188e+002, 1.874300e+003
3.378009e+002, 1.873477e+003
3.382831e+002, 1.873301e+003
3.387652e+002, 1.873490e+003
3.392473e+002, 1.873690e+003
3.397294e+002, 1.873914e+003
3.402115e+002, 1.874117e+003
3.406936e+002, 1.874819e+003
3.411758e+002, 1.875043e+003
3.416579e+002, 1.873771e+003
3.421400e+002, 1.871432e+003
3.426221e+002, 1.869493e+003
3.431042e+002, 1.869303e+003
3.435863e+002, 1.870851e+003
3.440685e+002, 1.871847e+003
3.445506e+002, 1.871686e+003
3.450327e+002, 1.871519e+003
3.455148e+002, 1.871519e+003
3.459969e+002, 1.871682e+003
3.464790e+002, 1.872071e+003
3.469612e+002, 1.872777e+003
3.474433e+002, 1.873509e+003
3.479254e+002, 1.873263e+003
3.484075e+002, 1.871206e+003
3.488896e+002, 1.869502e+003
3.493717e+002, 1.868320e+003
3.498539e+002, 1.867660e+003
3.503360e+002, 1.867706e+003
3.508181e+002, 1.868467e+003
3.513002e+002, 1.869415e+003
3.517823e+002, 1.869727e+003
3.522644e+002, 1.869181e+003
3.527466e+002, 1.868739e+003
3.532287e+002, 1.868854e+003
3.537108e+002, 1.868765e+003
3.541929e+002, 1.867693e+003
3.546750e+002, 1.865887e+003
3.551571e+002, 1.864505e+003
3.556393e+002, 1.864835e+003
3.561214e+002, 1.866865e+003
3.566035e+002, 1.867986e+003
3.570856e+002, 1.867773e+003
3.575677e+002, 1.867067e+003
3.580498e+002, 1.865934e+003
3.585320e+002, 1.864588e+003
3.590141e+002, 1.863338e+003
3.594962e+002, 1.862342e+003
3.599783e+002, 1.861566e+003
3.604604e+002, 1.860888e+003
3.609425e+002, 1.860142e+003
3.614247e+002, 1.859885e+003
3.619068e+002, 1.860580e+003
3.623889e+002, 1.861625e+003
3.628710e+002, 1.862597e+003
3.633531e+002, 1.863389e+003
3.638352e+002, 1.863838e+003
3.643174e+002, 1.863502e+003
3.647995e+002, 1.862245e+003
3.652816e+002, 1.861596e+003
3.657637e+002, 1.862509e+003
3.662458e+002, 1.863494e+003
3.667279e+002, 1.863528e+003
3.672101e+002, 1.862679e+003
3.676922e+002, 1.861697e+003
3.681743e+002, 1.861259e+003
3.686564e+002, 1.861164e+003
3.691385e+002, 1.860277e+003
3.696206e+002, 1.857819e+003
3.701028e+002, 1.856030e+003
3.705849e+002, 1.856746e+003
3.710670e+002, 1.858938e+003
3.715491e+002, 1.860896e+003
3.720312e+002, 1.862326e+003
3.725133e+002, 1.862936e+003
3.729955e+002, 1.861903e+003
3.734776e+002, 1.859017e+003
3.739597e+002, 1.856529e+003
3.744418e+002, 1.855450e+003
3.749239e+002, 1.855260e+003
3.754060e+002, 1.855357e+003
3.758882e+002, 1.855763e+003
3.763703e+002, 1.856159e+003
3.768524e+002, 1.856454e+003
3.773345e+002, 1.856584e+003
3.778166e+002, 1.856242e+003
3.782987e+002, 1.855234e+003
3.787809e+002, 1.853956e+003
3.792630e+002, 1.852794e+003
3.797451e+002, 1.851734e+003
3.802272e+002, 1.850744e+003
3.807093e+002, 1.849489e+003
3.811914e+002, 1.848453e+003
3.816736e+002, 1.848732e+003
3.821557e+002, 1.850481e+003
3.826378e+002, 1.851609e+003
3.831199e+002, 1.850269e+003
3.836020e+002, 1.846987e+003
3.840841e+002, 1.844513e+003
3.845663e+002, 1.842935e+003
3.850484e+002, 1.842134e+003
3.855305e+002, 1.842575e+003
3.860126e+002, 1.843828e+003
3.864947e+002, 1.844449e+003
3.869768e+002, 1.843710e+003
3.874590e+002, 1.842284e+003
3.879411e+002, 1.841459e+003
3.884232e+002, 1.840920e+003
3.889053e+002, 1.841605e+003
3.893874e+002, 1.845455e+003
3.898695e+002, 1.849791e+003
3.903517e+002, 1.851166e+003
3.908338e+002, 1.849030e+003
3.913159e+002, 1.845877e+003
3.917980e+002, 1.844235e+003
3.922801e+002, 1.844356e+003
3.927622e+002, 1.843923e+003
3.932444e+002, 1.842181e+003
3.937265e+002, 1.840651e+003
3.942086e+002, 1.840311e+003
3.946907e+002, 1.840844e+003
3.951728e+002, 1.841343e+003
3.956549e+002, 1.841290e+003
3.961371e+002, 1.840788e+003
3.966192e+002, 1.840252e+003
3.971013e+002, 1.839258e+003
3.975834e+002, 1.838773e+003
3.980655e+002, 1.839341e+003
3.985476e+002, 1.840209e+003
3.990298e+002, 1.840693e+003
3.995119e+002, 1.840584e+003
3.999940e+002, 1.839996e+003
4.004761e+002, 1.838937e+003
4.009582e+002, 1.836954e+003
4.014403e+002, 1.836154e+003
4.019225e+002, 1.837309e+003
4.024046e+002, 1.838749e+003
4.028867e+002, 1.840286e+003
4.033688e+002, 1.841490e+003
4.038509e+002, 1.841497e+003
4.043330e+002, 1.839507e+003
4.048152e+002, 1.836008e+003
4.052973e+002, 1.833782e+003
4.057794e+002, 1.833097e+003
4.062615e+002, 1.833418e+003
4.067436e+002, 1.835432e+003
4.072257e+002, 1.837881e+003
4.077079e+002, 1.839567e+003
4.081900e+002, 1.840120e+003
4.086721e+002, 1.839883e+003
4.091542e+002, 1.839258e+003
4.096363e+002, 1.838206e+003
4.101184e+002, 1.836940e+003
4.106006e+002, 1.835078e+003
4.110827e+002, 1.833377e+003
4.115648e+002, 1.832260e+003
4.120469e+002, 1.831655e+003
4.125290e+002, 1.831254e+003
4.130111e+002, 1.830998e+003
4.134933e+002, 1.830780e+003
4.139754e+002, 1.830141e+003
4.144575e+002, 1.828834e+003
4.149396e+002, 1.827792e+003
4.154217e+002, 1.827512e+003
4.159038e+002, 1.827738e+003
4.163860e+002, 1.828185e+003
4.168681e+002, 1.828727e+003
4.173502e+002, 1.829681e+003
4.178323e+002, 1.832166e+003
4.183144e+002, 1.835811e+003
4.187965e+002, 1.837026e+003
4.192787e+002, 1.833701e+003
4.197608e+002, 1.829400e+003
4.202429e+002, 1.828210e+003
4.207250e+002, 1.829855e+003
4.212071e+002, 1.831526e+003
4.216892e+002, 1.832215e+003
4.221714e+002, 1.832392e+003
4.226535e+002, 1.832751e+003
4.231356e+002, 1.833340e+003
4.236177e+002, 1.833620e+003
4.240998e+002, 1.833191e+003
4.245819e+002, 1.832138e+003
4.250641e+002, 1.830981e+003
4.255462e+002, 1.828955e+003
4.260283e+002, 1.827779e+003
4.265104e+002, 1.829346e+003
4.269925e+002, 1.832137e+003
4.274746e+002, 1.832794e+003
4.279568e+002, 1.830021e+003
4.284389e+002, 1.826246e+003
4.289210e+002, 1.825311e+003
4.294031e+002, 1.829056e+003
4.298852e+002, 1.830393e+003
4.303673e+002, 1.826667e+003
4.308495e+002, 1.822645e+003
4.313316e+002, 1.821703e+003
4.318137e+002, 1.823659e+003
4.322958e+002, 1.826546e+003
4.327779e+002, 1.829111e+003
4.332600e+002, 1.831266e+003
4.337422e+002, 1.832262e+003
4.342243e+002, 1.830542e+003
4.347064e+002, 1.829475e+003
4.351885e+002, 1.830293e+003
4.356706e+002, 1.831569e+003
4.361527e+002, 1.831561e+003
4.366349e+002, 1.829820e+003
4.371170e+002, 1.827488e+003
