##NAMES=Cerite-(CeCa)
##RRUFFID=R130614
##IDEAL CHEMISTRY=(Ce^3+^_7_Ca_2_)[box]Mg(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_
##LOCALITY=Mont Saint-Hilaire, Rouville County, Quebec, Canada
##OWNER=RRUFF
##SOURCE=Don Doell
##DESCRIPTION=Hexagonal platy pink crystals, associated with catapleiite and aegirine. The color is dependent upon light source.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130614
487.3294, 16.37109
487.8115, 23.50684
488.2936, 28.49707
488.7758, 31.16504
489.2579, 30.53711
489.7400, 30.20410
490.2221, 30.69922
490.7042, 31.79980
491.1863, 33.99512
491.6685, 37.80664
492.1506, 38.25586
492.6327, 29.70898
493.1148, 14.89258
493.5969, 7.662109
494.0790, 8.918945
494.5612, 12.01074
495.0433, 10.00684
495.5254, 4.736328
496.0075, 0.5585940
496.4896, 0.6396480
496.9717, 0.3144530
497.4539, 0.1308590
497.9360, 0.9667970
498.4181, 2.766602
498.9002, 5.287109
499.3823, 8.349609
499.8644, 12.95801
500.3466, 19.44531
500.8287, 25.60840
501.3108, 29.67676
501.7929, 32.81055
502.2750, 35.98145
502.7571, 41.78027
503.2393, 44.24609
503.7214, 40.23535
504.2035, 33.29492
504.6856, 31.73242
505.1677, 39.08398
505.6498, 44.92285
506.1320, 45.55371
506.6141, 41.39062
507.0962, 39.69531
507.5783, 41.67773
508.0604, 44.40430
508.5425, 45.61328
509.0247, 45.36230
509.5068, 45.08496
509.9889, 45.61328
510.4710, 45.20020
510.9531, 38.26074
511.4352, 27.38477
511.9174, 22.49316
512.3995, 33.81641
512.8816, 49.37305
513.3637, 54.50586
513.8458, 50.63867
514.3279, 46.83008
514.8101, 47.11914
515.2922, 50.19824
515.7743, 55.63379
516.2564, 64.29883
516.7385, 71.38281
517.2206, 76.81445
517.7028, 78.96484
518.1849, 75.91406
518.6670, 58.51367
519.1491, 46.27051
519.6312, 45.06641
520.1133, 51.94238
520.5955, 53.96875
521.0776, 48.72363
521.5597, 42.59180
522.0418, 38.48340
522.5239, 36.89355
523.0060, 37.34180
523.4882, 40.71973
523.9703, 44.18750
524.4524, 43.96777
524.9345, 40.39941
525.4166, 39.24023
525.8987, 42.64746
526.3809, 46.69922
526.8630, 42.50684
527.3451, 32.55273
527.8272, 27.49414
528.3093, 36.04395
528.7914, 49.95898
529.2736, 60.87891
529.7557, 68.65918
530.2378, 74.60059
530.7199, 77.91016
531.2020, 80.54590
531.6841, 84.77344
532.1663, 94.04102
532.6484, 98.48242
533.1305, 91.05273
533.6126, 78.83105
534.0947, 72.07812
534.5768, 78.69434
535.0590, 82.38086
535.5411, 79.07715
536.0232, 70.53418
536.5053, 67.25098
536.9874, 72.07422
537.4695, 76.36230
537.9517, 74.48535
538.4338, 65.96094
538.9159, 63.17480
539.3980, 67.18555
539.8801, 72.81738
540.3622, 73.83203
540.8444, 71.19727
541.3265, 69.77148
541.8086, 71.21680
542.2907, 72.55078
542.7728, 67.99121
543.2549, 59.90723
543.7371, 55.05664
544.2192, 58.52832
544.7013, 65.71973
545.1834, 74.94238
545.6655, 85.73926
546.1476, 92.32812
546.6298, 90.83594
547.1119, 85.51660
547.5940, 78.39844
548.0761, 65.95508
548.5582, 60.01367
549.0403, 66.06641
549.5225, 76.83008
550.0046, 83.70605
550.4867, 85.62207
550.9688, 85.47461
551.4509, 82.36426
551.9330, 77.83008
552.4152, 77.77637
552.8973, 82.59082
553.3794, 88.51074
553.8615, 94.07812
554.3436, 99.10840
554.8257, 102.7666
555.3079, 104.8555
555.7900, 106.3857
556.2721, 108.8740
556.7542, 111.2881
557.2363, 111.2939
557.7184, 107.5566
558.2006, 103.9229
558.6827, 104.3545
559.1648, 106.9102
559.6469, 108.2754
560.1290, 107.1855
560.6111, 104.8633
561.0933, 100.7070
561.5754, 95.27539
562.0575, 91.94922
562.5396, 92.39355
563.0217, 93.99414
563.5038, 96.16016
563.9860, 99.41309
564.4681, 100.5986
564.9502, 98.78223
565.4323, 96.24219
565.9144, 94.89941
566.3965, 94.75684
566.8787, 96.24023
567.3608, 99.66016
567.8429, 104.3320
