##NAMES=Edwindavisite
##RRUFFID=R230005
##IDEAL CHEMISTRY=Cu^2+^((C_2_)^6+^O_4_)(N^3-^H_3_)
##LOCALITY=125' Level, Rowley mine, Maricopa County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Joe Marty
##DESCRIPTION=Radiating clusters of bladed or prismatic grass-green crystals, associated with blue ammineite. Type sample
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R230005
508.0367, 52.26220
508.5188, 55.26629
509.0009, 58.05965
509.4830, 60.78840
509.9651, 63.42175
510.4472, 66.05939
510.9294, 69.16392
511.4115, 72.63972
511.8936, 75.11248
512.3757, 75.77499
512.8578, 75.15308
513.3400, 73.79344
513.8221, 71.73697
514.3042, 69.55530
514.7863, 67.73371
515.2684, 65.89395
515.7505, 63.02464
516.2327, 58.83426
516.7148, 54.58239
517.1969, 50.21305
517.6790, 46.12103
518.1611, 42.98336
518.6432, 40.72237
519.1254, 38.30080
519.6075, 34.70916
520.0896, 30.11751
520.5717, 26.76191
521.0538, 25.82004
521.5359, 24.75341
522.0180, 22.85148
522.5001, 20.89412
522.9822, 19.94933
523.4644, 20.12658
523.9465, 20.19786
524.4286, 18.55670
524.9107, 15.23586
525.3928, 12.73994
525.8749, 11.33442
526.3571, 10.32370
526.8392, 9.371777
527.3213, 8.573933
527.8034, 8.047314
528.2855, 7.833454
528.7676, 7.725471
529.2498, 7.646206
529.7319, 7.551525
530.2140, 7.257633
530.6961, 6.738743
531.1782, 6.174335
531.6603, 5.681976
532.1425, 5.275616
532.6246, 5.080772
533.1067, 5.366066
533.5888, 5.583817
534.0709, 5.226231
534.5530, 4.677486
535.0352, 4.818672
535.5173, 5.932419
535.9994, 7.139355
536.4815, 7.062645
536.9636, 5.173988
537.4457, 4.115997
537.9279, 4.373272
538.4100, 4.945351
538.8921, 5.660767
539.3742, 6.285610
539.8563, 6.726288
540.3384, 6.989826
540.8206, 7.067852
541.3027, 6.858345
541.7848, 6.324833
542.2669, 6.016281
542.7490, 6.187664
543.2311, 6.383057
543.7133, 6.247421
544.1954, 5.887146
544.6775, 5.599861
545.1596, 5.521931
545.6417, 5.352356
546.1238, 4.733112
546.6060, 3.824177
547.0881, 3.397278
547.5702, 3.809635
548.0523, 4.469810
548.5344, 4.557087
549.0165, 3.932442
