##NAMES=Ondrusite
##RRUFFID=R141029
##IDEAL CHEMISTRY=CaCu^2+^_4_(As^5+^O_4_)_2_(As^5+^O_3_OH)_2_&#183;10H_2_O
##LOCALITY=Svornost mine, Jáchymov, Krušné Hory Mts, Karlovy Vary, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Pale green thin bladed crystals with striations parallel to the elongated direction, associated with quartz
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R141029
4.289933e+002, 2.034480e+003
4.294754e+002, 2.035776e+003
4.299575e+002, 2.037684e+003
4.304396e+002, 2.039434e+003
4.309217e+002, 2.041199e+003
4.314038e+002, 2.042410e+003
4.318860e+002, 2.041726e+003
4.323681e+002, 2.039035e+003
4.328502e+002, 2.037846e+003
4.333323e+002, 2.039847e+003
4.338144e+002, 2.043500e+003
4.342965e+002, 2.044035e+003
4.347787e+002, 2.041538e+003
4.352608e+002, 2.039537e+003
4.357429e+002, 2.041670e+003
4.362250e+002, 2.046185e+003
4.367071e+002, 2.048365e+003
4.371892e+002, 2.047277e+003
4.376714e+002, 2.045576e+003
4.381535e+002, 2.046186e+003
4.386356e+002, 2.048357e+003
4.391177e+002, 2.050423e+003
4.395998e+002, 2.051791e+003
4.400819e+002, 2.052611e+003
4.405641e+002, 2.052439e+003
4.410462e+002, 2.051430e+003
4.415283e+002, 2.051342e+003
4.420104e+002, 2.054109e+003
4.424925e+002, 2.057628e+003
4.429746e+002, 2.060040e+003
4.434568e+002, 2.060330e+003
4.439389e+002, 2.060600e+003
4.444210e+002, 2.061331e+003
4.449031e+002, 2.062480e+003
4.453852e+002, 2.063983e+003
4.458673e+002, 2.066266e+003
4.463495e+002, 2.068481e+003
